Source,Target,Kind,Type,Id,Label,Weight
5,1,birth,Directed,0,,19.209372712298546
8,8,birth,Directed,1,,133.0
7,7,birth,Directed,2,,140.86163423728976
8,7,birth,Directed,3,,20.396078054371138
11,14,birth,Directed,4,,5.744562646538029
16,15,birth,Directed,5,,16.278820596099706
1,1,birth,Directed,6,,61.89507250177513
2,1,birth,Directed,7,,18.894443627691185
3,3,birth,Directed,8,,128.4172885557081
5,5,birth,Directed,9,,91.92388155425118
2,4,birth,Directed,10,,19.390719429665317
1,8,birth,Directed,11,,23.790754506740637
21,21,birth,Directed,12,,42.40283009422838
7,1,birth,Directed,13,,12.328828005937952
8,1,birth,Directed,14,,23.130067012440755
2,2,birth,Directed,15,,222.094574449715
10,10,birth,Directed,16,,28.106938645110393
18,18,birth,Directed,17,,65.39877674696982
14,14,birth,Directed,18,,44.76605857119878
16,3,birth,Directed,19,,4.47213595499958
6,6,birth,Directed,20,,66.4529909033446
20,1,birth,Directed,21,,1.0
9,9,birth,Directed,22,,31.064449134018133
12,8,birth,Directed,23,,5.291502622129181
12,12,birth,Directed,24,,51.30302135352264
1,5,birth,Directed,25,,24.95996794869737
8,5,birth,Directed,26,,19.28730152198591
14,2,birth,Directed,27,,18.788294228055936
22,9,birth,Directed,28,,6.244997998398398
20,15,birth,Directed,29,,11.789826122551595
7,5,birth,Directed,30,,16.703293088490067
13,13,birth,Directed,31,,36.207733980463345
6,20,birth,Directed,32,,5.0990195135927845
3,4,birth,Directed,33,,21.42428528562855
7,4,birth,Directed,34,,22.15851980616034
11,11,birth,Directed,35,,21.93171219946131
15,6,birth,Directed,36,,7.745966692414834
1,2,birth,Directed,37,,14.89966442575134
2,13,birth,Directed,38,,11.135528725660043
4,4,birth,Directed,39,,33.406586176980134
10,8,birth,Directed,40,,3.3166247903554
24,24,birth,Directed,41,,11.045361017187261
16,16,birth,Directed,42,,58.51495535331117
18,1,birth,Directed,43,,3.7416573867739413
23,23,birth,Directed,44,,24.657656011875904
3,1,birth,Directed,45,,8.246211251235321
15,15,birth,Directed,46,,71.14070564732964
2,5,birth,Directed,47,,45.36518488885502
18,16,birth,Directed,48,,11.789826122551595
18,2,birth,Directed,49,,14.035668847618199
27,1,birth,Directed,50,,1.4142135623730951
2,19,birth,Directed,51,,17.46424919657298
8,25,birth,Directed,52,,2.0
12,1,birth,Directed,53,,4.242640687119285
5,2,birth,Directed,54,,33.24154027718932
9,18,birth,Directed,55,,7.483314773547883
1,11,birth,Directed,56,,5.830951894845301
26,14,birth,Directed,57,,7.0
6,1,birth,Directed,58,,4.0
18,5,birth,Directed,59,,4.69041575982343
13,7,birth,Directed,60,,18.083141320025124
