Source,Target,Kind,Type,Id,Label,Weight
5,1,birth,Directed,0,,369
8,8,birth,Directed,1,,17689
7,7,birth,Directed,2,,19842
8,7,birth,Directed,3,,416
11,14,birth,Directed,4,,33
16,15,birth,Directed,5,,265
1,1,birth,Directed,6,,3831
2,1,birth,Directed,7,,357
3,3,birth,Directed,8,,16491
5,5,birth,Directed,9,,8450
2,4,birth,Directed,10,,376
1,8,birth,Directed,11,,566
21,21,birth,Directed,12,,1798
7,1,birth,Directed,13,,152
8,1,birth,Directed,14,,535
2,2,birth,Directed,15,,49326
10,10,birth,Directed,16,,790
18,18,birth,Directed,17,,4277
14,14,birth,Directed,18,,2004
16,3,birth,Directed,19,,20
6,6,birth,Directed,20,,4416
20,1,birth,Directed,21,,1
9,9,birth,Directed,22,,965
12,8,birth,Directed,23,,28
12,12,birth,Directed,24,,2632
1,5,birth,Directed,25,,623
8,5,birth,Directed,26,,372
14,2,birth,Directed,27,,353
22,9,birth,Directed,28,,39
20,15,birth,Directed,29,,139
7,5,birth,Directed,30,,279
13,13,birth,Directed,31,,1311
6,20,birth,Directed,32,,26
3,4,birth,Directed,33,,459
7,4,birth,Directed,34,,491
11,11,birth,Directed,35,,481
15,6,birth,Directed,36,,60
1,2,birth,Directed,37,,222
2,13,birth,Directed,38,,124
4,4,birth,Directed,39,,1116
10,8,birth,Directed,40,,11
24,24,birth,Directed,41,,122
16,16,birth,Directed,42,,3424
18,1,birth,Directed,43,,14
23,23,birth,Directed,44,,608
3,1,birth,Directed,45,,68
15,15,birth,Directed,46,,5061
2,5,birth,Directed,47,,2058
18,16,birth,Directed,48,,139
18,2,birth,Directed,49,,197
27,1,birth,Directed,50,,2
2,19,birth,Directed,51,,305
8,25,birth,Directed,52,,4
12,1,birth,Directed,53,,18
5,2,birth,Directed,54,,1105
9,18,birth,Directed,55,,56
1,11,birth,Directed,56,,34
26,14,birth,Directed,57,,49
6,1,birth,Directed,58,,16
18,5,birth,Directed,59,,22
13,7,birth,Directed,60,,327
7,14,birth,Directed,61,,48
5,13,birth,Directed,62,,24
10,1,birth,Directed,63,,6
14,1,birth,Directed,64,,13
5,8,birth,Directed,65,,311
18,12,birth,Directed,66,,35
25,2,birth,Directed,67,,24
3,7,birth,Directed,68,,1054
3,2,birth,Directed,69,,2332
7,16,birth,Directed,70,,104
2,3,birth,Directed,71,,2198
8,19,birth,Directed,72,,46
8,2,birth,Directed,73,,475
5,7,birth,Directed,74,,205
18,22,birth,Directed,75,,19
18,9,birth,Directed,76,,24
13,3,birth,Directed,77,,389
2,14,birth,Directed,78,,146
8,18,birth,Directed,79,,24
19,5,birth,Directed,80,,111
9,16,birth,Directed,81,,26
7,3,birth,Directed,82,,908
26,18,birth,Directed,83,,3
5,11,birth,Directed,84,,128
6,3,birth,Directed,85,,270
19,19,birth,Directed,86,,710
21,3,birth,Directed,87,,65
14,3,birth,Directed,88,,361
9,10,birth,Directed,89,,11
6,23,birth,Directed,90,,90
3,11,birth,Directed,91,,64
3,14,birth,Directed,92,,217
4,3,birth,Directed,93,,175
19,11,birth,Directed,94,,63
9,13,birth,Directed,95,,2
17,12,birth,Directed,96,,97
8,3,birth,Directed,97,,105
7,2,birth,Directed,98,,1264
14,7,birth,Directed,99,,114
22,2,birth,Directed,100,,62
22,22,birth,Directed,101,,738
22,15,birth,Directed,102,,88
4,2,birth,Directed,103,,225
6,2,birth,Directed,104,,409
27,27,birth,Directed,105,,25
2,9,birth,Directed,106,,65
1,4,birth,Directed,107,,29
16,21,birth,Directed,108,,89
6,9,birth,Directed,109,,8
14,5,birth,Directed,110,,44
18,7,birth,Directed,111,,200
20,20,birth,Directed,112,,706
19,2,birth,Directed,113,,301
24,7,birth,Directed,114,,27
7,15,birth,Directed,115,,133
20,7,birth,Directed,116,,58
23,2,birth,Directed,117,,52
15,2,birth,Directed,118,,271
3,5,birth,Directed,119,,207
7,12,birth,Directed,120,,56
2,8,birth,Directed,121,,403
18,4,birth,Directed,122,,93
7,6,birth,Directed,123,,135
2,7,birth,Directed,124,,1145
7,13,birth,Directed,125,,122
