Source,Target,Kind,Type,Id,Label,Weight
1,5,degree,Directed,1218,,6.398594934535208
5,1,degree,Directed,1219,,7.122059881629142
7,1,degree,Directed,1220,,6.016157159698354
1,2,degree,Directed,1221,,7.557472901614746
2,2,degree,Directed,1222,,11.853503546775507
8,8,degree,Directed,1223,,10.379783841404883
7,7,degree,Directed,1224,,10.732912351388622
14,14,degree,Directed,1225,,7.861341795599989
14,2,degree,Directed,1226,,6.915723448631314
15,7,degree,Directed,1227,,6.3818160174060985
7,15,degree,Directed,1228,,5.627621113690637
15,15,degree,Directed,1229,,9.116688815894728
1,1,degree,Directed,1230,,9.097395612960048
8,1,degree,Directed,1231,,7.4489161025442
8,2,degree,Directed,1232,,8.374015421739909
1,8,degree,Directed,1233,,6.915723448631314
3,1,degree,Directed,1234,,5.8971538676367405
1,3,degree,Directed,1235,,5.616771097666572
3,2,degree,Directed,1236,,8.943375541113124
5,5,degree,Directed,1237,,9.636588019266876
4,1,degree,Directed,1238,,4.90527477843843
21,1,degree,Directed,1239,,3.828641396489095
1,21,degree,Directed,1240,,3.5553480614894135
21,21,degree,Directed,1241,,8.035602692918582
5,2,degree,Directed,1242,,8.74321260347591
3,3,degree,Directed,1243,,10.326235776766852
2,1,degree,Directed,1244,,6.732210706467206
10,16,degree,Directed,1245,,3.6375861597263857
16,15,degree,Directed,1246,,6.553933404025811
18,24,degree,Directed,1247,,1.791759469228055
24,1,degree,Directed,1248,,1.9459101490553132
1,7,degree,Directed,1249,,6.1675164908883415
6,1,degree,Directed,1250,,4.584967478670572
9,1,degree,Directed,1251,,3.2188758248682006
1,9,degree,Directed,1252,,1.3862943611198906
9,3,degree,Directed,1253,,4.584967478670572
1,4,degree,Directed,1254,,4.844187086458591
12,12,degree,Directed,1255,,8.01532730902172
12,1,degree,Directed,1256,,4.3694478524670215
8,7,degree,Directed,1257,,7.112327444710911
9,7,degree,Directed,1258,,5.0238805208462765
15,16,degree,Directed,1259,,6.030685260261263
16,1,degree,Directed,1260,,4.969813299576001
10,7,degree,Directed,1261,,4.955827057601261
13,2,degree,Directed,1262,,6.536691597591305
20,1,degree,Directed,1263,,3.091042453358316
1,10,degree,Directed,1264,,3.367295829986474
10,1,degree,Directed,1265,,4.143134726391533
8,3,degree,Directed,1266,,6.525029657843462
3,5,degree,Directed,1267,,6.47543271670409
1,6,degree,Directed,1268,,4.143134726391533
11,11,degree,Directed,1269,,6.695798917058491
11,1,degree,Directed,1270,,4.02535169073515
4,2,degree,Directed,1271,,7.333023014386481
5,4,degree,Directed,1272,,5.272999558563747
13,1,degree,Directed,1273,,3.7376696182833684
2,8,degree,Directed,1274,,7.265429723253953
8,5,degree,Directed,1275,,6.670766320845874
2,4,degree,Directed,1276,,6.911747300251674
24,24,degree,Directed,1277,,4.04305126783455
5,8,degree,Directed,1278,,6.652863029353347
9,9,degree,Directed,1279,,6.473890696352274
23,1,degree,Directed,1280,,2.833213344056216
18,18,degree,Directed,1281,,8.766550149546351
18,15,degree,Directed,1282,,5.8289456176102075
15,1,degree,Directed,1283,,4.553876891600541
10,10,degree,Directed,1284,,7.069023426578259
10,5,degree,Directed,1285,,4.174387269895637
14,1,degree,Directed,1286,,3.828641396489095
2,5,degree,Directed,1287,,7.406103381237015
18,1,degree,Directed,1288,,4.672828834461906
1,16,degree,Directed,1289,,3.970291913552122
16,16,degree,Directed,1290,,8.581294116822761
6,7,degree,Directed,1291,,6.364750756851911
1,20,degree,Directed,1292,,2.0794415416798357
19,7,degree,Directed,1293,,4.430816798843313
25,1,degree,Directed,1294,,3.044522437723423
3,8,degree,Directed,1295,,6.338594078203183
3,7,degree,Directed,1296,,7.980365765111246
1,11,degree,Directed,1297,,1.6094379124341003
14,3,degree,Directed,1298,,5.84354441703136
3,13,degree,Directed,1299,,5.0369526024136295
11,7,degree,Directed,1300,,4.59511985013459
7,3,degree,Directed,1301,,7.261225091971921
1,18,degree,Directed,1302,,3.258096538021482
14,4,degree,Directed,1303,,6.269096283706261
1,15,degree,Directed,1304,,4.189654742026425
4,4,degree,Directed,1305,,8.529516941105069
4,7,degree,Directed,1306,,6.411818267709897
7,2,degree,Directed,1307,,8.738575192110787
8,4,degree,Directed,1308,,5.846438775057725
7,8,degree,Directed,1309,,6.6052979209482015
7,5,degree,Directed,1310,,7.5766097669730375
8,6,degree,Directed,1311,,5.19295685089021
2,3,degree,Directed,1312,,7.67786350067821
2,6,degree,Directed,1313,,6.2878585601617845
23,23,degree,Directed,1314,,6.398594934535208
13,7,degree,Directed,1315,,6.300785794663244
13,13,degree,Directed,1316,,7.091742115095153
18,3,degree,Directed,1317,,5.793013608384144
19,3,degree,Directed,1318,,4.836281906951478
15,2,degree,Directed,1319,,7.462214939768189
8,23,degree,Directed,1320,,2.4849066497880004
10,2,degree,Directed,1321,,6.2324480165505225
2,10,degree,Directed,1322,,5.356586274672012
6,6,degree,Directed,1323,,8.685753832960154
22,5,degree,Directed,1324,,3.367295829986474
5,18,degree,Directed,1325,,4.204692619390966
1,19,degree,Directed,1326,,2.833213344056216
19,19,degree,Directed,1327,,6.692083742506628
5,17,degree,Directed,1328,,2.3978952727983707
14,7,degree,Directed,1329,,5.5254529391317835
7,4,degree,Directed,1330,,6.396929655216146
16,3,degree,Directed,1331,,5.568344503761097
3,16,degree,Directed,1332,,4.882801922586371
13,3,degree,Directed,1333,,5.823045895483019
2,7,degree,Directed,1334,,8.062432791583195
5,3,degree,Directed,1335,,6.375024819828097
15,3,degree,Directed,1336,,5.802118375377063
6,13,degree,Directed,1337,,2.70805020110221
13,6,degree,Directed,1338,,3.367295829986474
11,3,degree,Directed,1339,,5.117993812416755
3,18,degree,Directed,1340,,4.804021044733257
3,4,degree,Directed,1341,,6.558197802812269
5,7,degree,Directed,1342,,7.175489713624222
6,3,degree,Directed,1343,,6.1224928095143865
11,2,degree,Directed,1344,,6.380122536899765
12,15,degree,Directed,1345,,4.1588830833596715
3,6,degree,Directed,1346,,5.6131281063880705
12,3,degree,Directed,1347,,5.627621113690637
6,2,degree,Directed,1348,,7.359467638255621
10,3,degree,Directed,1349,,4.663439094112067
16,2,degree,Directed,1350,,7.083387847625295
23,3,degree,Directed,1351,,4.02535169073515
3,23,degree,Directed,1352,,3.4339872044851463
19,15,degree,Directed,1353,,2.9444389791664403
23,18,degree,Directed,1354,,2.9444389791664403
3,20,degree,Directed,1355,,3.4965075614664802
3,15,degree,Directed,1356,,5.342334251964811
3,14,degree,Directed,1357,,5.641907070938114
3,17,degree,Directed,1358,,3.713572066704308
17,15,degree,Directed,1359,,1.3862943611198906
15,8,degree,Directed,1360,,5.3706380281276624
3,12,degree,Directed,1361,,4.6443908991413725
3,21,degree,Directed,1362,,4.060443010546419
3,11,degree,Directed,1363,,4.174387269895637
12,5,degree,Directed,1364,,4.290459441148391
18,2,degree,Directed,1365,,7.333023014386481
22,2,degree,Directed,1366,,5.746203190540153
2,15,degree,Directed,1367,,6.253828811575473
7,18,degree,Directed,1368,,5.214935757608986
