Source,Target,Kind,Type,Id,Label,Weight
1,5,degree,Directed,1218,,24.515301344262525
5,1,degree,Directed,1219,,35.199431813596085
7,1,degree,Directed,1220,,20.248456731316587
1,2,degree,Directed,1221,,43.76071297408213
2,2,degree,Directed,1222,,374.93466097441564
8,8,degree,Directed,1223,,179.44915714485816
7,7,degree,Directed,1224,,214.10277905716217
14,14,degree,Directed,1225,,50.941142507800116
14,2,degree,Directed,1226,,31.74901573277509
15,7,degree,Directed,1227,,24.310491562286437
7,15,degree,Directed,1228,,16.673332000533065
15,15,degree,Directed,1229,,95.42536350467836
1,1,degree,Directed,1230,,94.50925880568528
8,1,degree,Directed,1231,,41.44876355212541
8,2,degree,Directed,1232,,65.82552696332935
1,8,degree,Directed,1233,,31.74901573277509
3,1,degree,Directed,1234,,19.078784028338912
1,3,degree,Directed,1235,,16.583123951777
3,2,degree,Directed,1236,,87.50428560933459
5,5,degree,Directed,1237,,123.75378782081783
4,1,degree,Directed,1238,,11.61895003862225
21,1,degree,Directed,1239,,6.782329983125268
1,21,degree,Directed,1240,,5.916079783099616
21,21,degree,Directed,1241,,55.57877292636101
5,2,degree,Directed,1242,,79.17070165155795
3,3,degree,Directed,1243,,174.7083283647348
2,1,degree,Directed,1244,,28.965496715920477
10,16,degree,Directed,1245,,6.164414002968976
16,15,degree,Directed,1246,,26.49528259898354
18,24,degree,Directed,1247,,2.449489742783178
24,1,degree,Directed,1248,,2.6457513110645907
1,7,degree,Directed,1249,,21.840329667841555
6,1,degree,Directed,1250,,9.899494936611665
9,1,degree,Directed,1251,,5.0
1,9,degree,Directed,1252,,2.0
9,3,degree,Directed,1253,,9.899494936611665
1,4,degree,Directed,1254,,11.269427669584644
12,12,degree,Directed,1255,,55.018178813915675
12,1,degree,Directed,1256,,8.888194417315589
8,7,degree,Directed,1257,,35.02855977627399
9,7,degree,Directed,1258,,12.328828005937952
15,16,degree,Directed,1259,,20.396078054371138
16,1,degree,Directed,1260,,12.0
10,7,degree,Directed,1261,,11.916375287812984
13,2,degree,Directed,1262,,26.267851073127396
20,1,degree,Directed,1263,,4.69041575982343
1,10,degree,Directed,1264,,5.385164807134504
10,1,degree,Directed,1265,,7.937253933193772
8,3,degree,Directed,1266,,26.115129714401192
3,5,degree,Directed,1267,,25.475478405713993
1,6,degree,Directed,1268,,7.937253933193772
11,11,degree,Directed,1269,,28.442925306655784
11,1,degree,Directed,1270,,7.483314773547883
4,2,degree,Directed,1271,,39.11521443121589
5,4,degree,Directed,1272,,13.96424004376894
13,1,degree,Directed,1273,,6.48074069840786
