Source,Target,Kind,Type,Id,Label,Weight
1,5,degree,Directed,1218,,601
5,1,degree,Directed,1219,,1239
7,1,degree,Directed,1220,,410
1,2,degree,Directed,1221,,1915
2,2,degree,Directed,1222,,140576
8,8,degree,Directed,1223,,32202
7,7,degree,Directed,1224,,45840
14,14,degree,Directed,1225,,2595
14,2,degree,Directed,1226,,1008
15,7,degree,Directed,1227,,591
7,15,degree,Directed,1228,,278
15,15,degree,Directed,1229,,9106
1,1,degree,Directed,1230,,8932
8,1,degree,Directed,1231,,1718
8,2,degree,Directed,1232,,4333
1,8,degree,Directed,1233,,1008
3,1,degree,Directed,1234,,364
1,3,degree,Directed,1235,,275
3,2,degree,Directed,1236,,7657
5,5,degree,Directed,1237,,15315
4,1,degree,Directed,1238,,135
21,1,degree,Directed,1239,,46
1,21,degree,Directed,1240,,35
21,21,degree,Directed,1241,,3089
5,2,degree,Directed,1242,,6268
3,3,degree,Directed,1243,,30523
2,1,degree,Directed,1244,,839
10,16,degree,Directed,1245,,38
16,15,degree,Directed,1246,,702
18,24,degree,Directed,1247,,6
24,1,degree,Directed,1248,,7
1,7,degree,Directed,1249,,477
6,1,degree,Directed,1250,,98
9,1,degree,Directed,1251,,25
1,9,degree,Directed,1252,,4
9,3,degree,Directed,1253,,98
1,4,degree,Directed,1254,,127
12,12,degree,Directed,1255,,3027
12,1,degree,Directed,1256,,79
8,7,degree,Directed,1257,,1227
9,7,degree,Directed,1258,,152
15,16,degree,Directed,1259,,416
16,1,degree,Directed,1260,,144
10,7,degree,Directed,1261,,142
13,2,degree,Directed,1262,,690
20,1,degree,Directed,1263,,22
1,10,degree,Directed,1264,,29
10,1,degree,Directed,1265,,63
8,3,degree,Directed,1266,,682
3,5,degree,Directed,1267,,649
1,6,degree,Directed,1268,,63
11,11,degree,Directed,1269,,809
11,1,degree,Directed,1270,,56
4,2,degree,Directed,1271,,1530
5,4,degree,Directed,1272,,195
13,1,degree,Directed,1273,,42
2,8,degree,Directed,1274,,1430
8,5,degree,Directed,1275,,789
2,4,degree,Directed,1276,,1004
24,24,degree,Directed,1277,,57
5,8,degree,Directed,1278,,775
9,9,degree,Directed,1279,,648
23,1,degree,Directed,1280,,17
18,18,degree,Directed,1281,,6416
18,15,degree,Directed,1282,,340
15,1,degree,Directed,1283,,95
10,10,degree,Directed,1284,,1175
10,5,degree,Directed,1285,,65
14,1,degree,Directed,1286,,46
2,5,degree,Directed,1287,,1646
18,1,degree,Directed,1288,,107
1,16,degree,Directed,1289,,53
16,16,degree,Directed,1290,,5331
6,7,degree,Directed,1291,,581
1,20,degree,Directed,1292,,8
19,7,degree,Directed,1293,,84
25,1,degree,Directed,1294,,21
3,8,degree,Directed,1295,,566
3,7,degree,Directed,1296,,2923
1,11,degree,Directed,1297,,5
14,3,degree,Directed,1298,,345
3,13,degree,Directed,1299,,154
11,7,degree,Directed,1300,,99
7,3,degree,Directed,1301,,1424
1,18,degree,Directed,1302,,26
14,4,degree,Directed,1303,,528
1,15,degree,Directed,1304,,66
4,4,degree,Directed,1305,,5062
4,7,degree,Directed,1306,,609
7,2,degree,Directed,1307,,6239
8,4,degree,Directed,1308,,346
7,8,degree,Directed,1309,,739
7,5,degree,Directed,1310,,1952
8,6,degree,Directed,1311,,180
2,3,degree,Directed,1312,,2160
2,6,degree,Directed,1313,,538
23,23,degree,Directed,1314,,601
13,7,degree,Directed,1315,,545
13,13,degree,Directed,1316,,1202
18,3,degree,Directed,1317,,328
19,3,degree,Directed,1318,,126
15,2,degree,Directed,1319,,1741
8,23,degree,Directed,1320,,12
10,2,degree,Directed,1321,,509
2,10,degree,Directed,1322,,212
6,6,degree,Directed,1323,,5918
22,5,degree,Directed,1324,,29
5,18,degree,Directed,1325,,67
1,19,degree,Directed,1326,,17
19,19,degree,Directed,1327,,806
5,17,degree,Directed,1328,,11
14,7,degree,Directed,1329,,251
7,4,degree,Directed,1330,,600
16,3,degree,Directed,1331,,262
3,16,degree,Directed,1332,,132
13,3,degree,Directed,1333,,338
2,7,degree,Directed,1334,,3173
5,3,degree,Directed,1335,,587
15,3,degree,Directed,1336,,331
6,13,degree,Directed,1337,,15
13,6,degree,Directed,1338,,29
11,3,degree,Directed,1339,,167
3,18,degree,Directed,1340,,122
3,4,degree,Directed,1341,,705
5,7,degree,Directed,1342,,1307
6,3,degree,Directed,1343,,456
11,2,degree,Directed,1344,,590
12,15,degree,Directed,1345,,64
3,6,degree,Directed,1346,,274
12,3,degree,Directed,1347,,278
6,2,degree,Directed,1348,,1571
10,3,degree,Directed,1349,,106
16,2,degree,Directed,1350,,1192
23,3,degree,Directed,1351,,56
3,23,degree,Directed,1352,,31
19,15,degree,Directed,1353,,19
23,18,degree,Directed,1354,,19
3,20,degree,Directed,1355,,33
