Source,Target,Kind,Type,Id,Label,Weight,From,Destination,year
5,1,birth,Directed,1,,17,parana,santa catarina,2006
1,5,degree,Directed,2,,42,santa catarina,parana,2008
5,1,degree,Directed,3,,24,parana,santa catarina,2014
1,5,work,Directed,4,,708,santa catarina,parana,0
7,1,degree,Directed,5,,26,rio de janeiro,santa catarina,2006
1,2,degree,Directed,6,,45,santa catarina,sao paulo,1995
2,2,degree,Directed,7,,4451,sao paulo,sao paulo,1998
8,8,birth,Directed,8,,251,rio grande do sul,rio grande do sul,1976
8,8,degree,Directed,9,,211,rio grande do sul,rio grande do sul,1979
8,8,work,Directed,10,,8858,rio grande do sul,rio grande do sul,0
7,7,birth,Directed,11,,622,rio de janeiro,rio de janeiro,1985
7,7,degree,Directed,12,,1412,rio de janeiro,rio de janeiro,1998
7,7,degree,Directed,13,,494,rio de janeiro,rio de janeiro,1987
7,7,degree,Directed,14,,1348,rio de janeiro,rio de janeiro,1997
7,7,work,Directed,15,,13133,rio de janeiro,rio de janeiro,0
8,7,birth,Directed,16,,13,rio grande do sul,rio de janeiro,1989
7,7,degree,Directed,17,,2019,rio de janeiro,rio de janeiro,2007
11,14,birth,Directed,19,,3,mato grosso,goias,2000
14,14,degree,Directed,20,,102,goias,goias,2004
14,14,degree,Directed,21,,114,goias,goias,2003
14,2,degree,Directed,22,,25,goias,sao paulo,2011
16,15,birth,Directed,23,,6,paraiba,pernambuco,1973
15,7,degree,Directed,24,,9,pernambuco,rio de janeiro,1974
7,15,degree,Directed,25,,14,rio de janeiro,pernambuco,2000
15,15,degree,Directed,26,,428,pernambuco,pernambuco,2012
15,25,work,Directed,27,,7,pernambuco,rondonia,0
1,1,birth,Directed,28,,51,santa catarina,santa catarina,1975
1,1,degree,Directed,29,,470,santa catarina,santa catarina,2004
1,2,degree,Directed,30,,4,santa catarina,sao paulo,1977
2,2,degree,Directed,31,,1081,sao paulo,sao paulo,1983
2,1,work,Directed,32,,1266,sao paulo,santa catarina,0
1,1,birth,Directed,33,,172,santa catarina,santa catarina,2004
1,1,degree,Directed,34,,446,santa catarina,santa catarina,2002
1,1,degree,Directed,35,,434,santa catarina,santa catarina,2008
1,1,degree,Directed,36,,419,santa catarina,santa catarina,2010
8,8,birth,Directed,37,,559,rio grande do sul,rio grande do sul,1998
8,1,degree,Directed,38,,69,rio grande do sul,santa catarina,1999
1,1,work,Directed,41,,2432,santa catarina,santa catarina,0
8,8,birth,Directed,42,,108,rio grande do sul,rio grande do sul,1968
8,8,degree,Directed,43,,26,rio grande do sul,rio grande do sul,1969
8,8,degree,Directed,44,,34,rio grande do sul,rio grande do sul,1970
8,2,degree,Directed,45,,14,rio grande do sul,sao paulo,1976
1,1,birth,Directed,47,,12,santa catarina,santa catarina,1969
1,2,degree,Directed,48,,2,santa catarina,sao paulo,1970
