Source,Target,Kind,Type,Id,Label,Weight,From,Destination,year
5,1,degree,Directed,3,,20,parana,santa catarina,2014
2,2,degree,Directed,7,,1743,sao paulo,sao paulo,1998
7,7,degree,Directed,14,,411,rio de janeiro,rio de janeiro,1997
14,2,degree,Directed,22,,22,goias,sao paulo,2011
15,15,degree,Directed,26,,374,pernambuco,pernambuco,2012
1,1,degree,Directed,40,,232,santa catarina,santa catarina,2008
8,2,degree,Directed,45,,4,rio grande do sul,sao paulo,1976
2,2,degree,Directed,51,,1557,sao paulo,sao paulo,1997
8,8,degree,Directed,57,,147,rio grande do sul,rio grande do sul,1998
3,2,degree,Directed,66,,62,minas gerais,sao paulo,1997
5,5,degree,Directed,73,,552,parana,parana,2014
8,8,degree,Directed,77,,1153,rio grande do sul,rio grande do sul,2012
1,1,degree,Directed,83,,270,santa catarina,santa catarina,2010
1,1,degree,Directed,89,,227,santa catarina,santa catarina,2007
1,3,degree,Directed,93,,10,santa catarina,minas gerais,2012
1,1,degree,Directed,114,,331,santa catarina,santa catarina,2012
1,8,degree,Directed,118,,4,santa catarina,rio grande do sul,1998
1,1,degree,Directed,123,,341,santa catarina,santa catarina,2013
21,21,degree,Directed,127,,75,rio grande do norte,rio grande do norte,2008
5,2,degree,Directed,132,,62,parana,sao paulo,1999
1,1,degree,Directed,141,,270,santa catarina,santa catarina,2009
1,8,degree,Directed,145,,2,santa catarina,rio grande do sul,1992
2,2,degree,Directed,154,,3266,sao paulo,sao paulo,2006
1,2,degree,Directed,159,,40,santa catarina,sao paulo,2002
1,1,degree,Directed,163,,34,santa catarina,santa catarina,1996
7,7,degree,Directed,168,,573,rio de janeiro,rio de janeiro,2000
3,3,degree,Directed,173,,791,minas gerais,minas gerais,2010
1,1,degree,Directed,178,,260,santa catarina,santa catarina,2004
15,15,degree,Directed,182,,399,pernambuco,pernambuco,2013
2,2,degree,Directed,186,,2634,sao paulo,sao paulo,2014
7,1,degree,Directed,201,,4,rio de janeiro,santa catarina,1995
2,2,degree,Directed,211,,1340,sao paulo,sao paulo,1996
1,1,degree,Directed,220,,147,santa catarina,santa catarina,2001
1,1,degree,Directed,224,,299,santa catarina,santa catarina,2011
2,2,degree,Directed,237,,2626,sao paulo,sao paulo,2002
1,2,degree,Directed,252,,33,santa catarina,sao paulo,1998
1,1,degree,Directed,257,,163,santa catarina,santa catarina,2002
2,1,degree,Directed,273,,21,sao paulo,santa catarina,2002
1,1,degree,Directed,278,,260,santa catarina,santa catarina,2005
9,3,degree,Directed,287,,3,maranhao,minas gerais,2013
1,1,degree,Directed,300,,69,santa catarina,santa catarina,1999
1,2,degree,Directed,320,,21,santa catarina,sao paulo,1999
1,1,degree,Directed,325,,250,santa catarina,santa catarina,2003
1,1,degree,Directed,329,,242,santa catarina,santa catarina,2006
2,2,degree,Directed,344,,489,sao paulo,sao paulo,1988
2,2,degree,Directed,349,,807,sao paulo,sao paulo,1993
2,2,degree,Directed,365,,3344,sao paulo,sao paulo,2008
1,1,degree,Directed,368,,5,santa catarina,santa catarina,1975
2,2,degree,Directed,373,,1926,sao paulo,sao paulo,1999
2,2,degree,Directed,377,,3377,sao paulo,sao paulo,2011
2,1,degree,Directed,384,,22,sao paulo,santa catarina,2006
16,1,degree,Directed,405,,6,paraiba,santa catarina,2005
1,1,degree,Directed,410,,279,santa catarina,santa catarina,2014
2,1,degree,Directed,413,,22,sao paulo,santa catarina,2007
5,1,degree,Directed,418,,19,parana,santa catarina,2005
8,1,degree,Directed,428,,21,rio grande do sul,santa catarina,2006
7,1,degree,Directed,432,,15,rio de janeiro,santa catarina,2006
1,1,degree,Directed,440,,88,santa catarina,santa catarina,2000
8,1,degree,Directed,464,,26,rio grande do sul,santa catarina,2000
1,1,degree,Directed,469,,43,santa catarina,santa catarina,1998
2,1,degree,Directed,472,,22,sao paulo,santa catarina,2009
10,1,degree,Directed,476,,8,amazonas,santa catarina,2014
5,1,degree,Directed,487,,24,parana,santa catarina,2003
8,1,degree,Directed,491,,34,rio grande do sul,santa catarina,2014
8,1,degree,Directed,494,,17,rio grande do sul,santa catarina,1999
8,1,degree,Directed,534,,26,rio grande do sul,santa catarina,2007
5,1,degree,Directed,539,,26,parana,santa catarina,2009
4,1,degree,Directed,555,,2,federal district,santa catarina,1999
5,1,degree,Directed,558,,13,parana,santa catarina,2001
2,1,degree,Directed,573,,5,sao paulo,santa catarina,1998
11,1,degree,Directed,578,,1,mato grosso,santa catarina,2005
6,1,degree,Directed,585,,1,bahia,santa catarina,2014
2,1,degree,Directed,593,,15,sao paulo,santa catarina,2003
8,1,degree,Directed,607,,32,rio grande do sul,santa catarina,2011
3,1,degree,Directed,611,,6,minas gerais,santa catarina,2008
8,1,degree,Directed,622,,24,rio grande do sul,santa catarina,2004
3,1,degree,Directed,653,,10,minas gerais,santa catarina,2007
1,1,degree,Directed,666,,12,santa catarina,santa catarina,0
5,1,degree,Directed,686,,25,parana,santa catarina,2004
8,1,degree,Directed,718,,30,rio grande do sul,santa catarina,2005
4,1,degree,Directed,737,,2,federal district,santa catarina,2008
1,1,degree,Directed,769,,33,santa catarina,santa catarina,1995
9,1,degree,Directed,831,,2,maranhao,santa catarina,2012
15,1,degree,Directed,888,,1,pernambuco,santa catarina,1995
1,1,degree,Directed,914,,30,santa catarina,santa catarina,1997
15,1,degree,Directed,924,,3,pernambuco,santa catarina,2013
8,1,degree,Directed,990,,25,rio grande do sul,santa catarina,2010
5,1,degree,Directed,1026,,19,parana,santa catarina,2008
1,1,birth,Directed,1036,,3,santa catarina,santa catarina,2000
8,1,degree,Directed,1059,,12,rio grande do sul,santa catarina,1998
16,1,degree,Directed,1067,,1,paraiba,santa catarina,2009
16,1,degree,Directed,1102,,15,paraiba,santa catarina,2001
16,1,degree,Directed,1140,,4,paraiba,santa catarina,2006
7,1,degree,Directed,1151,,10,rio de janeiro,santa catarina,2002
2,1,degree,Directed,1155,,17,sao paulo,santa catarina,2013
8,1,degree,Directed,1164,,33,rio grande do sul,santa catarina,2009
5,1,degree,Directed,1177,,20,parana,santa catarina,2012
5,1,degree,Directed,1197,,25,parana,santa catarina,2013
2,1,degree,Directed,1213,,24,sao paulo,santa catarina,2004
7,1,degree,Directed,1229,,4,rio de janeiro,santa catarina,1997
15,1,degree,Directed,1233,,5,pernambuco,santa catarina,2008
8,1,degree,Directed,1247,,22,rio grande do sul,santa catarina,2002
12,1,birth,Directed,1300,,1,para,santa catarina,2010
1,1,degree,Directed,1320,,26,santa catarina,santa catarina,1994
2,1,birth,Directed,1349,,3,sao paulo,santa catarina,2001
18,1,degree,Directed,1380,,5,ceara,santa catarina,2008
7,1,degree,Directed,1404,,14,rio de janeiro,santa catarina,2003
5,1,degree,Directed,1409,,23,parana,santa catarina,2006
11,1,degree,Directed,1413,,1,mato grosso,santa catarina,2011
13,1,degree,Directed,1430,,2,espirito santo,santa catarina,2014
1,1,degree,Directed,1455,,11,santa catarina,santa catarina,1993
8,1,degree,Directed,1458,,19,rio grande do sul,santa catarina,2001
