Source,Target,Kind,Type,Id,Label,Weight
1,5,work,Directed,636,,6.56244409369372
8,8,work,Directed,637,,9.089076284483143
7,7,work,Directed,638,,9.48288342558516
15,25,work,Directed,639,,1.9459101490553132
2,1,work,Directed,640,,7.143617602704121
1,1,work,Directed,641,,7.796469243086058
5,27,work,Directed,642,,2.302585092994046
2,3,work,Directed,643,,8.350429973538136
3,23,work,Directed,644,,4.276666119016055
21,21,work,Directed,645,,6.866933284461882
1,21,work,Directed,646,,3.7612001156935624
2,8,work,Directed,647,,7.369600720526409
3,3,work,Directed,648,,8.952217101765946
2,14,work,Directed,649,,6.9440872082295275
1,8,work,Directed,650,,6.236369590203704
2,2,work,Directed,651,,10.535928857978679
3,9,work,Directed,652,,4.1588830833596715
2,4,work,Directed,653,,6.933423025730715
2,12,work,Directed,654,,6.637258031284457
1,3,work,Directed,655,,4.948759890378168
1,17,work,Directed,656,,2.9444389791664403
1,9,work,Directed,657,,2.995732273553991
1,4,work,Directed,658,,4.31748811353631
1,10,work,Directed,659,,3.784189633918261
1,13,work,Directed,660,,3.6888794541139363
1,7,work,Directed,661,,4.454347296253507
6,1,work,Directed,662,,3.091042453358316
1,11,work,Directed,663,,3.6888794541139363
1,16,work,Directed,664,,4.290459441148391
1,18,work,Directed,665,,4.0943445622221
5,1,work,Directed,666,,5.424950017481403
1,24,work,Directed,667,,2.3978952727983707
1,19,work,Directed,668,,3.8918202981106265
1,22,work,Directed,669,,2.833213344056216
1,15,work,Directed,670,,3.7612001156935624
1,25,work,Directed,671,,2.5649493574615367
1,26,work,Directed,672,,2.3978952727983707
1,6,work,Directed,673,,4.31748811353631
1,14,work,Directed,674,,3.5553480614894135
20,20,work,Directed,675,,5.176149732573829
1,2,work,Directed,676,,4.6443908991413725
1,12,work,Directed,677,,3.912023005428146
5,5,work,Directed,678,,8.347590407030058
18,12,work,Directed,679,,3.828641396489095
7,16,work,Directed,680,,5.37989735354046
8,1,work,Directed,681,,6.669498089857879
7,8,work,Directed,682,,5.814130531825066
7,1,work,Directed,683,,5.455321115357702
5,24,work,Directed,684,,2.3978952727983707
7,4,work,Directed,685,,5.8522024797744745
2,21,work,Directed,686,,6.444131256700441
3,1,work,Directed,687,,4.736198448394496
8,5,work,Directed,688,,6.129050210060545
4,1,work,Directed,689,,3.4657359027997265
5,17,work,Directed,690,,4.718498871295094
3,5,work,Directed,691,,5.768320995793772
6,8,work,Directed,692,,3.2188758248682006
8,6,work,Directed,693,,4.9344739331306915
6,23,work,Directed,694,,4.48863636973214
7,2,work,Directed,695,,6.803505257608338
2,5,work,Directed,696,,8.357493812658563
7,10,work,Directed,697,,4.727387818712341
8,7,work,Directed,698,,5.2832037287379885
18,18,work,Directed,699,,7.401231264413015
18,11,work,Directed,700,,2.0794415416798357
2,6,work,Directed,701,,7.27655640271871
3,14,work,Directed,702,,5.726847747587197
8,10,work,Directed,703,,3.4011973816621555
6,7,work,Directed,704,,3.9512437185814275
15,15,work,Directed,705,,7.867105500316739
8,3,work,Directed,706,,5.0238805208462765
23,23,work,Directed,707,,5.123963979403259
6,6,work,Directed,708,,7.607381425639791
8,17,work,Directed,709,,5.493061443340548
5,2,work,Directed,710,,5.272999558563747
2,15,work,Directed,711,,6.729824070489475
17,5,work,Directed,712,,1.3862943611198906
9,9,work,Directed,713,,4.672828834461906
4,14,work,Directed,714,,5.7899601708972535
2,17,work,Directed,715,,6.625392368007956
2,13,work,Directed,716,,6.284134161070802
3,13,work,Directed,717,,5.739792912179234
3,21,work,Directed,718,,4.174387269895637
3,17,work,Directed,719,,6.29156913955832
3,19,work,Directed,720,,4.51085950651685
4,4,work,Directed,721,,7.43955930913332
7,3,work,Directed,722,,7.177782416195197
3,27,work,Directed,723,,3.4339872044851463
16,26,work,Directed,724,,2.302585092994046
7,11,work,Directed,725,,4.762173934797756
3,6,work,Directed,726,,5.7745515455444085
7,19,work,Directed,727,,4.1588830833596715
16,15,work,Directed,728,,5.147494476813453
3,11,work,Directed,729,,5.3230099791384085
3,24,work,Directed,730,,3.784189633918261
3,8,work,Directed,731,,5.017279836814924
3,25,work,Directed,732,,3.091042453358316
3,7,work,Directed,733,,5.948034989180646
3,10,work,Directed,734,,4.2626798770413155
3,16,work,Directed,735,,4.804021044733257
4,17,work,Directed,736,,5.0106352940962555
15,17,work,Directed,737,,3.5263605246161616
2,11,work,Directed,738,,6.74993119378857
2,26,work,Directed,739,,5.181783550292085
7,13,work,Directed,740,,5.973809611869261
5,19,work,Directed,741,,4.624972813284271
3,2,work,Directed,742,,5.976350909297934
2,19,work,Directed,743,,6.894670039433482
14,14,work,Directed,744,,6.598509028614515
3,12,work,Directed,745,,4.897839799950911
7,12,work,Directed,746,,5.5254529391317835
2,16,work,Directed,747,,6.621405651764134
2,22,work,Directed,748,,5.84354441703136
18,6,work,Directed,749,,3.6888794541139363
