Source,Target,Kind,Type,Id,Label,Weight
1,5,work,Directed,636,,26.60826939130014
8,8,work,Directed,637,,94.11694852681954
7,7,work,Directed,638,,114.59930191759459
15,25,work,Directed,639,,2.6457513110645907
2,1,work,Directed,640,,35.58089374931439
1,1,work,Directed,641,,49.31531202375181
5,27,work,Directed,642,,3.1622776601683795
2,3,work,Directed,643,,65.05382386916237
3,23,work,Directed,644,,8.48528137423857
21,21,work,Directed,645,,30.983866769659336
1,21,work,Directed,646,,6.557438524302
2,8,work,Directed,647,,39.83716857408418
3,3,work,Directed,648,,87.89197915623473
2,14,work,Directed,649,,32.202484376209235
1,8,work,Directed,650,,22.60530911091463
2,2,work,Directed,651,,194.02061746113478
3,9,work,Directed,652,,8.0
2,4,work,Directed,653,,32.03123475609393
2,12,work,Directed,654,,27.622454633866266
1,3,work,Directed,655,,11.874342087037917
1,17,work,Directed,656,,4.358898943540674
1,9,work,Directed,657,,4.47213595499958
1,4,work,Directed,658,,8.660254037844387
1,10,work,Directed,659,,6.6332495807108
1,13,work,Directed,660,,6.324555320336759
1,7,work,Directed,661,,9.273618495495704
6,1,work,Directed,662,,4.69041575982343
1,11,work,Directed,663,,6.324555320336759
1,16,work,Directed,664,,8.54400374531753
1,18,work,Directed,665,,7.745966692414834
5,1,work,Directed,666,,15.066519173319364
1,24,work,Directed,667,,3.3166247903554
1,19,work,Directed,668,,7.0
1,22,work,Directed,669,,4.123105625617661
1,15,work,Directed,670,,6.557438524302
1,25,work,Directed,671,,3.605551275463989
1,26,work,Directed,672,,3.3166247903554
1,6,work,Directed,673,,8.660254037844387
1,14,work,Directed,674,,5.916079783099616
20,20,work,Directed,675,,13.30413469565007
1,2,work,Directed,676,,10.198039027185569
1,12,work,Directed,677,,7.0710678118654755
5,5,work,Directed,678,,64.96152707564686
18,12,work,Directed,679,,6.782329983125268
7,16,work,Directed,680,,14.730919862656235
8,1,work,Directed,681,,28.071337695236398
7,8,work,Directed,682,,18.303005217723125
7,1,work,Directed,683,,15.297058540778355
5,24,work,Directed,684,,3.3166247903554
7,4,work,Directed,685,,18.65475810617763
2,21,work,Directed,686,,25.079872407968907
3,1,work,Directed,687,,10.677078252031311
8,5,work,Directed,688,,21.42428528562855
4,1,work,Directed,689,,5.656854249492381
5,17,work,Directed,690,,10.583005244258363
3,5,work,Directed,691,,17.88854381999832
6,8,work,Directed,692,,5.0
8,6,work,Directed,693,,11.789826122551595
6,23,work,Directed,694,,9.433981132056603
7,2,work,Directed,695,,30.01666203960727
2,5,work,Directed,696,,65.28399497579785
7,10,work,Directed,697,,10.63014581273465
8,7,work,Directed,698,,14.035668847618199
18,18,work,Directed,699,,40.47221268969612
18,11,work,Directed,700,,2.8284271247461903
2,6,work,Directed,701,,38.02630668366309
3,14,work,Directed,702,,17.52141546793523
8,10,work,Directed,703,,5.477225575051661
6,7,work,Directed,704,,7.211102550927978
15,15,work,Directed,705,,51.088159097779204
8,3,work,Directed,706,,12.328828005937952
23,23,work,Directed,707,,12.96148139681572
6,6,work,Directed,708,,44.86646854834911
8,17,work,Directed,709,,15.588457268119896
5,2,work,Directed,710,,13.96424004376894
2,15,work,Directed,711,,28.930952282978865
17,5,work,Directed,712,,2.0
9,9,work,Directed,713,,10.344080432788601
4,14,work,Directed,714,,18.083141320025124
2,17,work,Directed,715,,27.459060435491963
2,13,work,Directed,716,,23.15167380558045
3,13,work,Directed,717,,17.635192088548397
3,21,work,Directed,718,,8.06225774829855
3,17,work,Directed,719,,23.2379000772445
3,19,work,Directed,720,,9.539392014169456
4,4,work,Directed,721,,41.255302689472536
7,3,work,Directed,722,,36.193922141707716
3,27,work,Directed,723,,5.5677643628300215
16,26,work,Directed,724,,3.1622776601683795
7,11,work,Directed,725,,10.816653826391969
3,6,work,Directed,726,,17.944358444926362
7,19,work,Directed,727,,8.0
16,15,work,Directed,728,,13.114877048604
3,11,work,Directed,729,,14.317821063276353
3,24,work,Directed,730,,6.6332495807108
3,8,work,Directed,731,,12.288205727444508
3,25,work,Directed,732,,4.69041575982343
3,7,work,Directed,733,,19.570385790780925
3,10,work,Directed,734,,8.426149773176359
3,16,work,Directed,735,,11.045361017187261
4,17,work,Directed,736,,12.24744871391589
15,17,work,Directed,737,,5.830951894845301
2,11,work,Directed,738,,29.223278392404914
2,26,work,Directed,739,,13.341664064126334
7,13,work,Directed,740,,19.82422760159901
5,19,work,Directed,741,,10.099504938362077
3,2,work,Directed,742,,19.849433241279208
2,19,work,Directed,743,,31.416556144810016
14,14,work,Directed,744,,27.09243436828813
3,12,work,Directed,745,,11.575836902790225
7,12,work,Directed,746,,15.84297951775486
2,16,work,Directed,747,,27.40437921208944
2,22,work,Directed,748,,18.57417562100671
18,6,work,Directed,749,,6.324555320336759
2,18,work,Directed,750,,28.513154858766505
10,27,work,Directed,751,,2.449489742783178
2,20,work,Directed,752,,17.52141546793523
2,7,work,Directed,753,,47.62352359916263
2,9,work,Directed,754,,22.869193252058544
14,4,work,Directed,755,,6.082762530298219
2,24,work,Directed,756,,10.816653826391969
15,20,work,Directed,757,,12.569805089976535
12,12,work,Directed,758,,29.916550603303182
7,15,work,Directed,759,,14.933184523068078
20,15,work,Directed,760,,4.242640687119285
20,8,work,Directed,761,,1.7320508075688772
7,6,work,Directed,762,,19.131126469708992
