Source,Target,Kind,Type,Id,Label,Weight
1,5,work,Directed,636,,708
8,8,work,Directed,637,,8858
7,7,work,Directed,638,,13133
15,25,work,Directed,639,,7
2,1,work,Directed,640,,1266
1,1,work,Directed,641,,2432
5,27,work,Directed,642,,10
2,3,work,Directed,643,,4232
3,23,work,Directed,644,,72
21,21,work,Directed,645,,960
1,21,work,Directed,646,,43
2,8,work,Directed,647,,1587
3,3,work,Directed,648,,7725
2,14,work,Directed,649,,1037
1,8,work,Directed,650,,511
2,2,work,Directed,651,,37644
3,9,work,Directed,652,,64
2,4,work,Directed,653,,1026
2,12,work,Directed,654,,763
1,3,work,Directed,655,,141
1,17,work,Directed,656,,19
1,9,work,Directed,657,,20
1,4,work,Directed,658,,75
1,10,work,Directed,659,,44
1,13,work,Directed,660,,40
1,7,work,Directed,661,,86
6,1,work,Directed,662,,22
1,11,work,Directed,663,,40
1,16,work,Directed,664,,73
1,18,work,Directed,665,,60
5,1,work,Directed,666,,227
1,24,work,Directed,667,,11
1,19,work,Directed,668,,49
1,22,work,Directed,669,,17
1,15,work,Directed,670,,43
1,25,work,Directed,671,,13
1,26,work,Directed,672,,11
1,6,work,Directed,673,,75
1,14,work,Directed,674,,35
20,20,work,Directed,675,,177
1,2,work,Directed,676,,104
1,12,work,Directed,677,,50
5,5,work,Directed,678,,4220
18,12,work,Directed,679,,46
7,16,work,Directed,680,,217
8,1,work,Directed,681,,788
7,8,work,Directed,682,,335
7,1,work,Directed,683,,234
5,24,work,Directed,684,,11
7,4,work,Directed,685,,348
2,21,work,Directed,686,,629
3,1,work,Directed,687,,114
8,5,work,Directed,688,,459
4,1,work,Directed,689,,32
5,17,work,Directed,690,,112
3,5,work,Directed,691,,320
6,8,work,Directed,692,,25
8,6,work,Directed,693,,139
6,23,work,Directed,694,,89
7,2,work,Directed,695,,901
2,5,work,Directed,696,,4262
7,10,work,Directed,697,,113
8,7,work,Directed,698,,197
18,18,work,Directed,699,,1638
18,11,work,Directed,700,,8
2,6,work,Directed,701,,1446
3,14,work,Directed,702,,307
8,10,work,Directed,703,,30
6,7,work,Directed,704,,52
15,15,work,Directed,705,,2610
8,3,work,Directed,706,,152
23,23,work,Directed,707,,168
6,6,work,Directed,708,,2013
8,17,work,Directed,709,,243
5,2,work,Directed,710,,195
2,15,work,Directed,711,,837
17,5,work,Directed,712,,4
9,9,work,Directed,713,,107
4,14,work,Directed,714,,327
2,17,work,Directed,715,,754
2,13,work,Directed,716,,536
3,13,work,Directed,717,,311
3,21,work,Directed,718,,65
3,17,work,Directed,719,,540
3,19,work,Directed,720,,91
4,4,work,Directed,721,,1702
7,3,work,Directed,722,,1310
3,27,work,Directed,723,,31
16,26,work,Directed,724,,10
7,11,work,Directed,725,,117
3,6,work,Directed,726,,322
7,19,work,Directed,727,,64
16,15,work,Directed,728,,172
3,11,work,Directed,729,,205
3,24,work,Directed,730,,44
3,8,work,Directed,731,,151
3,25,work,Directed,732,,22
3,7,work,Directed,733,,383
3,10,work,Directed,734,,71
3,16,work,Directed,735,,122
4,17,work,Directed,736,,150
15,17,work,Directed,737,,34
2,11,work,Directed,738,,854
2,26,work,Directed,739,,178
7,13,work,Directed,740,,393
5,19,work,Directed,741,,102
3,2,work,Directed,742,,394
2,19,work,Directed,743,,987
14,14,work,Directed,744,,734
3,12,work,Directed,745,,134
7,12,work,Directed,746,,251
2,16,work,Directed,747,,751
2,22,work,Directed,748,,345
18,6,work,Directed,749,,40
2,18,work,Directed,750,,813
10,27,work,Directed,751,,6
2,20,work,Directed,752,,307
2,7,work,Directed,753,,2268
2,9,work,Directed,754,,523
14,4,work,Directed,755,,37
2,24,work,Directed,756,,117
15,20,work,Directed,757,,158
12,12,work,Directed,758,,895
7,15,work,Directed,759,,223
20,15,work,Directed,760,,18
20,8,work,Directed,761,,3
7,6,work,Directed,762,,366
13,13,work,Directed,763,,377
2,10,work,Directed,764,,471
2,23,work,Directed,765,,444
10,10,work,Directed,766,,392
2,25,work,Directed,767,,154
4,7,work,Directed,768,,79
7,17,work,Directed,769,,183
15,2,work,Directed,770,,72
19,14,work,Directed,771,,5
15,16,work,Directed,772,,417
14,9,work,Directed,773,,8
8,25,work,Directed,774,,30
8,2,work,Directed,775,,206
16,2,work,Directed,776,,17
16,16,work,Directed,777,,1314
4,18,work,Directed,778,,59
15,22,work,Directed,779,,90
15,7,work,Directed,780,,47
7,5,work,Directed,781,,1083
19,19,work,Directed,782,,227
10,12,work,Directed,783,,40
4,12,work,Directed,784,,87
16,12,work,Directed,785,,29
18,9,work,Directed,786,,70
12,25,work,Directed,787,,15
4,19,work,Directed,788,,45
12,10,work,Directed,789,,24
12,9,work,Directed,790,,28
7,23,work,Directed,791,,79
18,26,work,Directed,792,,4
18,4,work,Directed,793,,19
4,5,work,Directed,794,,73
6,9,work,Directed,795,,14
18,13,work,Directed,796,,6
7,14,work,Directed,797,,150
16,11,work,Directed,798,,21
6,3,work,Directed,799,,57
6,15,work,Directed,800,,56
7,9,work,Directed,801,,154
5,22,work,Directed,802,,7
8,11,work,Directed,803,,104
18,7,work,Directed,804,,20
7,20,work,Directed,805,,95
16,21,work,Directed,806,,119
8,20,work,Directed,807,,36
7,21,work,Directed,808,,172
5,7,work,Directed,809,,366
7,18,work,Directed,810,,211
7,26,work,Directed,811,,47
