id,oX,oY,dX,dY,trips
1,-24,-51,-27.25,-50.333333,15
2,-24,-51,-23.533333,-46.633333,147
3,-24,-51,-22.9,-43.2,28
4,-24,-51,-15.933333,-50.133333,1
5,-24,-51,-8.34,-37.81,2
6,-24,-51,-30,-53,6
7,-24,-51,-19.816667,-43.95,16
8,-24,-51,-5.74,-36.55,1
10,-24,-51,-7.166667,-36.833333,1
11,-24,-51,-5,-63,4
12,-24,-51,-15.795,-47.757778,1
17,-24,-51,-5.666667,-52.733333,1
18,-24,-51,-20.442778,-54.645833,2
27,-27.25,-50.333333,-24,-51,11
29,-27.25,-50.333333,-23.533333,-46.633333,37
30,-27.25,-50.333333,-22.9,-43.2,7
32,-27.25,-50.333333,-8.34,-37.81,2
33,-27.25,-50.333333,-30,-53,11
34,-27.25,-50.333333,-19.816667,-43.95,7
36,-27.25,-50.333333,-6.183333,-45.616667,1
38,-27.25,-50.333333,-5,-63,1
39,-27.25,-50.333333,-15.795,-47.757778,2
54,-23.533333,-46.633333,-24,-51,26
55,-23.533333,-46.633333,-27.25,-50.333333,10
57,-23.533333,-46.633333,-22.9,-43.2,57
58,-23.533333,-46.633333,-15.933333,-50.133333,2
59,-23.533333,-46.633333,-8.34,-37.81,5
60,-23.533333,-46.633333,-30,-53,19
61,-23.533333,-46.633333,-19.816667,-43.95,32
62,-23.533333,-46.633333,-5.74,-36.55,2
63,-23.533333,-46.633333,-6.183333,-45.616667,1
64,-23.533333,-46.633333,-7.166667,-36.833333,2
65,-23.533333,-46.633333,-5,-63,3
66,-23.533333,-46.633333,-15.795,-47.757778,7
67,-23.533333,-46.633333,-15.566667,-56.066667,3
68,-23.533333,-46.633333,-12.52,-41.69,3
69,-23.533333,-46.633333,-5.08,-39.65,3
70,-23.533333,-46.633333,-20.318889,-40.337778,3
71,-23.533333,-46.633333,-5.666667,-52.733333,4
72,-23.533333,-46.633333,-20.442778,-54.645833,4
76,-23.533333,-46.633333,-9.57,-36.55,1
77,-23.533333,-46.633333,-10.59,-37.38,1
80,-23.533333,-46.633333,1,-52,1
81,-22.9,-43.2,-24,-51,42
82,-22.9,-43.2,-27.25,-50.333333,8
83,-22.9,-43.2,-23.533333,-46.633333,126
86,-22.9,-43.2,-8.34,-37.81,7
87,-22.9,-43.2,-30,-53,11
88,-22.9,-43.2,-19.816667,-43.95,28
89,-22.9,-43.2,-5.74,-36.55,3
91,-22.9,-43.2,-7.166667,-36.833333,3
92,-22.9,-43.2,-5,-63,4
93,-22.9,-43.2,-15.795,-47.757778,8
94,-22.9,-43.2,-15.566667,-56.066667,1
95,-22.9,-43.2,-12.52,-41.69,5
96,-22.9,-43.2,-5.08,-39.65,3
97,-22.9,-43.2,-20.318889,-40.337778,1
98,-22.9,-43.2,-5.666667,-52.733333,1
99,-22.9,-43.2,-20.442778,-54.645833,1
101,-22.9,-43.2,-8.233333,-43.1,1
103,-22.9,-43.2,-9.57,-36.55,1
104,-22.9,-43.2,-10.59,-37.38,1
110,-15.933333,-50.133333,-23.533333,-46.633333,19
111,-15.933333,-50.133333,-22.9,-43.2,4
114,-15.933333,-50.133333,-30,-53,3
115,-15.933333,-50.133333,-19.816667,-43.95,9
116,-15.933333,-50.133333,-5.74,-36.55,1
120,-15.933333,-50.133333,-15.795,-47.757778,9
123,-15.933333,-50.133333,-5.08,-39.65,1
124,-15.933333,-50.133333,-20.318889,-40.337778,1
135,-8.34,-37.81,-24,-51,3
136,-8.34,-37.81,-27.25,-50.333333,1
137,-8.34,-37.81,-23.533333,-46.633333,31
138,-8.34,-37.81,-22.9,-43.2,17
141,-8.34,-37.81,-30,-53,4
142,-8.34,-37.81,-19.816667,-43.95,10
143,-8.34,-37.81,-5.74,-36.55,1
145,-8.34,-37.81,-7.166667,-36.833333,9
147,-8.34,-37.81,-15.795,-47.757778,1
149,-8.34,-37.81,-12.52,-41.69,2
150,-8.34,-37.81,-5.08,-39.65,6
162,-30,-53,-24,-51,24
163,-30,-53,-27.25,-50.333333,36
164,-30,-53,-23.533333,-46.633333,97
165,-30,-53,-22.9,-43.2,26
166,-30,-53,-15.933333,-50.133333,1
167,-30,-53,-8.34,-37.81,1
169,-30,-53,-19.816667,-43.95,12
174,-30,-53,-15.795,-47.757778,14
176,-30,-53,-12.52,-41.69,1
177,-30,-53,-5.08,-39.65,1
179,-30,-53,-5.666667,-52.733333,2
183,-30,-53,-9.11,-70.52,1
189,-19.816667,-43.95,-24,-51,3
190,-19.816667,-43.95,-27.25,-50.333333,9
191,-19.816667,-43.95,-23.533333,-46.633333,155
192,-19.816667,-43.95,-22.9,-43.2,54
193,-19.816667,-43.95,-15.933333,-50.133333,2
194,-19.816667,-43.95,-8.34,-37.81,5
195,-19.816667,-43.95,-30,-53,9
199,-19.816667,-43.95,-7.166667,-36.833333,2
200,-19.816667,-43.95,-5,-63,3
201,-19.816667,-43.95,-15.795,-47.757778,12
202,-19.816667,-43.95,-15.566667,-56.066667,2
205,-19.816667,-43.95,-20.318889,-40.337778,1
206,-19.816667,-43.95,-5.666667,-52.733333,2
207,-19.816667,-43.95,-20.442778,-54.645833,1
218,-5.74,-36.55,-23.533333,-46.633333,13
219,-5.74,-36.55,-22.9,-43.2,3
221,-5.74,-36.55,-8.34,-37.81,5
222,-5.74,-36.55,-30,-53,1
226,-5.74,-36.55,-7.166667,-36.833333,2
227,-5.74,-36.55,-5,-63,1
228,-5.74,-36.55,-15.795,-47.757778,1
243,-6.183333,-45.616667,-24,-51,3
245,-6.183333,-45.616667,-23.533333,-46.633333,18
246,-6.183333,-45.616667,-22.9,-43.2,2
248,-6.183333,-45.616667,-8.34,-37.81,3
250,-6.183333,-45.616667,-19.816667,-43.95,5
255,-6.183333,-45.616667,-15.795,-47.757778,1
260,-6.183333,-45.616667,-5.666667,-52.733333,1
271,-7.166667,-36.833333,-27.25,-50.333333,1
272,-7.166667,-36.833333,-23.533333,-46.633333,25
273,-7.166667,-36.833333,-22.9,-43.2,7
275,-7.166667,-36.833333,-8.34,-37.81,8
276,-7.166667,-36.833333,-30,-53,1
277,-7.166667,-36.833333,-19.816667,-43.95,9
278,-7.166667,-36.833333,-5.74,-36.55,1
279,-7.166667,-36.833333,-6.183333,-45.616667,1
282,-7.166667,-36.833333,-15.795,-47.757778,5
284,-7.166667,-36.833333,-12.52,-41.69,2
285,-7.166667,-36.833333,-5.08,-39.65,1
287,-7.166667,-36.833333,-5.666667,-52.733333,2
292,-7.166667,-36.833333,-9.57,-36.55,1
297,-5,-63,-24,-51,1
298,-5,-63,-27.25,-50.333333,1
299,-5,-63,-23.533333,-46.633333,7
300,-5,-63,-22.9,-43.2,2
303,-5,-63,-30,-53,2
304,-5,-63,-19.816667,-43.95,3
324,-15.795,-47.757778,-24,-51,2
325,-15.795,-47.757778,-27.25,-50.333333,3
326,-15.795,-47.757778,-23.533333,-46.633333,34
327,-15.795,-47.757778,-22.9,-43.2,11
329,-15.795,-47.757778,-8.34,-37.81,1
330,-15.795,-47.757778,-30,-53,2
331,-15.795,-47.757778,-19.816667,-43.95,6
332,-15.795,-47.757778,-5.74,-36.55,2
334,-15.795,-47.757778,-7.166667,-36.833333,1
335,-15.795,-47.757778,-5,-63,2
351,-15.566667,-56.066667,-24,-51,1
352,-15.566667,-56.066667,-27.25,-50.333333,1
353,-15.566667,-56.066667,-23.533333,-46.633333,11
354,-15.566667,-56.066667,-22.9,-43.2,1
357,-15.566667,-56.066667,-30,-53,1
358,-15.566667,-56.066667,-19.816667,-43.95,3
378,-12.52,-41.69,-24,-51,1
380,-12.52,-41.69,-23.533333,-46.633333,29
381,-12.52,-41.69,-22.9,-43.2,7
383,-12.52,-41.69,-8.34,-37.81,1
384,-12.52,-41.69,-30,-53,2
385,-12.52,-41.69,-19.816667,-43.95,13
387,-12.52,-41.69,-6.183333,-45.616667,1
390,-12.52,-41.69,-15.795,-47.757778,2
393,-12.52,-41.69,-5.08,-39.65,1
406,-5.08,-39.65,-27.25,-50.333333,1
407,-5.08,-39.65,-23.533333,-46.633333,39
408,-5.08,-39.65,-22.9,-43.2,16
410,-5.08,-39.65,-8.34,-37.81,2
