id,oX,oY,dX,dY,trips
326,-15.795,-47.757778,-23.533333,-46.633333,1
95,-22.9,-43.2,-12.52,-41.69,1
137,-8.34,-37.81,-23.533333,-46.633333,1
192,-19.816667,-43.95,-22.9,-43.2,1
270,-7.166667,-36.833333,-24,-51,1
54,-23.533333,-46.633333,-24,-51,1
88,-22.9,-43.2,-19.816667,-43.95,1
164,-30,-53,-23.533333,-46.633333,2
191,-19.816667,-43.95,-23.533333,-46.633333,1
327,-15.795,-47.757778,-22.9,-43.2,1
61,-23.533333,-46.633333,-19.816667,-43.95,1
69,-23.533333,-46.633333,-5.08,-39.65,1
83,-22.9,-43.2,-23.533333,-46.633333,2
138,-8.34,-37.81,-22.9,-43.2,1
162,-30,-53,-24,-51,1
191,-19.816667,-43.95,-23.533333,-46.633333,1
193,-19.816667,-43.95,-15.933333,-50.133333,1
380,-12.52,-41.69,-23.533333,-46.633333,2
137,-8.34,-37.81,-23.533333,-46.633333,1
164,-30,-53,-23.533333,-46.633333,2
165,-30,-53,-22.9,-43.2,1
2,-24,-51,-23.533333,-46.633333,1
64,-23.533333,-46.633333,-7.166667,-36.833333,1
83,-22.9,-43.2,-23.533333,-46.633333,1
87,-22.9,-43.2,-30,-53,1
115,-15.933333,-50.133333,-19.816667,-43.95,1
169,-30,-53,-19.816667,-43.95,1
408,-5.08,-39.65,-22.9,-43.2,1
516,-10.183333,-48.333333,-22.9,-43.2,1
87,-22.9,-43.2,-30,-53,1
88,-22.9,-43.2,-19.816667,-43.95,1
100,-22.9,-43.2,-10.183333,-48.333333,1
3,-24,-51,-22.9,-43.2,1
6,-24,-51,-30,-53,1
14,-24,-51,-12.52,-41.69,1
27,-27.25,-50.333333,-24,-51,1
60,-23.533333,-46.633333,-30,-53,1
73,-23.533333,-46.633333,-10.183333,-48.333333,1
81,-22.9,-43.2,-24,-51,1
167,-30,-53,-8.34,-37.81,1
176,-30,-53,-12.52,-41.69,1
192,-19.816667,-43.95,-22.9,-43.2,2
412,-5.08,-39.65,-19.816667,-43.95,1
54,-23.533333,-46.633333,-24,-51,1
60,-23.533333,-46.633333,-30,-53,1
68,-23.533333,-46.633333,-12.52,-41.69,1
83,-22.9,-43.2,-23.533333,-46.633333,2
115,-15.933333,-50.133333,-19.816667,-43.95,1
164,-30,-53,-23.533333,-46.633333,2
191,-19.816667,-43.95,-23.533333,-46.633333,1
635,-10.59,-37.38,-12.52,-41.69,1
2,-24,-51,-23.533333,-46.633333,2
30,-27.25,-50.333333,-22.9,-43.2,1
61,-23.533333,-46.633333,-19.816667,-43.95,1
71,-23.533333,-46.633333,-5.666667,-52.733333,1
81,-22.9,-43.2,-24,-51,1
88,-22.9,-43.2,-19.816667,-43.95,1
96,-22.9,-43.2,-5.08,-39.65,1
110,-15.933333,-50.133333,-23.533333,-46.633333,1
137,-8.34,-37.81,-23.533333,-46.633333,2
141,-8.34,-37.81,-30,-53,1
150,-8.34,-37.81,-5.08,-39.65,1
164,-30,-53,-23.533333,-46.633333,1
272,-7.166667,-36.833333,-23.533333,-46.633333,1
380,-12.52,-41.69,-23.533333,-46.633333,2
407,-5.08,-39.65,-23.533333,-46.633333,2
2,-24,-51,-23.533333,-46.633333,2
3,-24,-51,-22.9,-43.2,2
14,-24,-51,-12.52,-41.69,1
30,-27.25,-50.333333,-22.9,-43.2,1
57,-23.533333,-46.633333,-22.9,-43.2,2
61,-23.533333,-46.633333,-19.816667,-43.95,1
81,-22.9,-43.2,-24,-51,2
83,-22.9,-43.2,-23.533333,-46.633333,1
88,-22.9,-43.2,-19.816667,-43.95,1
92,-22.9,-43.2,-5,-63,1
95,-22.9,-43.2,-12.52,-41.69,2
115,-15.933333,-50.133333,-19.816667,-43.95,1
137,-8.34,-37.81,-23.533333,-46.633333,1
138,-8.34,-37.81,-22.9,-43.2,1
164,-30,-53,-23.533333,-46.633333,1
192,-19.816667,-43.95,-22.9,-43.2,2
277,-7.166667,-36.833333,-19.816667,-43.95,1
381,-12.52,-41.69,-22.9,-43.2,1
408,-5.08,-39.65,-22.9,-43.2,1
461,-5.666667,-52.733333,-23.533333,-46.633333,2
2,-24,-51,-23.533333,-46.633333,1
