id,oX,oY,dX,dY,trips
2,-24,-51,-23.533333,-46.633333,3
29,-27.25,-50.333333,-23.533333,-46.633333,4
30,-27.25,-50.333333,-22.9,-43.2,1
57,-23.533333,-46.633333,-22.9,-43.2,4
59,-23.533333,-46.633333,-8.34,-37.81,2
61,-23.533333,-46.633333,-19.816667,-43.95,2
69,-23.533333,-46.633333,-5.08,-39.65,1
83,-22.9,-43.2,-23.533333,-46.633333,15
110,-15.933333,-50.133333,-23.533333,-46.633333,2
137,-8.34,-37.81,-23.533333,-46.633333,6
138,-8.34,-37.81,-22.9,-43.2,2
164,-30,-53,-23.533333,-46.633333,16
165,-30,-53,-22.9,-43.2,2
191,-19.816667,-43.95,-23.533333,-46.633333,8
192,-19.816667,-43.95,-22.9,-43.2,2
201,-19.816667,-43.95,-15.795,-47.757778,1
272,-7.166667,-36.833333,-23.533333,-46.633333,1
277,-7.166667,-36.833333,-19.816667,-43.95,1
299,-5,-63,-23.533333,-46.633333,1
326,-15.795,-47.757778,-23.533333,-46.633333,1
327,-15.795,-47.757778,-22.9,-43.2,1
380,-12.52,-41.69,-23.533333,-46.633333,1
383,-12.52,-41.69,-8.34,-37.81,1
461,-5.666667,-52.733333,-23.533333,-46.633333,1
