names,parana,santa catarina,sao paulo,rio de janeiro,goias,pernambuco,rio grande do sul,minas gerais,rio grande do norte,maranhao,paraiba,amazonas,federal district,mato grosso,bahia,ceara,espirito santo,para,mato grosso do sul,tocantins,piaui,acre,alagoas,sergipe,rondonia,roraima,amapa
parana,185,24,127,13,2,0,10,9,0,0,0,0,4,0,1,0,1,1,0,0,0,0,1,0,0,0,0
santa catarina,4,250,36,10,0,1,19,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
sao paulo,24,15,2982,32,0,8,15,17,3,0,2,0,12,0,8,4,0,6,0,0,0,0,0,0,0,0,0
rio de janeiro,32,14,161,768,0,2,12,12,2,0,1,0,12,0,0,4,2,2,0,0,0,0,0,0,0,0,0
goias,0,0,20,1,5,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pernambuco,5,3,46,9,0,130,8,2,3,0,6,1,4,0,0,3,0,2,0,0,0,0,1,0,0,0,0
rio grande do sul,12,23,119,16,0,1,531,10,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0
minas gerais,17,5,123,46,5,4,8,450,1,0,5,2,9,0,1,2,1,2,0,0,0,0,0,0,0,0,0
rio grande do norte,0,0,18,4,0,4,0,0,39,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
maranhao,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
paraiba,2,6,45,4,0,16,3,4,3,1,45,0,2,0,2,4,0,0,0,0,0,0,2,0,0,0,0
amazonas,1,0,7,2,0,0,1,1,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
federal district,0,2,29,6,2,0,0,8,1,0,0,0,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mato grosso,0,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bahia,2,0,46,8,0,3,3,3,0,0,1,0,1,0,73,2,0,0,0,0,0,0,0,0,0,0,0
ceara,1,1,24,3,0,8,1,8,0,0,2,0,1,0,3,76,0,0,0,0,0,0,0,0,0,0,0
espirito santo,1,1,12,5,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
para,0,2,27,2,0,0,0,4,3,0,1,1,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0
mato grosso do sul,1,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piaui,0,0,1,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
acre,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alagoas,0,0,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
sergipe,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rondonia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roraima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
