"names";"parana";"santa catarina";"sao paulo";"rio de janeiro";"goias";"pernambuco";"rio grande do sul";"minas gerais";"rio grande do norte";"maranhao";"paraiba";"amazonas";"federal district";"mato grosso";"bahia";"ceara";"espirito santo";"para";"mato grosso do sul";"tocantins";"piaui";"acre";"alagoas";"sergipe";"rondonia";"roraima";"amapa"
"parana";"505";"20";"140";"20";"1";"10";"13";"17";"1";"0";"4";"3";"8";"0";"2";"1";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0"
"santa catarina";"27";"331";"65";"10";"2";"1";"34";"10";"2";"0";"2";"1";"2";"0";"9";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"sao paulo";"41";"14";"3595";"49";"11";"15";"31";"52";"8";"0";"11";"11";"19";"1";"16";"10";"5";"10";"6";"0";"0";"0";"1";"0";"0";"0";"0"
"rio de janeiro";"34";"4";"138";"1235";"3";"4";"18";"37";"5";"0";"1";"1";"12";"0";"8";"1";"3";"3";"1";"0";"0";"0";"1";"1";"0";"0";"0"
"goias";"1";"0";"23";"6";"100";"0";"2";"6";"0";"0";"0";"0";"13";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"pernambuco";"0";"3";"46";"13";"0";"374";"6";"8";"6";"0";"22";"1";"6";"0";"7";"12";"4";"1";"0";"0";"0";"0";"1";"2";"0";"0";"1"
"rio grande do sul";"15";"40";"70";"20";"2";"2";"1153";"17";"3";"0";"2";"1";"15";"0";"8";"2";"0";"2";"1";"0";"0";"0";"1";"0";"1";"0";"0"
"minas gerais";"6";"5";"200";"55";"14";"4";"7";"969";"1";"1";"5";"3";"13";"0";"6";"2";"2";"5";"3";"0";"1";"0";"1";"0";"0";"0";"0"
"rio grande do norte";"1";"0";"18";"5";"0";"4";"2";"2";"133";"0";"13";"2";"5";"0";"2";"4";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"maranhao";"1";"2";"13";"2";"0";"2";"1";"0";"1";"7";"1";"1";"0";"0";"1";"5";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"paraiba";"1";"0";"24";"17";"0";"37";"3";"3";"14";"0";"223";"0";"6";"0";"16";"5";"1";"3";"0";"0";"1";"0";"0";"0";"0";"0";"2"
"amazonas";"0";"1";"12";"7";"1";"0";"2";"4";"0";"0";"2";"45";"5";"0";"1";"3";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"federal district";"1";"0";"38";"15";"10";"1";"6";"7";"2";"0";"0";"2";"249";"0";"8";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"mato grosso";"1";"1";"18";"3";"2";"2";"1";"4";"0";"0";"4";"1";"6";"11";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"bahia";"2";"2";"30";"16";"0";"6";"1";"12";"2";"0";"3";"1";"1";"0";"214";"2";"0";"3";"0";"0";"0";"0";"0";"7";"0";"0";"0"
"ceara";"1";"1";"41";"7";"1";"14";"6";"5";"2";"1";"2";"0";"2";"0";"7";"245";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"espirito santo";"2";"0";"17";"14";"0";"0";"1";"12";"0";"0";"0";"0";"0";"0";"0";"0";"42";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"para";"1";"2";"35";"9";"0";"1";"4";"5";"1";"0";"0";"2";"1";"0";"1";"2";"0";"110";"0";"0";"2";"0";"0";"0";"0";"0";"0"
"mato grosso do sul";"2";"0";"23";"6";"2";"0";"3";"2";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"39";"0";"0";"0";"0";"1";"0";"0";"0"
"tocantins";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
"piaui";"0";"0";"10";"1";"0";"3";"1";"6";"2";"0";"0";"1";"2";"0";"0";"3";"0";"1";"0";"0";"11";"0";"0";"0";"0";"0";"0"
"acre";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"alagoas";"0";"0";"6";"1";"0";"11";"0";"3";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"10";"0";"0";"0";"0"
"sergipe";"0";"1";"6";"1";"0";"5";"1";"3";"2";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"1";"24";"0";"0";"0"
"rondonia";"2";"0";"0";"3";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0"
"roraima";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"amapa";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
""
