source;target;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
sao paulo;sao paulo;1;3;2;3;6;1;3;5;6;7;13;12;7;18;21;15;29;58;76;72;87;102;231;305;166;116;158;140;169;190;233;238;267;281;301;365;368;436;489;570;608;646;751;807;954;1156;1340;1557;1743;1926;2112;2392;2626;2982;2968;3295;3266;3361;3344;3414;3317;3377;3595;3538
rio de janeiro;rio de janeiro;0;0;1;1;1;0;0;1;2;0;1;3;7;0;2;1;1;5;7;5;8;8;10;7;16;23;32;24;28;32;46;35;40;45;46;79;75;90;94;107;114;151;199;174;243;254;316;411;454;503;573;615;713;768;854;867;980;998;1163;1159;1109;1143;1235;1318
minas gerais;minas gerais;0;1;0;0;1;1;0;1;6;1;6;1;5;2;1;4;1;3;5;3;2;5;5;6;5;7;2;13;10;14;8;16;13;12;16;9;19;19;32;28;31;41;47;60;85;95;126;151;139;220;258;326;353;450;425;497;553;653;741;783;791;916;969;1179
rio grande do sul;rio grande do sul;2;0;1;1;1;0;0;1;0;2;3;0;1;2;1;2;1;2;7;3;0;4;1;3;6;7;13;21;2;9;2;5;7;10;9;6;8;9;20;11;17;27;46;43;65;81;88;131;147;238;252;283;388;531;538;627;571;704;824;839;793;928;1153;1105
parana;parana;0;0;0;0;0;0;1;0;1;0;0;1;1;1;1;1;0;1;0;0;2;0;0;0;1;1;3;2;0;3;1;3;3;2;3;2;4;2;6;10;10;8;13;11;22;31;27;39;50;78;109;125;116;185;184;215;288;290;305;363;345;390;505;646
pernambuco;pernambuco;0;0;0;0;1;1;1;0;2;1;0;1;1;0;0;0;0;1;0;1;0;2;1;0;1;1;2;3;1;0;1;1;1;0;0;1;1;0;3;2;3;6;5;10;5;8;17;25;28;37;46;66;87;130;153;144;180;201;243;265;261;305;374;399
santa catarina;santa catarina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;5;0;0;0;0;0;0;0;0;0;0;1;0;2;5;1;7;10;11;26;33;34;30;43;69;88;147;163;250;260;260;242;227;232;270;270;299;331;341
federal district;federal district;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;2;0;1;5;7;10;7;14;20;22;22;58;48;61;67;110;108;117;152;138;175;192;165;189;249;314
bahia;bahia;0;0;0;1;0;1;0;0;1;0;1;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;1;3;1;1;2;4;0;8;1;2;0;1;4;1;5;7;23;13;32;31;48;32;73;82;84;101;119;124;171;146;170;214;260
paraiba;paraiba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;1;2;0;6;5;10;4;5;6;16;17;37;45;73;74;89;111;150;129;165;186;223;255
