Source,Target,Kind,Type,Id,Label,Weight
116,41,work,Directed,29465,,1
238,121,work,Directed,29466,,5
13,20,work,Directed,29467,,1063
54,193,work,Directed,29468,,7
169,1,work,Directed,29469,,5
1,202,work,Directed,29470,,98
5,1,work,Directed,29471,,404
59,1,work,Directed,29472,,44
60,126,work,Directed,29473,,118
10,296,work,Directed,29474,,1
5,50,work,Directed,29475,,470
42,42,work,Directed,29476,,376
1,1,work,Directed,29477,,1480
50,156,work,Directed,29478,,24
1,119,work,Directed,29479,,76
60,43,work,Directed,29480,,207
111,111,work,Directed,29481,,779
85,1,work,Directed,29482,,24
60,60,work,Directed,29483,,3152
115,111,work,Directed,29484,,3
5,248,work,Directed,29485,,4
1,116,work,Directed,29486,,108
80,80,work,Directed,29487,,145
36,213,work,Directed,29488,,5
1,347,work,Directed,29489,,52
36,52,work,Directed,29490,,163
85,111,work,Directed,29491,,15
1,228,work,Directed,29492,,117
1,60,work,Directed,29493,,70
104,1,work,Directed,29494,,15
1,15,work,Directed,29495,,393
5,5,work,Directed,29496,,13311
115,202,work,Directed,29497,,2
60,28,work,Directed,29498,,424
18,16,work,Directed,29499,,11
25,1,work,Directed,29500,,71
36,9,work,Directed,29501,,193
168,27,work,Directed,29502,,25
1,349,work,Directed,29503,,13
1,94,work,Directed,29504,,59
5,71,work,Directed,29505,,148
36,60,work,Directed,29506,,93
71,5,work,Directed,29507,,425
109,1,work,Directed,29508,,4
1,30,work,Directed,29509,,27
1,56,work,Directed,29510,,17
1,70,work,Directed,29511,,28
1,79,work,Directed,29512,,17
1,16,work,Directed,29513,,18
1,9,work,Directed,29514,,60
2,60,work,Directed,29515,,5
1,242,work,Directed,29516,,37
1,17,work,Directed,29517,,43
1,39,work,Directed,29518,,34
1,28,work,Directed,29519,,123
36,1,work,Directed,29520,,130
1,42,work,Directed,29521,,45
1,104,work,Directed,29522,,2
1,10,work,Directed,29523,,39
3,49,work,Directed,29524,,7
1,20,work,Directed,29525,,11
1,163,work,Directed,29526,,38
3,1,work,Directed,29527,,16
1,93,work,Directed,29528,,30
1,33,work,Directed,29529,,22
1,43,work,Directed,29530,,15
1,50,work,Directed,29531,,44
1,75,work,Directed,29532,,56
284,9,work,Directed,29533,,4
3,25,work,Directed,29534,,11
1,90,work,Directed,29535,,47
15,1,work,Directed,29536,,84
248,30,work,Directed,29537,,2
1,148,work,Directed,29538,,11
1,289,work,Directed,29539,,23
1,69,work,Directed,29540,,1
229,202,work,Directed,29541,,2
1,143,work,Directed,29542,,16
1,54,work,Directed,29543,,38
1,312,work,Directed,29544,,28
129,51,work,Directed,29545,,3
1,193,work,Directed,29546,,12
1,250,work,Directed,29547,,11
1,49,work,Directed,29548,,46
1,126,work,Directed,29549,,17
355,16,work,Directed,29550,,1
1,467,work,Directed,29551,,15
1,18,work,Directed,29552,,17
1,52,work,Directed,29553,,28
3,27,work,Directed,29554,,3
1,80,work,Directed,29555,,8
1,51,work,Directed,29556,,51
1,13,work,Directed,29557,,47
108,108,work,Directed,29558,,161
1,102,work,Directed,29559,,24
1,325,work,Directed,29560,,3
1,25,work,Directed,29561,,22
1,27,work,Directed,29562,,40
1,232,work,Directed,29563,,9
3,54,work,Directed,29564,,12
1,121,work,Directed,29565,,21
1,261,work,Directed,29566,,2
1,14,work,Directed,29567,,53
1,41,work,Directed,29568,,6
130,93,work,Directed,29569,,4
1,248,work,Directed,29570,,19
4,4,work,Directed,29571,,9
15,15,work,Directed,29572,,2239
133,1,work,Directed,29573,,6
1,479,work,Directed,29574,,3
446,27,work,Directed,29575,,1
90,1821,work,Directed,29576,,2
13,179,work,Directed,29577,,57
36,119,work,Directed,29578,,20
