Id,Label,Modularity Class,Country,Latitude,Longitude
1,brazil,,brazil,-14.235004,-51.92528
2,united states,,united states,37.09024,-95.712891
3,portugal,,portugal,39.39987199999999,-8.224454
4,canada,,canada,56.130366,-106.346771
5,united kingdom,,united kingdom,55.378051,-3.435973
6,uruguay,,uruguay,-32.522779,-55.765835
7,spain,,spain,40.46366700000001,-3.74922
8,germany,,germany,51.165691,10.451526
9,japan,,japan,36.204824,138.252924
10,colombia,,colombia,4.570868,-74.297333
11,france,,france,46.227638,2.213749
12,chile,,chile,-35.675147,-71.542969
13,italy,,italy,41.87194,12.56738
14,netherlands,,netherlands,52.132633,5.291265999999999
15,peru,,peru,-9.189967,-75.015152
16,argentina,,argentina,-38.416097,-63.61667199999999
17,cuba,,cuba,21.521757,-77.781167
18,venezuela,,venezuela,6.42375,-66.58973
19,belgium,,belgium,50.503887,4.469936
20,australia,,australia,-25.274398,133.775136
21,sweden,,sweden,60.12816100000001,18.643501
22,belize,,belize,17.189877,-88.49765
23,denmark,,denmark,56.26392,9.501785
24,switzerland,,switzerland,46.818188,8.227511999999999
25,mozambique,,mozambique,-18.665695,35.529562
26,iran,,iran,32.427908,53.688046
27,ecuador,,ecuador,-1.831239,-78.18340599999999
28,russia,,russia,61.52401,105.318756
29,mexico,,mexico,23.634501,-102.552784
30,ireland,,ireland,53.41291,-8.24389
31,pakistan,,pakistan,30.375321,69.34511599999999
32,india,,india,20.593684,78.96288
33,bulgaria,,bulgaria,42.733883,25.48583
34,rwanda,,rwanda,-1.940278,29.873888
35,dominican republic,,dominican republic,18.735693,-70.162651
36,romania,,romania,45.943161,24.96676
37,croatia,,croatia,45.1,15.2
38,nicaragua,,nicaragua,12.865416,-85.207229
39,belarus,,belarus,53.709807,27.953389
40,guatemala,,guatemala,15.783471,-90.23075899999999
41,austria,,austria,47.516231,14.550072
42,poland,,poland,51.919438,19.145136
43,egypt,,egypt,26.820553,30.802498
44,philippines,,philippines,12.879721,121.774017
45,morocco,,morocco,31.791702,-7.092619999999999
46,new zealand,,new zealand,-40.900557,174.885971
47,norway,,norway,60.47202399999999,8.468945999999999
48,suriname,,suriname,3.919305,-56.027783
49,bolivia,,bolivia,-16.290154,-63.58865299999999
50,mauritius,,mauritius,-20.348404,57.55215200000001
51,china,,china,35.86166,104.195397
52,taiwan,,taiwan,23.69781,120.960515
53,el salvador,,el salvador,13.794185,-88.89653
54,hungary,,hungary,47.162494,19.503304
55,angola,,angola,-11.202692,17.873887
56,latvia,,latvia,56.879635,24.603189
57,honduras,,honduras,15.199999,-86.241905
58,puerto rico,,puerto rico,18.220833,-66.590149
59,paraguay,,paraguay,-23.442503,-58.443832
60,kazakhstan,,kazakhstan,48.019573,66.923684
61,nigeria,,nigeria,9.081999,8.675277
62,greece,,greece,39.074208,21.824312
63,algeria,,algeria,28.033886,1.659626
64,ukraine,,ukraine,48.379433,31.16558
65,tunisia,,tunisia,33.886917,9.537499
66,costa rica,,costa rica,9.748916999999999,-83.753428
67,israel,,israel,31.046051,34.851612
68,south korea,,south korea,35.907757,127.766922
69,panama,,panama,8.537981,-80.782127
70,slovakia,,slovakia,48.669026,19.699024
71,cape verde,,cape verde,15.120142,-23.6051721
72,senegal,,senegal,14.497401,-14.452362
73,syria,,syria,34.80207499999999,38.996815
74,finland,,finland,61.92410999999999,25.748151
75,cameroon,,cameroon,7.369721999999999,12.354722
76,palestinian territory,,palestinian territory,31.9465703,35.3027226
77,south africa,,south africa,-30.559482,22.937506
78,papua new guinea,,papua new guinea,-6.314992999999999,143.95555
79,serbia,,serbia,44.016521,21.005859
80,sao tome and principe,,sao tome and principe,0.18636,6.613080999999999
81,czech republic,,czech republic,49.81749199999999,15.472962
82,turkey,,turkey,38.963745,35.243322
83,ivory coast,,ivory coast,7.539988999999999,-5.547079999999999
84,uzbekistan,,uzbekistan,41.377491,64.585262
85,gibraltar,,gibraltar,36.140751,-5.353585
86,yemen,,yemen,15.552727,48.516388
87,benin,,benin,9.30769,2.315834
88,lithuania,,lithuania,55.169438,23.881275
89,jamaica,,jamaica,18.109581,-77.297508
90,trinidad and tobago,,trinidad and tobago,10.691803,-61.222503
91,sudan,,sudan,12.862807,30.217636
92,hong kong,,hong kong,22.396428,114.109497
93,indonesia,,indonesia,-0.789275,113.921327
94,guyana,,guyana,4.860416,-58.93018
95,democratic republic of the congo,,democratic republic of the congo,-4.038333,21.758664
96,moldova,,moldova,47.411631,28.369885
97,guinea bissau,,guinea bissau,11.803749,-15.180413
98,armenia,,armenia,40.069099,45.038189
99,albania,,albania,41.153332,20.168331
100,bangladesh,,bangladesh,23.684994,90.356331
101,estonia,,estonia,58.595272,25.013607
102,slovenia,,slovenia,46.151241,14.995463
103,ethiopia,,ethiopia,9.145000000000001,40.489673
104,kenya,,kenya,-0.023559,37.906193
105,malaysia,,malaysia,4.210484,101.975766
106,east timor,,east timor,-8.874217,125.727539
107,bosnia and herzegovina,,bosnia and herzegovina,43.915886,17.679076
108,vietnam,,vietnam,14.058324,108.277199
109,guadeloupe,,guadeloupe,16.265,-61.55099999999999
110,zimbabwe,,zimbabwe,-19.015438,29.154857
111,togo,,togo,8.619543,0.824782
112,azerbaijan,,azerbaijan,40.143105,47.576927
113,iraq,,iraq,33.223191,43.679291
114,zambia,,zambia,-13.133897,27.849332
115,martinique,,martinique,14.641528,-61.024174
116,macedonia,,macedonia,41.608635,21.745275
117,lebanon,,lebanon,33.854721,35.862285
118,samoa,,samoa,-13.759029,-172.104629
119,thailand,,thailand,15.870032,100.992541
120,georgia,,georgia,32.1656221,-82.9000751
121,niger,,niger,17.607789,8.081666
122,gabon,,gabon,-0.803689,11.609444
123,jordan,,jordan,30.585164,36.238414
124,ghana,,ghana,7.946527,-1.023194
125,montenegro,,montenegro,42.708678,19.37439
126,madagascar,,madagascar,-18.766947,46.869107
127,macao,,macao,22.198745,113.543873
128,monaco,,monaco,43.73841760000001,7.424615799999999
129,tanzania,,tanzania,-6.369028,34.888822
130,republic of the congo,,republic of the congo,-0.228021,15.827659
131,liechtenstein,,liechtenstein,47.166,9.555373
132,liberia,,liberia,6.428055,-9.429499000000002
133,mauritania,,mauritania,21.00789,-10.940835
134,burkina faso,,burkina faso,12.238333,-1.561593
