;Label;Modularity Class;City;State;Country;In-Degree;Out-Degree;Degree;Weighted Degree;Weighted In-Degree;Weighted Out-Degree;;;;
USP;universidade de sao paulo;instituition;sao paulo;sao paulo;brazil;1242;0;1242;16118;16118;0;8,30%;;;1
UNESP;universidade estadual paulista julio de mesquita filho;instituition;bauru;sao paulo;brazil;849;0;849;9220;9220;0;13,10%;;;2
UFRJ;universidade federal do rio de janeiro;instituition;rio de janeiro;rio de janeiro;brazil;591;0;591;8119;8119;0;17,30%;;;3
UFMG;universidade federal de minas gerais;instituition;belo horizonte;minas gerais;brazil;642;0;642;6217;6217;0;20,50%;;;4
UFRGS;universidade federal do rio grande do sul;instituition;porto alegre;rio grande do sul;brazil;480;0;480;6207;6207;0;23,70%;;;5
UNICAMP;universidade estadual de campinas;instituition;campinas;sao paulo;brazil;770;0;770;5489;5489;0;26,50%;;;6
UFPR;universidade federal do parana;instituition;curitiba;parana;brazil;601;0;601;3756;3756;0;28,50%;;;7
UFSM;universidade federal de santa maria;instituition;santa maria;rio grande do sul;brazil;377;0;377;3700;3700;0;30,40%;;;8
UFPE;universidade federal de pernambuco;instituition;recife;pernambuco;brazil;338;0;338;3655;3655;0;32,20%;;;9
UFV;universidade federal de vicosa;instituition;vicosa;minas gerais;brazil;701;0;701;3564;3564;0;34,10%;;;10
UFSC;universidade federal de santa catarina;instituition;florianopolis;santa catarina;brazil;562;0;562;3479;3479;0;35,90%;;;11
UERJ;universidade do estado do rio de janeiro;instituition;rio de janeiro;rio de janeiro;brazil;249;0;249;3439;3439;0;37,70%;;;12
UFC;universidade federal do ceara;instituition;fortaleza;ceara;brazil;299;0;299;3374;3374;0;39,40%;;;13
UFPB;universidade federal da paraiba;instituition;joao pessoa;paraiba;brazil;413;0;413;3303;3303;0;41,10%;;;14
UFF;universidade federal fluminense;instituition;niteroi;rio de janeiro;brazil;302;0;302;3208;3208;0;42,80%;;;15
UFBA;universidade federal da bahia;instituition;salvador;bahia;brazil;386;0;386;3094;3094;0;44,40%;;;16
UnB;universidade de brasilia;instituition;brasilia;federal district;brazil;569;0;569;3024;3024;0;45,90%;;;17
PUC-SP;pontificia universidade catolica de sao paulo;instituition;sao paulo;sao paulo;brazil;434;0;434;2756;2756;0;47,30%;;;18
UFSCar;universidade federal de sao carlos;instituition;sao carlos;sao paulo;brazil;415;0;415;2537;2537;0;48,70%;;;19
UFPA;universidade federal do para;instituition;belem;para;brazil;250;0;250;2481;2481;0;49,90%;96740;97001;20
UEL;universidade estadual de londrina;instituition;londrina;parana;brazil;412;0;412;2397;2397;0;51,20%;;;
PUC-RS;pontificia universidade catolica do rio grande do sul;instituition;porto alegre;rio grande do sul;brazil;255;0;255;2337;2337;0;52,40%;;;
PUC-RJ;pontificia universidade catolica do rio de janeiro;instituition;rio de janeiro;rio de janeiro;brazil;260;0;260;2097;2097;0;53,50%;;;
UEM;universidade estadual de maringa;instituition;maringa;parana;brazil;411;0;411;2093;2093;0;54,50%;;;
UFU;universidade federal de uberlandia;instituition;uberlandia;minas gerais;brazil;356;0;356;2051;2051;0;55,60%;;;
UFRN;universidade federal do rio grande do norte;instituition;natal;rio grande do norte;brazil;237;0;237;1941;1941;0;56,60%;;;
UFJF;universidade federal de juiz de fora;instituition;juiz de fora;minas gerais;brazil;275;0;275;1828;1828;0;57,50%;;;
PUC-Cam;pontificia universidade catolica de campinas;instituition;campinas;sao paulo;brazil;359;0;359;1824;1824;0;58,50%;;;
UFG;universidade federal de goias;instituition;goiania;goias;brazil;312;0;312;1797;1797;0;59,40%;;;
UFRRJ;universidade federal rural do rio de janeiro;instituition;seropedica;rio de janeiro;brazil;455;0;455;1795;1795;0;60,30%;;;
URLA;universidade federal de lavras;instituition;lavras;minas gerais;brazil;428;0;428;1672;1672;0;61,20%;;;
UFPEL;universidade federal de pelotas;instituition;pelotas;rio grande do sul;brazil;278;0;278;1604;1604;0;62,00%;;;
UFES;universidade federal do espirito santo;instituition;vitoria;espirito santo;brazil;208;0;208;1530;1530;0;62,80%;;;
PUC-MG;pontificia universidade catolica de minas gerais;instituition;belo horizonte;minas gerais;brazil;327;0;327;1465;1465;0;;;;
UNIFESP;universidade federal de sao paulo;instituition;guarulhos;sao paulo;brazil;257;0;257;1407;1407;0;;;;
UFRPE;universidade federal rural de pernambuco;instituition;recife;pernambuco;brazil;209;0;209;1126;1126;0;;125704;;
Mackenzie;universidade presbiteriana mackenzie;instituition;sao paulo;sao paulo;brazil;147;0;147;990;990;0;;126694;;
FURG;universidade federal do rio grande;instituition;rio grande;rio grande do sul;brazil;196;0;196;981;981;0;;127675;;
UFMS;universidade federal de mato grosso do sul;instituition;campo grande;mato grosso do sul;brazil;257;0;257;948;948;0;;128623;;
UECE;universidade estadual do ceara;instituition;fortaleza;ceara;brazil;162;0;162;939;939;0;;129562;;
UFAM;universidade federal do amazonas;instituition;manaus;amazonas;brazil;151;0;151;939;939;0;;130501;;
UNISINOS;universidade do vale do rio dos sinos;instituition;sao leopoldo;rio grande do sul;brazil;212;0;212;916;916;0;;131417;;
UFMG;universidade federal de mato grosso;instituition;cuiaba;mato grosso;brazil;320;0;320;870;870;0;;132287;;
UFAL;universidade federal de alagoas;instituition;maceio;alagoas;brazil;124;0;124;840;840;0;;133127;;
PUC-PR;pontificia universidade catolica do parana;instituition;curitiba;parana;brazil;221;0;221;836;836;0;;133963;;
UFMA;universidade federal do maranhao;instituition;sao luis;maranhao;brazil;148;0;148;808;808;0;;134771;;
UFOP;universidade federal de ouro preto;instituition;ouro preto;minas gerais;brazil;259;0;259;778;778;0;;135549;;
UFPI;universidade federal do piaui;instituition;teresina;piaui;brazil;144;0;144;760;760;0;;136309;;
UFSE;universidade federal de sergipe;instituition;sao cristovao;sergipe;brazil;134;0;134;744;744;0;;137053;56688;
;universidade gama filho;instituition;rio de janeiro;rio de janeiro;brazil;125;0;125;740;740;0;;137793;;
;universidade de mogi das cruzes;instituition;mogi das cruzes;sao paulo;brazil;176;0;176;737;737;0;;;;
;universidade federal do estado do rio de janeiro;instituition;rio de janeiro;rio de janeiro;brazil;102;0;102;725;725;0;;;;
;universidade catolica de pernambuco;instituition;recife;pernambuco;brazil;138;0;138;699;699;0;;;;
;universidade de passo fundo;instituition;passo fundo;rio grande do sul;brazil;163;0;163;668;668;0;;;;
;universidade estadual de ponta grossa;instituition;ponta grossa;parana;brazil;145;0;145;662;662;0;;;;
;universidade estadual da paraiba;instituition;campina grande;paraiba;brazil;131;0;131;649;649;0;;;;
;universidade santa ursula;instituition;rio de janeiro;rio de janeiro;brazil;82;0;82;645;645;0;;;;
;universidade metodista de piracicaba;instituition;piracicaba;sao paulo;brazil;165;0;165;638;638;0;;;;
;pontificia universidade catolica de goias;instituition;goiania;goias;brazil;163;0;163;616;616;0;;;;
;universidade do estado de santa catarina;instituition;florianopolis;santa catarina;brazil;191;0;191;615;615;0;;;;
;universidade estadual do oeste do parana;instituition;cascavel;parana;brazil;191;0;191;554;554;0;;;;
;universidade catolica do salvador;instituition;salvador;bahia;brazil;119;0;119;534;534;0;;;;
;universidade catolica de pelotas;instituition;pelotas;rio grande do sul;brazil;95;0;95;516;516;0;;;;
;universidade de pernambuco;instituition;recife;pernambuco;brazil;88;0;88;504;504;0;;;;
;instituto tecnologico de aeronautica;instituition;sao jose dos campos;sao paulo;brazil;175;0;175;469;469;0;;;;
;universidade de fortaleza;instituition;fortaleza;ceara;brazil;91;0;91;465;465;0;;;;
;universidade do sagrado coracao;instituition;bauru;sao paulo;brazil;145;0;145;460;460;0;;;;
;universidade paulista;instituition;sao paulo;sao paulo;brazil;114;0;114;449;449;0;;;;
;universidade tecnologica federal do parana;instituition;curitiba;parana;brazil;136;0;136;422;422;0;;;;
;universidade de taubate;instituition;taubate;sao paulo;brazil;95;0;95;418;418;0;;;;
;universidade regional do noroeste do estado do rio grande do sul;instituition;ijui;rio grande do sul;brazil;122;0;122;407;407;0;;;;
;universidade federal de campina grande;instituition;campina grande;paraiba;brazil;104;0;104;399;399;0;;;;
;faculdade de ciencias medicas da santa casa de sao paulo;instituition;sao paulo;sao paulo;brazil;81;0;81;395;395;0;;;;
;universidade de caxias do sul;instituition;caxias do sul;rio grande do sul;brazil;79;0;79;394;394;0;;;;
;universidade metodista de sao paulo;instituition;sao bernardo do campo;sao paulo;brazil;123;0;123;393;393;0;;;;
;universidade de santo amaro;instituition;sao paulo;sao paulo;brazil;56;0;56;383;383;0;;;;
;centro federal de educacao tecnologica de minas gerais;instituition;belo horizonte;minas gerais;brazil;93;0;93;360;360;0;;;;
;universidade de ribeirao preto;instituition;ribeirao preto;sao paulo;brazil;143;0;143;359;359;0;;;;
;universidade federal rural da amazonia;instituition;belem;para;brazil;88;0;88;356;356;0;;;;
;universidade de marilia;instituition;marilia;sao paulo;brazil;119;0;119;343;343;0;;;;
;universidade do vale do itajai;instituition;itajai;santa catarina;brazil;119;0;119;328;328;0;;;;
;fundacao universidade regional de blumenau;instituition;blumenau;santa catarina;brazil;103;0;103;323;323;0;;;;
;universidade federal de alfenas;instituition;alfenas;minas gerais;brazil;133;0;133;315;315;0;;;;
;universidade estadual de feira de santana;instituition;feira de santana;bahia;brazil;92;0;92;314;314;0;;;;
;universidade estadual do norte fluminense darcy ribeiro;instituition;campos dos goytacazes;rio de janeiro;brazil;79;0;79;306;306;0;;;;
;universidade federal de itajuba;instituition;itajuba;minas gerais;brazil;132;0;132;293;293;0;;;;
;fundacao getulio vargas sp;instituition;sao paulo;sao paulo;brazil;72;0;72;291;291;0;;;;
;instituto militar de engenharia;instituition;rio de janeiro;rio de janeiro;brazil;72;0;72;290;290;0;;;;
;universidade luterana do brasil;instituition;canoas;rio grande do sul;brazil;102;0;102;290;290;0;;;;
;universidad de buenos aires;instituition;buenos aires;buenos aires f,d,;argentina;45;0;45;289;289;0;;;;
;centro federal de educacao tecnologica celso suckow da fonseca;instituition;rio de janeiro;rio de janeiro;brazil;24;0;24;285;285;0;;;;
;academia militar das agulhas negras;instituition;resende;rio de janeiro;brazil;98;0;98;285;285;0;;;;
;universidade sao francisco;instituition;braganca paulista;sao paulo;brazil;107;0;107;280;280;0;;;;
;universidade estadual de montes claros;instituition;montes claros;minas gerais;brazil;65;0;65;271;271;0;;;;
;universidade estacio de sa;instituition;rio de janeiro;rio de janeiro;brazil;67;0;67;269;269;0;;;;
;universidade estadual do maranhao;instituition;sao luis;maranhao;brazil;72;0;72;265;265;0;;;;
;universidade estadual do sudoeste da bahia;instituition;vitoria da conquista;bahia;brazil;80;0;80;264;264;0;;;;
;fundacao armando alvares penteado;instituition;sao paulo;sao paulo;brazil;68;0;68;259;259;0;;;;
;universidade federal do triangulo mineiro;instituition;uberaba;minas gerais;brazil;88;0;88;248;248;0;;;;
;colegio bandeirantes;instituition;suzano;sao paulo;brazil;45;0;45;247;247;0;;;;
;universidade estadual de santa cruz;instituition;ilheus;bahia;brazil;64;0;64;244;244;0;;;;
;centro universitario da fei;instituition;sao bernardo do campo;sao paulo;brazil;62;0;62;243;243;0;;;;
;universidade catolica de santos;instituition;santos;sao paulo;brazil;50;0;50;239;239;0;;;;
;universidade do sul de santa catarina;instituition;tubarao;santa catarina;brazil;99;0;99;236;236;0;;;;
;universidade de franca;instituition;franca;sao paulo;brazil;88;0;88;230;230;0;;;;
;universidade federal de sao joao del rei;instituition;sao joao del rei;minas gerais;brazil;79;0;79;226;226;0;;;;
;universidade de uberaba;instituition;uberaba;minas gerais;brazil;94;0;94;224;224;0;;;;
;centro estadual de educacao tecnologica paula souza;instituition;sao paulo;sao paulo;brazil;87;0;87;222;222;0;;;;
;escola politecnica da universidade de sao paulo;instituition;sao paulo;sao paulo;brazil;75;0;75;221;221;0;;;;
;universidade do estado da bahia;instituition;salvador;bahia;brazil;87;0;87;216;216;0;;;;
;universidade sao judas tadeu;instituition;sao paulo;sao paulo;brazil;57;0;57;214;214;0;;;;
;universidade catolica de brasilia;instituition;brasilia;federal district;brazil;82;0;82;212;212;0;;;;
;fundacao universidade federal de ciencias da saude de porto alegre;instituition;porto alegre;rio grande do sul;brazil;50;0;50;207;207;0;;;;
;universidade do oeste paulista;instituition;presidente prudente;sao paulo;brazil;99;0;99;202;202;0;;;;
;universidade catolica dom bosco;instituition;campo grande;mato grosso do sul;brazil;88;0;88;200;200;0;;;;
;universidade de santa cruz do sul;instituition;santa cruz do sul;rio grande do sul;brazil;54;0;54;198;198;0;;;;
;centro universitario de brasilia;instituition;brasilia;federal district;brazil;79;0;79;188;188;0;;;;
;faculdade de engenharia quimica de lorena;instituition;lorena;sao paulo;brazil;74;0;74;183;183;0;;;;
;fundacao tecnico educacional souza marques;instituition;rio de janeiro;rio de janeiro;brazil;33;0;33;182;182;0;;;;
;universidade regional integrada do alto uruguai e das missoes;instituition;erechim;rio grande do sul;brazil;77;0;77;182;182;0;;;;
;centro universitario barao de maua;instituition;ribeirao preto;sao paulo;brazil;61;0;61;178;178;0;;;;
;universidade estadual do centro oeste;instituition;guarapuava;parana;brazil;67;0;67;175;175;0;;;;
;universidade de sao paulo;instituition;sao paulo;sao paulo;brazil;84;0;84;173;173;0;;;;
;universidade federal do acre;instituition;rio branco;acre;brazil;52;0;52;172;172;0;;;;
;fundacao oswaldo cruz;instituition;curitiba;parana;brazil;70;0;70;167;167;0;;;;
;universidade braz cubas;instituition;mogi das cruzes;sao paulo;brazil;60;0;60;165;165;0;;;;
;universidade candido mendes;instituition;rio de janeiro;rio de janeiro;brazil;50;0;50;164;164;0;;;;
;colegio pedro ii;instituition;rio de janeiro;rio de janeiro;brazil;15;0;15;160;160;0;;;;
