kind, years
aperfeicoamento, 1
aperfeicoamento, 1
aperfeicoamento, 1
curso-tecnico, 2
curso-tecnico, 2
ensino-fundamental, 3
ensino-fundamental, 3
ensino-medio, 2
ensino-medio, 2
especializacao, 1
especializacao, 2
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 4
especializacao, 1
especializacao, 2
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 2
especializacao, 2
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 4
especializacao, 1
especializacao, 2
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 1
especializacao, 3
especializacao, 3
especializacao, 1
residencia, 2
residencia, 2
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 3
doutorado, 4
doutorado, 5
doutorado, 7
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 3
doutorado, 3
doutorado, 3
doutorado, 3
doutorado, 4
doutorado, 6
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 3
doutorado, 6
doutorado, 3
doutorado, 3
doutorado, 4
doutorado, 5
doutorado, 5
doutorado, 5
doutorado, 5
doutorado, 3
doutorado, 6
doutorado, 7
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 6
doutorado, 2
doutorado, 2
pos-doutorado, 1
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 2
doutorado, 3
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 5
doutorado, 5
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 3
doutorado, 3
doutorado, 2
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 1
doutorado, 4
doutorado, 5
doutorado, 5
doutorado, 5
doutorado, 3
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 3
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 3
doutorado, 6
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 1
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 7
doutorado, 4
doutorado, 5
doutorado, 3
doutorado, 4
doutorado, 4
doutorado, 3
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 5
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 3
doutorado, 2
doutorado, 5
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 3
doutorado, 4
doutorado, 2
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 2
doutorado, 6
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 6
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 6
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 6
doutorado, 3
doutorado, 4
doutorado, 4
doutorado, 2
doutorado, 3
doutorado, 2
doutorado, 3
doutorado, 6
doutorado, 5
doutorado, 6
doutorado, 4
doutorado, 4
doutorado, 3
doutorado, 5
doutorado, 4
doutorado, 8
doutorado, 4
doutorado, 4
doutorado, 3
doutorado, 4
doutorado, 3
doutorado, 4
doutorado, 4
doutorado, 3
doutorado, 3
doutorado, 4
doutorado, 3
doutorado, 6
doutorado, 4
doutorado, 3
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 3
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 3
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 3
doutorado, 4
doutorado, 3
doutorado, 3
doutorado, 4
doutorado, 5
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 3
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 3
doutorado, 4
doutorado, 3
doutorado, 4
doutorado, 2
doutorado, 8
doutorado, 3
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 6
doutorado, 4
doutorado, 6
doutorado, 3
doutorado, 4
doutorado, 4
doutorado, 3
doutorado, 2
doutorado, 5
doutorado, 4
doutorado, 1
doutorado, 5
doutorado, 3
doutorado, 4
doutorado, 4
doutorado, 3
doutorado, 4
doutorado, 3
doutorado, 3
doutorado, 4
doutorado, 5
doutorado, 3
doutorado, 6
doutorado, 4
doutorado, 4
doutorado, 3
doutorado, 4
doutorado, 1
doutorado, 4
doutorado, 5
doutorado, 4
pos-doutorado, 1
doutorado, 5
doutorado, 2
doutorado, 5
doutorado, 5
doutorado, 3
doutorado, 4
doutorado, 3
doutorado, 4
doutorado, 2
doutorado, 5
doutorado, 4
doutorado, 2
doutorado, 3
doutorado, 4
doutorado, 2
doutorado, 2
doutorado, 5
doutorado, 4
doutorado, 3
doutorado, 6
doutorado, 5
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 5
doutorado, 5
doutorado, 2
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 6
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 6
graduacao, 4
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 3
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 5
doutorado, 6
doutorado, 3
doutorado, 5
doutorado, 4
doutorado, 2
doutorado, 6
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 3
doutorado, 5
doutorado, 3
doutorado, 5
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 4
graduacao, 3
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 3
doutorado, 6
doutorado, 5
doutorado, 3
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 5
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 4
doutorado, 3
doutorado, 3
doutorado, 4
graduacao, 5
graduacao, 5
graduacao, 6
graduacao, 5
graduacao, 4
graduacao, 4
graduacao, 3
graduacao, 4
graduacao, 7
graduacao, 5
graduacao, 3
graduacao, 5
graduacao, 7
graduacao, 4
graduacao, 3
graduacao, 4
graduacao, 5
graduacao, 5
graduacao, 6
mestrado, 3
graduacao, 5
graduacao, 4
graduacao, 4
graduacao, 4
graduacao, 2
graduacao, 5
graduacao, 3
graduacao, 6
graduacao, 3
graduacao, 3
graduacao, 4
graduacao, 5
graduacao, 4
graduacao, 4
graduacao, 4
graduacao, 4
graduacao, 5
graduacao, 4
graduacao, 7
graduacao, 2
graduacao, 4
graduacao, 5
graduacao, 5
graduacao, 2
graduacao, 4
graduacao, 10
graduacao, 6
graduacao, 6
graduacao, 3
graduacao, 3
graduacao, 5
graduacao, 5
graduacao, 5
graduacao, 5
graduacao, 4
graduacao, 4
graduacao, 1
graduacao, 4
graduacao, 5
graduacao, 3
graduacao, 2
graduacao, 1
graduacao, 5
graduacao, 4
graduacao, 4
graduacao, 3
graduacao, 4
graduacao, 4
graduacao, 6
graduacao, 5
graduacao, 4
graduacao, 5
graduacao, 6
graduacao, 4
graduacao, 6
graduacao, 4
graduacao, 4
graduacao, 4
graduacao, 3
graduacao, 3
graduacao, 2
graduacao, 5
graduacao, 5
graduacao, 4
graduacao, 4
graduacao, 5
graduacao, 8
graduacao, 5
graduacao, 4
graduacao, 5
graduacao, 5
mestrado, 1
graduacao, 5
graduacao, 5
graduacao, 4
graduacao, 4
graduacao, 5
graduacao, 3
graduacao, 4
graduacao, 4
graduacao, 5
graduacao, 4
graduacao, 3
graduacao, 5
graduacao, 7
graduacao, 3
graduacao, 4
graduacao, 6
graduacao, 5
graduacao, 5
graduacao, 8
graduacao, 6
graduacao, 5
graduacao, 4
graduacao, 3
graduacao, 2
graduacao, 4
graduacao, 4
graduacao, 3
graduacao, 4
graduacao, 4
graduacao, 6
graduacao, 6
graduacao, 1
graduacao, 6
graduacao, 4
graduacao, 4
graduacao, 3
graduacao, 5
graduacao, 4
graduacao, 4
graduacao, 4
graduacao, 5
graduacao, 3
graduacao, 6
graduacao, 4
graduacao, 3
graduacao, 3
graduacao, 4
graduacao, 6
graduacao, 4
graduacao, 5
graduacao, 1
graduacao, 4
graduacao, 3
graduacao, 4
graduacao, 5
graduacao, 2
graduacao, 5
graduacao, 5
graduacao, 4
graduacao, 4
graduacao, 1
graduacao, 5
graduacao, 4
graduacao, 4
graduacao, 5
graduacao, 3
graduacao, 2
graduacao, 5
graduacao, 4
graduacao, 4
graduacao, 4
graduacao, 3
graduacao, 4
pos-doutorado, 1
graduacao, 3
graduacao, 3
graduacao, 5
graduacao, 5
graduacao, 4
