"country_code","player","rank","match","tour","round","player_id","scrape_time","date_of_birth","height_inches","weight_lbs","hand","exact_age","age","country"
"ARG","Paula Ormaechea",NA,45,"WTA",1,90,"2014-08-23 14:48:09",1992-09-28,67,126,"R",21.9000684462697,21,"Argentina"
"AUS","Ajla Tomljanovic",NA,8,"WTA",1,15,"2014-08-23 14:48:09",1993-05-07,61,148,"R",21.2950034223135,21,"Australia"
"AUS","Jarmila Gajdosova",NA,20,"WTA",1,39,"2014-08-23 14:48:09",1987-04-26,67,148,"R",27.3264887063655,27,"Australia"
"AUS","Ashleigh Barty",NA,29,"WTA",1,58,"2014-08-23 14:48:09",1996-04-24,65,137,"R",18.3299110198494,18,"Australia"
"AUS","Samantha Stosur",24,5,"WTA",1,9,"2014-08-23 14:48:09",1984-03-30,69,150,"R",30.3983572895277,30,"Australia"
"AUS","Anastasia Rodionova",NA,58,"WTA",1,115,"2014-08-23 14:48:09",1982-05-12,65,130,"R",32.2819986310746,32,"Australia"
"AUS","Casey Dellacqua",29,13,"WTA",1,25,"2014-08-23 14:48:09",1985-02-11,65,146,"L",29.5277207392197,29,"Australia"
"AUT","Patricia Mayr-Achleitner",NA,13,"WTA",1,26,"2014-08-23 14:48:09",1986-11-08,67,132,"R",27.7891854893908,27,"Austria"
"AUT","Yvonne Meusburger",NA,15,"WTA",1,30,"2014-08-23 14:48:09",1983-10-03,69,132,"R",30.8884325804244,30,"Austria"
"BEL","Alison Van Uytvanck",NA,3,"WTA",1,6,"2014-08-23 14:48:09",1994-03-26,68,139,"R",20.4106776180698,20,"Belgium"
"BEL","Kirsten Flipkens",NA,57,"WTA",1,114,"2014-08-23 14:48:09",1986-01-10,65,121,"R",28.6160164271047,28,"Belgium"
"BEL","Yanina Wickmayer",NA,35,"WTA",1,70,"2014-08-23 14:48:09",1989-10-20,NA,150,"R",24.8405201916496,24,"Belgium"
"BLR","Olga Govortsova",NA,32,"WTA",1,63,"2014-08-23 14:48:09",1988-08-23,NA,148,"R",25.9986310746064,25,"Belarus"
"BLR","Victoria Azarenka",16,24,"WTA",1,48,"2014-08-23 14:48:09",1989-07-31,NA,154,"R",25.0622861054073,25,"Belarus"
"BLR","Aliaksandra Sasnovich",NA,55,"WTA",1,110,"2014-08-23 14:48:09",1994-03-22,NA,NA,"R",20.4216290212183,20,"Belarus"
"BRA","Teliana Pereira",NA,12,"WTA",1,23,"2014-08-23 14:48:09",1988-07-20,66,137,"R",26.0917180013689,26,"Brazil"
"BUL","Tsvetana Pironkova",NA,39,"WTA",1,78,"2014-08-23 14:48:09",1987-09-13,61,143,"R",26.943189596167,26,"Bulgaria"
"CAN","Aleksandra Wozniak",NA,36,"WTA",1,71,"2014-08-23 14:48:09",1987-09-07,69,132,"R",26.9596167008898,26,"Canada"
"CAN","Eugenie Bouchard",7,32,"WTA",1,64,"2014-08-23 14:48:09",1994-02-25,61,134,"R",20.4900752908966,20,"Canada"
