country_code,player,rank,match,tour,round,player_id,scrape_time,date_of_birth,height_inches,weight_lbs,hand,exact_age,age,country
ARG,Facundo Bagnis,NA,5,ATP,1,10,8/23/2014 14:46,2/27/1990,72,180,L,24.48459959,24,Argentina
ARG,Leonardo Mayer,23,28,ATP,1,56,8/23/2014 14:46,5/15/1987,74.015788,183,R,27.27446954,27,Argentina
ARG,Diego Schwartzman,NA,1,ATP,1,2,8/23/2014 14:46,8/16/1992,66.92917,140,R,22.01779603,22,Argentina
ARG,Federico Delbonis,NA,46,ATP,1,92,8/23/2014 14:46,10/5/1990,74.80319,194,L,23.88227242,23,Argentina
ARG,Juan Monaco,NA,9,ATP,1,18,8/23/2014 14:46,3/29/1984,72.834685,179,R,30.40109514,30,Argentina
ARG,Maximo Gonzalez,NA,3,ATP,1,5,8/23/2014 14:46,7/20/1983,68.897675,154,R,31.09377139,31,Argentina
ARG,Carlos Berlocq,NA,50,ATP,1,99,8/23/2014 14:46,2/3/1983,72.047283,165,R,31.55099247,31,Argentina
AUS,Lleyton Hewitt,NA,33,ATP,1,66,8/23/2014 14:46,2/24/1981,70.86618,170,R,33.49212868,33,Australia
AUS,Bernard Tomic,NA,47,ATP,1,93,8/23/2014 14:46,10/21/1992,77.165396,201,R,21.83709788,21,Australia
AUS,Sam Groth,NA,63,ATP,1,126,8/23/2014 14:46,10/19/1987,NA,215,R,26.84462697,26,Australia
AUS,Marinko Matosevic,NA,64,ATP,1,127,8/23/2014 14:46,8/8/1985,75.984293,190,R,29.0403833,29,Australia
AUS,Nick Kyrgios,NA,21,ATP,1,42,8/23/2014 14:46,4/27/1995,75.984293,171,R,19.32375086,19,Australia
AUS,Matthew Ebden,NA,27,ATP,1,53,8/23/2014 14:46,11/26/1987,74.015788,172,R,26.74058864,26,Australia
AUT,Andreas Haider-Maurer,NA,60,ATP,1,119,8/23/2014 14:46,3/22/1987,74.80319,196,R,27.42231348,27,Austria
