"","lon","lat"
"1",-9.138705,38.7368192
"2",151.1873473,-33.888584
"5",-74.0964806,4.6462586
"6",3.1321847,50.608071
"7",10.89779,48.3705449
"8",8.5479407,47.3757226
"9",151.1873473,-33.888584
"11",3.1321847,50.608071
"12",-97.7340567,30.2849185
"13",151.1873473,-33.888584
"16",-99.9018131,31.9685988
"18",3.3640563,6.6025621
"19",-73.0341825,-36.8294765
"21",-117.1544219,46.7319374
"23",12.521381,55.7855742
"27",-122.6842093,45.51233
"28",76.3069358,10.0247596
"30",5.559064,50.5830803
"31",151.1873473,-33.888584
"32",19.8323289,39.6949845
"34",19.8323289,39.6949845
"35",-76.4735027,42.4534492
"36",-122.6842093,45.51233
"37",8.5479407,47.3757226
"38",151.1873473,-33.888584
"39",151.1873473,-33.888584
"42",76.3069358,10.0247596
"43",139.6827845,35.6042244
"45",6.8524271,52.2410328
"46",-105.167442,39.740555
"47",121.0442746,14.5290308
"48",151.1873473,-33.888584
"49",-118.162674,33.806498
"50",17.2105238,48.1702634
"51",140.8741224,38.2538016
"52",2.5280732,49.6636127
"53",151.1873473,-33.888584
"54",-74.0630587,4.6271395
"55",-1.5550328,53.8066815
"57",13.7372621,51.0504088
"58",-71.6421676,-33.0224189
"59",25.4558889,65.0567656
"60",-0.1340401,51.5245592
"61",174.7752471,-41.2817316
"62",8.4106051,49.0064725
"63",136.9214696,35.15842
"65",-83.5499954,40.3054508
"66",18.864447,-33.9328078
"67",-85.4951663,32.5933574
"69",151.2069902,-33.8674869
"70",-1.5550328,53.8066815
"71",-1.5583276,53.808052
"72",-6.2549408,53.3417124
"73",7.6607323,45.0629577
"74",130.7279202,32.8128305
"75",174.7752471,-41.2817316
"76",9.1149991,39.2175492
"77",153.0120301,-27.4954306
"78",151.204142,-33.884502
"79",-6.2549408,53.3417124
"80",-87.6716747,41.8700726
"82",-73.6188269,45.5032775
"84",-70.6629457,-33.4576449
"85",-76.622804,39.301951
"86",-117.1544219,46.7319374
"87",-6.2549408,53.3417124
"88",-6.2549408,53.3417124
"91",-122.3141014,47.6522602
"92",103.819836,1.352083
"93",-9.138705,38.7368192
"94",3.1321847,50.608071
"95",3.3640563,6.6025621
"97",3.1321847,50.608071
"98",151.204142,-33.884502
"100",3.1321847,50.608071
"101",144.9704307,-37.8126616
"103",138.6066669,-34.9201652
"104",151.204142,-33.884502
"105",-1.2333126,52.7641408
"106",-70.9299736,43.1325892
"107",9.1149991,39.2175492
"108",3.3751882,6.589384
"110",151.204142,-33.884502
"111",-145.4757287,60.4934354
"112",139.761989,35.7126775
"113",-74.0964806,4.6462586
"114",151.2004942,-33.8832376
"115",151.1873473,-33.888584
"116",-6.2549408,53.3417124
"117",-145.4757287,60.4934354
"118",115.8199096,-31.981179
"119",9.1149991,39.2175492
"123",16.3684489,48.2467164
"124",151.1873473,-33.888584
"125",8.4106051,49.0064725
"126",3.1321847,50.608071
"127",-73.6188269,45.5032775
"128",-73.0341825,-36.8294765
"129",5.367635,52.13255
"130",153.0131004,-27.4550685
"131",153.01673,-27.45178
"132",-91.1800023,30.4132579
"133",13.7372621,51.0504088
"135",136.9214696,35.15842
"136",103.819836,1.352083
"137",8.4036527,49.0068901
