id,oX,oY,dX,dY,trips
0,-25.428,-49.273,-25.428,-49.273,29
1,-25.428,-49.273,-26.908,-48.662,29
2,-25.428,-49.273,-23.548,-46.636,29
3,-25.428,-49.273,-29.76,-51.147,29
4,-25.428,-49.273,42.60003,-5.57032,29
5,-25.428,-49.273,-22.883,-43.104,29
6,-25.428,-49.273,-22.903,-43.208,29
7,-25.428,-49.273,-16.679,-49.254,29
8,-25.428,-49.273,-22.018,-47.891,29
9,-25.428,-49.273,-8.054,-34.881,29
10,-25.428,-49.273,-8.054,-34.881,29
11,-25.428,-49.273,-22.906,-47.061,29
12,-25.428,-49.273,51.45625,-0.97113,29
13,-25.428,-49.273,-27.597,-48.549,29
14,-25.428,-49.273,41.85003,-87.65005,29
15,-25.428,-49.273,42.65258,-73.75623,29
16,-25.428,-49.273,-23.548,-46.636,33
17,-25.428,-49.273,-23.463,-46.533,33
18,-25.428,-49.273,-30.033,-51.23,34
19,-25.428,-49.273,-19.817,-43.956,34
20,-25.428,-49.273,-22.315,-49.061,34
21,-25.428,-49.273,-25.395,-51.458,34
22,-25.428,-49.273,-23.425,-51.939,34
23,-25.428,-49.273,-31.772,-52.343,34
24,-25.428,-49.273,-19.817,-43.956,34
25,-25.428,-49.273,-23.548,-46.636,35
26,-25.428,-49.273,-27.597,-48.549,35
27,-25.428,-49.273,-5.795,-35.209,35
28,-25.428,-49.273,-25.428,-49.273,44
29,-25.428,-49.273,40.4165,-3.70256,44
30,-25.428,-49.273,-23.548,-46.636,44
31,-25.428,-49.273,-21.764,-43.35,44
32,-25.428,-49.273,-22.906,-47.061,44
33,-25.428,-49.273,48.89198,2.20675,44
34,-25.428,-49.273,-22.903,-43.208,44
35,-25.428,-49.273,40.4165,-3.70256,44
36,-25.428,-49.273,-23.548,-46.636,44
37,-25.428,-49.273,-2.53,-44.303,44
38,-25.428,-49.273,-18.919,-48.277,44
39,-25.428,-49.273,-23.548,-46.636,44
40,-25.428,-49.273,-23.548,-46.636,44
41,-25.428,-49.273,-21.178,-47.81,44
42,-25.428,-49.273,-7.115,-34.863,44
43,-25.428,-49.273,-22.903,-43.208,44
44,-25.428,-49.273,-3.102,-60.025,44
45,-25.428,-49.273,-26.304,-48.846,44
46,-25.428,-49.273,-23.31,-51.163,44
47,-25.428,-49.273,-22.903,-43.208,44
48,-25.428,-49.273,-12.971,-38.511,44
49,-25.428,-49.273,-15.78,-47.93,44
50,-25.428,-49.273,-25.095,-50.162,44
51,-25.428,-49.273,-15.596,-56.097,44
52,-25.428,-49.273,-12.971,-38.511,44
53,-25.428,-49.273,-27.634,-52.274,44
54,-25.428,-49.273,-29.684,-53.807,44
55,-25.428,-49.273,-28.263,-52.407,44
56,-25.428,-49.273,48.78232,9.17702,44
57,-25.428,-49.273,-25.428,-49.273,44
58,-25.428,-49.273,-27.46794,153.02809,44
59,-25.428,-49.273,-29.718,-52.426,44
60,-25.428,-49.273,36.11561,-97.05837,44
61,-25.428,-49.273,-28.678,-49.37,44
62,-25.428,-49.273,-30.033,-51.23,44
63,-25.428,-49.273,51.50853,-0.12574,44
64,-25.428,-49.273,40.42587,-86.90807,44
65,-25.428,-49.273,-22.903,-43.208,44
66,-25.428,-49.273,-25.428,-49.273,46
67,-25.428,-49.273,-23.548,-46.636,46
68,-25.428,-49.273,-3.717,-38.543,46
69,-25.428,-49.273,53.79648,-1.54785,46
70,-25.428,-49.273,-22.126,-51.389,46
71,-25.428,-49.273,-20.319,-40.338,46
72,-25.428,-49.273,45.41117,-75.69812,46
73,-25.428,-49.273,-20.754,-42.882,46
74,-25.428,-49.273,-28.388,-53.915,46
75,-25.428,-49.273,38.34517,-0.48149,46
76,-25.428,-49.273,-1.456,-48.504,46
77,-25.428,-49.273,48.85341,2.3488,46
78,-25.428,-49.273,-33.03932,-71.62725,46
79,-25.428,-49.273,-32.035,-52.099,46
80,-25.428,-49.273,34.05223,-118.24368,46
81,-25.428,-49.273,-21.178,-47.81,46
82,-25.428,-49.273,43.61092,3.87723,46
83,-25.428,-49.273,-22.903,-43.208,46
84,-25.428,-49.273,48.68439,6.18496,46
85,-25.428,-49.273,43.4668,-80.51639,46
86,-25.428,-49.273,50.85045,4.34878,46
87,-25.428,-49.273,52.00667,4.35556,46
88,-25.428,-49.273,42.00833,-91.64407,46
89,-25.428,-49.273,44.56457,-123.26204,46
90,-25.428,-49.273,-3.102,-60.025,46
91,-25.428,-49.273,36.52978,-6.29465,46
92,-25.428,-49.273,41.38879,2.15899,46
93,-25.428,-49.273,41.55032,-8.42005,48
94,-25.428,-49.273,-21.245,-45,48
95,-25.428,-49.273,38.71667,-9.13333,48
96,-25.428,-49.273,-19.748,-47.932,48
97,-25.428,-49.273,-21.178,-47.81,48
98,-25.428,-49.273,30.62798,-96.33441,48
99,-25.428,-49.273,53.48095,-2.23743,48
100,-25.428,-49.273,52.52437,13.41053,48
101,-25.428,-49.273,-22.744,-43.708,48
102,-25.428,-49.273,49.41794,2.82606,48
103,-25.428,-49.273,52.76667,-1.2,48
104,-25.428,-49.273,48.85341,2.3488,48
105,-25.428,-49.273,-23.179,-45.887,48
106,-25.428,-49.273,40.11642,-88.24338,48
107,-25.428,-49.273,-22.903,-43.208,48
108,-25.428,-49.273,41.89193,12.51133,48
109,-25.428,-49.273,-22.315,-49.061,48
110,-25.428,-49.273,52.62783,1.29834,48
111,-25.428,-49.273,53.55014,-113.46871,48
112,-25.428,-49.273,-23.179,-45.887,48
113,-25.428,-49.273,45.40797,11.88586,48
114,-25.428,-49.273,25.72149,-80.26838,48
115,-25.428,-49.273,39.37733,-76.53969,48
116,-25.428,-49.273,50.87959,4.70093,48
117,-25.428,-49.273,43.60426,1.44367,48
118,-25.428,-49.273,37.38283,-5.97317,48
119,-25.428,-49.273,48.11198,-1.67429,48
120,-25.428,-49.273,35.7721,-78.63861,48
121,-25.428,-49.273,29.65163,-82.32483,48
122,-25.428,-49.273,-3.102,-60.025,48
123,-25.428,-49.273,-3.717,-38.543,48
124,-25.428,-49.273,-26.919,-49.066,48
125,-25.428,-49.273,-20.443,-54.646,48
126,-25.428,-49.273,-20.443,-54.646,48
127,-25.428,-49.273,39.29038,-76.61219,48
128,-25.428,-49.273,46.81228,-71.21454,48
129,-25.428,-49.273,42.44063,-76.49661,48
130,-25.428,-49.273,37.87159,-122.27275,48
131,-25.428,-49.273,-22.903,-43.208,48
132,-25.428,-49.273,-21.178,-47.81,48
133,-25.428,-49.273,53.48095,-2.23743,48
134,-25.428,-49.273,-25.428,-49.273,48
135,-25.428,-49.273,-20.539,-47.401,48
136,-25.428,-49.273,-21.255,-48.322,48
137,-25.428,-49.273,-20.288,-43.508,48
138,-25.428,-49.273,-21.754,-41.324,48
139,-25.428,-49.273,-19.817,-43.956,48
140,-25.428,-49.273,40.64427,-8.64554,48
141,-25.428,-49.273,-22.426,-45.453,48
142,-25.428,-49.273,-7.231,-35.881,48
143,-25.428,-49.273,-21.697,-45.253,48
144,-25.428,-49.273,-21.429,-45.947,48
145,-25.428,-49.273,-12.971,-38.511,48
146,-25.428,-49.273,44.97997,-93.26384,48
147,-25.428,-49.273,-22.906,-47.061,48
148,-25.428,-49.273,-21.245,-45,48
149,-25.428,-49.273,43.07305,-89.40123,48
150,-25.428,-49.273,48.85341,2.3488,48
151,-25.428,-49.273,-1.456,-48.504,48
152,-25.428,-49.273,-21.697,-45.253,48
153,-25.428,-49.273,-22.903,-43.208,48
154,-25.428,-49.273,-23.548,-46.636,48
155,-25.428,-49.273,-23.548,-46.636,48
156,-25.428,-49.273,-23.664,-46.538,48
157,-25.428,-49.273,38.54491,-121.74052,48
158,-25.428,-49.273,-23.664,-46.538,48
159,-25.428,-49.273,-23.548,-46.636,48
160,-25.428,-49.273,-22.725,-47.649,48
161,-25.428,-49.273,39.95233,-75.16379,48
162,-25.428,-49.273,-23.548,-46.636,48
163,-25.428,-49.273,-23.548,-46.636,48
164,-25.428,-49.273,-34.61315,-58.37723,48
165,-25.428,-49.273,-23.548,-46.636,48
166,-25.428,-49.273,-22.315,-49.061,48
167,-25.428,-49.273,43.54594,-80.25599,48
168,-25.428,-49.273,-23.548,-46.636,48
169,-25.428,-49.273,-22.906,-47.061,48
170,-25.428,-49.273,-23.548,-46.636,48
171,-25.428,-49.273,52.52437,13.41053,48
172,-25.428,-49.273,-23.548,-46.636,48
173,-25.428,-49.273,-23.548,-46.636,48
174,-25.428,-49.273,38.89511,-77.03637,48
175,-25.428,-49.273,45.46427,9.18951,48
176,-25.428,-49.273,39.47649,-6.37224,48
177,-25.428,-49.273,-20.82,-49.379,48
178,-25.428,-49.273,-23.548,-46.636,48
179,-25.428,-49.273,-15.78,-47.93,48
180,-25.428,-49.273,-3.717,-38.543,48
181,-25.428,-49.273,-21.178,-47.81,48
182,-25.428,-49.273,40.44062,-79.99589,48
183,-25.428,-49.273,-23.548,-46.636,48
184,-25.428,-49.273,52.48142,-1.89983,48
185,-25.428,-49.273,-23.548,-46.636,48
186,-25.428,-49.273,-33.45694,-70.64827,48
187,-25.428,-49.273,-23.548,-46.636,48
188,-25.428,-49.273,-7.191,-48.207,48
189,-25.428,-49.273,-23.694,-46.565,48
190,-25.428,-49.273,-23.548,-46.636,48
191,-25.428,-49.273,-25.428,-49.273,48
192,-25.428,-49.273,-22.903,-43.208,48
193,-25.428,-49.273,-23.548,-46.636,48
194,-25.428,-49.273,-23.548,-46.636,48
195,-25.428,-49.273,-23.548,-46.636,48
196,-25.428,-49.273,-23.548,-46.636,48
197,-25.428,-49.273,33.95335,-117.39616,48
198,-25.428,-49.273,42.27756,-83.74088,48
199,-25.428,-49.273,40.44062,-79.99589,48
200,-25.428,-49.273,39.73915,-104.9847,48
201,-25.428,-49.273,40.58526,-105.08442,48
202,-25.428,-49.273,-21.178,-47.81,48
203,-25.428,-49.273,48.24896,11.65101,48
204,-25.428,-49.273,-23.548,-46.636,48
205,-25.428,-49.273,-21.178,-47.81,48
206,-25.428,-49.273,49.40768,8.69079,48
207,-25.428,-49.273,-23.548,-46.636,48
208,-25.428,-49.273,-23.548,-46.636,48
209,-25.428,-49.273,-23.548,-46.636,48
210,-25.428,-49.273,42.3751,-71.10561,48
211,-25.428,-49.273,-22.886,-48.445,48
212,-25.428,-49.273,-23.548,-46.636,48
213,-25.428,-49.273,-22.211,-49.656,48
214,-25.428,-49.273,-23.548,-46.636,48
215,-25.428,-49.273,-8.11599,-79.02998,48
216,-25.428,-49.273,51.88921,0.90421,48
217,-25.428,-49.273,-23.961,-46.334,48
218,-25.428,-49.273,-22.952,-46.542,48
219,-25.428,-49.273,-28.467,-49.007,48
220,-25.428,-49.273,48.85341,2.3488,48
221,-25.428,-49.273,-5.089,-42.802,48
222,-25.428,-49.273,-9.975,-67.81,48
223,-25.428,-49.273,-23.548,-46.636,48
224,-25.428,-49.273,-23.548,-46.636,48
225,-25.428,-49.273,-7.231,-35.881,48
226,-25.428,-49.273,-23.548,-46.636,48
227,-25.428,-49.273,-22.903,-43.208,48
228,-25.428,-49.273,-8.054,-34.881,48
229,-25.428,-49.273,-23.463,-46.533,48
230,-25.428,-49.273,-23.961,-46.334,48
231,-25.428,-49.273,-12.971,-38.511,48
232,-25.428,-49.273,51.50853,-0.12574,48
233,-25.428,-49.273,-23.548,-46.636,48
234,-25.428,-49.273,-3.674,-40.239,48
235,-25.428,-49.273,43.70011,-79.4163,48
236,-25.428,-49.273,42.73698,-84.48387,48
237,-25.428,-49.273,-19.817,-43.956,48
238,-25.428,-49.273,-22.903,-43.208,48
239,-25.428,-49.273,39.46975,-0.37739,48
240,-25.428,-49.273,41.89193,12.51133,48
241,-25.428,-49.273,-23.961,-46.334,48
242,-25.428,-49.273,40.4165,-3.70256,48
243,-25.428,-49.273,-23.548,-46.636,48
244,-25.428,-49.273,-14.789,-39.049,48
245,-25.428,-49.273,-22.214,-49.946,48
246,-25.428,-49.273,-23.548,-46.636,48
247,-25.428,-49.273,-23.548,-46.636,48
248,-25.428,-49.273,-19.466,-44.247,48
249,-25.428,-49.273,-23.523,-46.188,48
250,-25.428,-49.273,-23.961,-46.334,48
251,-25.428,-49.273,-22.018,-47.891,48
252,-25.428,-49.273,-15.78,-47.93,48
253,-25.428,-49.273,40.48622,-74.45182,48
254,-25.428,-49.273,-22.903,-43.208,48
255,-25.428,-49.273,-23.548,-46.636,48
256,-25.428,-49.273,42.03336,-87.73339,48
257,-25.428,-49.273,-22.903,-43.208,48
258,-25.428,-49.273,-33.45694,-70.64827,48
259,-25.428,-49.273,38.71667,-9.13333,48
260,-25.428,-49.273,-23.533,-46.792,48
261,-25.428,-49.273,-19.79,-42.139,48
262,-25.428,-49.273,-23.548,-46.636,48
263,-25.428,-49.273,-23.694,-46.565,48
264,-25.428,-49.273,-22.886,-48.445,48
265,-25.428,-49.273,3.43722,-76.5225,48
266,-25.428,-49.273,-22.211,-49.656,48
267,-25.428,-49.273,-23.548,-46.636,48
268,-25.428,-49.273,33.749,-84.38798,48
269,-25.428,-49.273,-22.018,-47.891,48
270,-25.428,-49.273,30.26715,-97.74306,48
271,-25.428,-49.273,-23.523,-46.188,48
272,-25.428,-49.273,-21.178,-47.81,48
273,-25.428,-49.273,52.9536,-1.15047,48
274,-25.428,-49.273,-22.827,-43.054,48
275,-25.428,-49.273,6.25184,-75.56359,48
276,-25.428,-49.273,-22.903,-43.208,48
277,-25.428,-49.273,-23.548,-46.636,48
278,-25.428,-49.273,30.26715,-97.74306,48
279,-25.428,-49.273,-22.018,-47.891,48
280,-25.428,-49.273,41.52519,-88.0834,48
281,-25.428,-49.273,-23.186,-46.884,48
282,-25.428,-49.273,-23.026,-45.555,48
283,-25.428,-49.273,48.85341,2.3488,48
284,-25.428,-49.273,52.2,0.11667,48
285,-25.428,-49.273,48.93333,2.36667,48
286,-25.428,-49.273,-23.548,-46.636,48
287,-25.428,-49.273,-23.548,-46.636,48
288,-25.428,-49.273,-22.214,-49.946,48
289,-25.428,-49.273,-23.548,-46.636,48
290,-25.428,-49.273,-21.178,-47.81,48
291,-25.428,-49.273,-21.996,-47.426,48
292,-25.428,-49.273,-23.548,-46.636,48
293,-25.428,-49.273,-22.744,-43.708,48
294,-25.428,-49.273,-21.178,-47.81,48
295,-25.428,-49.273,43.77925,11.24626,48
296,-25.428,-49.273,40.76078,-111.89105,48
297,-25.428,-49.273,-23.548,-46.636,48
298,-25.428,-49.273,-12.04318,-77.02824,48
299,-25.428,-49.273,42.27756,-83.74088,48
300,-25.428,-49.273,-21.178,-47.81,48
301,-25.428,-49.273,-21.178,-47.81,48
302,-25.428,-49.273,-22.725,-47.649,48
303,-25.428,-49.273,-2.53,-44.303,48
304,-25.428,-49.273,-9.666,-35.735,48
305,-25.428,-49.273,-22.404,-43.663,48
306,-25.428,-49.273,39.96118,-82.99879,48
307,-25.428,-49.273,30.43826,-84.28073,48
308,-25.428,-49.273,52.09083,5.12222,48
309,-25.428,-49.273,35.7721,-78.63861,48
310,-25.428,-49.273,-23.548,-46.636,48
311,-25.428,-49.273,51.23536,-0.57427,48
312,-25.428,-49.273,40.71427,-74.00597,48
313,-25.428,-49.273,42.35843,-71.05977,48
314,-25.428,-49.273,36.97412,-122.0308,48
315,-25.428,-49.273,-23.548,-46.636,48
316,-25.428,-49.273,48.85341,2.3488,48
317,-25.428,-49.273,35.6895,139.69171,48
318,-25.428,-49.273,-22.315,-49.061,48
319,-25.428,-49.273,40.71427,-74.00597,48
320,-25.428,-49.273,29.76328,-95.36327,48
321,-25.428,-49.273,39.16533,-86.52639,48
322,-25.428,-49.273,-22.903,-43.208,48
323,-25.428,-49.273,35.02107,135.75385,48
324,-25.428,-49.273,-23.548,-46.636,48
325,-25.428,-49.273,-23.548,-46.636,48
326,-25.428,-49.273,41.66113,-91.53017,48
327,-25.428,-49.273,48.76507,2.26655,48
328,-25.428,-49.273,48.24896,11.65101,48
329,-25.428,-49.273,-23.548,-46.636,48
330,-25.428,-49.273,32.60986,-85.48078,48
331,-25.428,-49.273,-21.178,-47.81,48
332,-25.428,-49.273,37.44188,-122.14302,48
333,-25.428,-49.273,-22.886,-48.445,48
334,-25.428,-49.273,53.38297,-1.4659,48
335,-25.428,-49.273,47.60621,-122.33207,48
336,-25.428,-49.273,55.67594,12.56553,48
337,-25.428,-49.273,41.82399,-71.41283,48
338,-25.428,-49.273,38.71667,-9.13333,48
339,-25.428,-49.273,48.47629,8.93528,48
340,-25.428,-49.273,40.42972,-3.67975,48
341,-25.428,-49.273,51.75222,-1.25596,48
342,-25.428,-49.273,-23.548,-46.636,48
343,-25.428,-49.273,46.58333,0.33333,48
344,-25.428,-49.273,-23.548,-46.636,48
345,-25.428,-49.273,-22.018,-47.891,48
346,-25.428,-49.273,-23.463,-46.533,48
347,-25.428,-49.273,-23.548,-46.636,48
348,-25.428,-49.273,-11.015,-37.206,48
349,-25.428,-49.273,48.85341,2.3488,48
350,-25.428,-49.273,-23.548,-46.636,48
351,-25.428,-49.273,-23.548,-46.636,48
352,-25.428,-49.273,-33.86785,151.20732,48
353,-25.428,-49.273,-24.956,-53.455,48
354,-25.428,-49.273,55.86515,-4.25763,48
355,-25.428,-49.273,-23.548,-46.636,48
356,-25.428,-49.273,51.50853,-0.12574,48
357,-25.428,-49.273,-22.903,-43.208,48
358,-25.428,-49.273,37.18817,-3.60667,48
359,-25.428,-49.273,-22.018,-47.891,48
360,-25.428,-49.273,-21.178,-47.81,48
361,-25.428,-49.273,-23.548,-46.636,48
362,-25.428,-49.273,-21.794,-48.176,48
363,-25.428,-49.273,-23.548,-46.636,48
364,-25.428,-49.273,-23.548,-46.636,48
365,-25.428,-49.273,-23.548,-46.636,48
366,-25.428,-49.273,-23.179,-45.887,48
367,-25.428,-49.273,40.71427,-74.00597,48
368,-25.428,-49.273,38.02931,-78.47668,48
369,-25.428,-49.273,40.06667,-2.13333,48
370,-25.428,-49.273,-1.456,-48.504,48
371,-25.428,-49.273,-20.443,-54.646,48
372,-25.428,-49.273,-22.315,-49.061,48
373,-25.428,-49.273,-23.548,-46.636,48
374,-25.428,-49.273,-23.548,-46.636,48
375,-25.428,-49.273,-23.548,-46.636,48
376,-25.428,-49.273,-22.315,-49.061,48
377,-25.428,-49.273,-23.548,-46.636,48
378,-25.428,-49.273,-22.903,-43.208,48
379,-25.428,-49.273,-23.548,-46.636,48
380,-25.428,-49.273,-23.548,-46.636,48
381,-25.428,-49.273,-8.054,-34.881,48
382,-25.428,-49.273,-23.548,-46.636,48
383,-25.428,-49.273,-23.623,-46.551,48
384,-25.428,-49.273,-23.548,-46.636,48
385,-25.428,-49.273,-15.78,-47.93,48
386,-25.428,-49.273,-23.548,-46.636,48
387,-25.428,-49.273,-23.548,-46.636,48
388,-25.428,-49.273,41.38879,2.15899,48
389,-25.428,-49.273,41.89193,12.51133,48
390,-25.428,-49.273,-23.548,-46.636,48
391,-25.428,-49.273,-29.76,-51.147,48
392,-25.428,-49.273,-23.548,-46.636,48
393,-25.428,-49.273,-23.548,-46.636,48
394,-25.428,-49.273,55.86515,-4.25763,48
395,-25.428,-49.273,-23.548,-46.636,48
396,-25.428,-49.273,-30.033,-51.23,48
397,-25.428,-49.273,-1.456,-48.504,48
398,-25.428,-49.273,43.15478,-77.61556,48
399,-25.428,-49.273,-3.717,-38.543,48
400,-25.428,-49.273,-20.849,-41.113,48
401,-25.428,-49.273,-18.919,-48.277,48
402,-25.428,-49.273,38.71667,-9.13333,48
403,-25.428,-49.273,52.40656,-1.51217,48
404,-25.428,-49.273,-25.428,-49.273,49
405,-25.428,-49.273,40.71427,-74.00597,49
406,-25.428,-49.273,41.38879,2.15899,49
407,-25.428,-49.273,28.53834,-81.37924,49
408,-25.428,-49.273,-12.971,-38.511,49
409,-25.428,-49.273,17.15297,-89.08058,50
410,-25.428,-49.273,-23.463,-46.533,50
411,-25.428,-49.273,-23.548,-46.636,50
412,-25.428,-49.273,-22.886,-48.445,50
413,-25.428,-49.273,32.84727,-117.2742,50
