state,santa catarina,sao paulo,minas gerais,federal district,parana,bahia,rio de janeiro,rio grande do sul,maranhao,amazonas,mato grosso,para,espirito santo,goias,pernambuco,paraiba,amapa,ceara,mato grosso do sul,alagoas,rio grande do norte,piaui,sergipe,acre,rondonia,tocantins,roraima
santa catarina,8932,1915,275,127,601,63,477,1008,4,29,5,21,12,23,66,53,1,26,17,8,35,2,4,0,1,1,1
sao paulo,839,140576,2160,1004,1646,538,3173,1430,46,212,111,322,173,276,520,280,52,328,178,45,205,36,65,4,15,33,3
minas gerais,364,7657,30523,705,649,274,2923,566,22,86,65,104,154,282,209,132,41,122,69,33,58,19,31,3,4,27,5
federal district,135,1530,318,5062,109,86,609,197,13,35,17,27,10,146,89,35,11,68,19,3,44,7,7,0,6,2,0
parana,1239,6268,587,195,15315,107,1307,775,8,96,35,45,17,60,130,69,11,67,77,10,49,11,10,3,9,5,1
bahia,98,1571,456,157,132,5918,581,215,3,13,6,27,15,15,211,130,4,72,3,15,41,3,62,4,3,1,1
rio de janeiro,410,6239,1424,600,1952,289,45840,739,31,86,56,115,168,127,278,141,23,184,47,20,122,17,36,3,4,5,0
rio grande do sul,1718,4333,682,346,789,180,1227,32202,4,56,39,68,33,51,160,93,17,65,42,16,66,5,12,1,5,4,0
maranhao,25,560,98,49,36,14,152,17,648,5,0,32,3,16,79,63,1,87,1,1,22,25,2,0,1,1,1
amazonas,63,509,106,61,65,6,142,44,3,1175,9,50,5,5,26,38,3,26,1,0,11,1,1,2,2,3,2
mato grosso,56,590,167,72,59,7,99,78,2,29,809,2,5,34,23,37,1,21,18,1,4,0,6,2,4,1,0
para,79,1284,278,119,73,52,456,130,19,74,4,3027,8,15,64,69,20,68,0,9,43,7,2,5,2,1,1
espirito santo,42,690,338,35,65,29,545,83,2,6,7,6,1202,2,19,4,0,11,2,6,4,1,0,0,0,0,0
goias,46,1008,345,528,52,18,251,73,6,6,9,10,3,2595,29,23,4,10,7,1,4,0,3,1,0,6,0
pernambuco,95,1741,331,154,174,168,591,215,19,36,3,36,16,16,9106,416,4,170,19,46,142,23,26,0,1,3,0
paraiba,144,1192,262,139,80,138,340,170,14,21,4,32,13,12,702,5331,5,191,4,29,305,14,20,4,4,0,8
amapa,1,27,24,6,5,2,6,10,0,3,0,14,0,1,4,3,13,3,0,0,1,1,0,0,0,0,0
ceara,107,1530,328,167,87,91,546,131,18,30,8,39,5,9,340,236,3,6416,5,9,140,39,14,6,3,2,2
mato grosso do sul,46,828,126,60,115,8,84,61,0,11,25,5,2,16,19,4,2,8,806,0,1,0,2,0,1,0,0
alagoas,22,269,63,11,21,26,98,22,0,1,4,3,1,3,194,73,0,33,2,624,10,0,11,0,0,0,0
rio grande do norte,46,712,64,73,50,35,178,61,3,15,3,22,5,8,212,202,2,89,1,7,3089,0,10,1,1,1,0
piaui,9,313,100,34,29,14,80,27,9,2,1,10,1,4,103,29,1,141,1,4,48,496,4,0,1,0,0
sergipe,17,281,56,26,21,91,115,18,1,0,1,1,1,2,97,35,0,19,1,17,24,0,601,0,1,0,0
acre,7,51,31,6,5,8,27,5,0,10,2,5,0,4,11,6,0,8,0,3,6,0,1,57,2,0,0
rondonia,21,54,12,16,7,3,14,12,0,11,7,5,2,2,3,6,0,2,6,0,1,0,1,3,100,0,0
tocantins,2,43,27,11,3,2,7,6,1,1,1,2,1,11,4,1,0,5,0,0,2,0,0,0,0,60,0
roraima,2,8,10,1,2,2,7,10,0,10,1,5,1,0,8,4,0,4,0,0,2,0,1,0,0,0,13
