Source,Target,Kind,Type,Id,Label,Weight
1459,1,birth,Directed,1,,1
1,276,degree,Directed,2,,15
276,614,degree,Directed,3,,370
614,314,work,Directed,4,,60
165,1,degree,Directed,5,,8
45,45,degree,Directed,6,,558
2463,621,birth,Directed,7,,78
621,340,degree,Directed,8,,178
340,851,degree,Directed,9,,496
851,621,work,Directed,10,,66
1537,239,birth,Directed,11,,1497
239,239,degree,Directed,12,,839
239,239,degree,Directed,13,,2804
239,154,degree,Directed,14,,2701
154,239,work,Directed,15,,8804
1505,774,birth,Directed,16,,1301
774,165,degree,Directed,17,,142
165,177,degree,Directed,18,,52
5545,595,birth,Directed,19,,3
595,403,degree,Directed,20,,284
403,403,degree,Directed,21,,1463
403,742,degree,Directed,22,,1409
1592,415,birth,Directed,23,,196
415,831,degree,Directed,24,,966
831,417,degree,Directed,25,,12
417,415,degree,Directed,26,,871
415,791,work,Directed,27,,2912
1547,2,birth,Directed,28,,1181
2,2,degree,Directed,29,,88
2,589,degree,Directed,30,,751
589,277,degree,Directed,31,,55
277,751,degree,Directed,32,,10999
751,2,work,Directed,33,,98
1633,821,birth,Directed,34,,259
821,821,degree,Directed,35,,3
821,2,degree,Directed,36,,31
2,2,degree,Directed,37,,2853
2,666,degree,Directed,38,,5780
1663,667,birth,Directed,39,,178
667,2,degree,Directed,40,,5
2,807,work,Directed,41,,4035
1382,445,birth,Directed,42,,5984
445,915,degree,Directed,43,,102
915,579,degree,Directed,44,,4
579,6,degree,Directed,45,,23
6,2,work,Directed,46,,23052
436,6,degree,Directed,47,,408
6,6,degree,Directed,48,,2841
6,436,degree,Directed,49,,25196
436,2,work,Directed,50,,3214
2083,336,birth,Directed,51,,169
336,2,degree,Directed,52,,59
335,440,degree,Directed,53,,10
440,440,degree,Directed,54,,8124
440,638,work,Directed,55,,6003
1358,807,birth,Directed,56,,20077
807,2,degree,Directed,57,,7
641,1172,work,Directed,58,,583
1350,367,birth,Directed,59,,5252
367,2,degree,Directed,60,,210
367,253,degree,Directed,61,,7067
253,6,degree,Directed,62,,2074
3844,2,birth,Directed,63,,1
2,468,degree,Directed,64,,16
468,289,degree,Directed,65,,68
289,468,degree,Directed,66,,136
468,368,degree,Directed,67,,64
1595,2,birth,Directed,68,,4
336,336,degree,Directed,69,,1423
336,336,degree,Directed,70,,1235
336,336,work,Directed,71,,736
2,2,degree,Directed,72,,6
807,2,degree,Directed,73,,221
1547,2,birth,Directed,74,,7
614,2,degree,Directed,75,,280
1414,276,birth,Directed,76,,2917
276,2,degree,Directed,77,,427
