Source,Target,Kind,Type,Id,Label,Weight
5,1,birth,Directed,1,,511
1,5,degree,Directed,2,,4927
5,1,degree,Directed,3,,8290
1,5,work,Directed,4,,4786
7,1,degree,Directed,5,,7125
2,2,degree,Directed,6,,68347
8,8,birth,Directed,7,,18885
8,8,degree,Directed,8,,5876
8,8,work,Directed,9,,12239
7,7,birth,Directed,10,,22037
7,7,degree,Directed,11,,22205
7,7,degree,Directed,12,,23163
7,7,work,Directed,13,,20533
11,14,birth,Directed,14,,757
14,14,degree,Directed,15,,1054
14,14,degree,Directed,16,,2230
14,2,degree,Directed,17,,1547
16,15,birth,Directed,18,,3982
15,7,degree,Directed,19,,1990
15,15,degree,Directed,20,,5226
15,25,work,Directed,21,,4316
1,1,birth,Directed,22,,5083
1,1,degree,Directed,23,,148
1,2,degree,Directed,24,,1626
2,2,degree,Directed,25,,48385
2,1,work,Directed,26,,64945
8,1,degree,Directed,27,,758
1,1,degree,Directed,28,,6139
8,2,degree,Directed,29,,15174
2,2,degree,Directed,30,,3399
2,2,degree,Directed,31,,13648
8,8,degree,Directed,32,,17222
2,1,birth,Directed,33,,50807
5,27,work,Directed,34,,6148
3,3,birth,Directed,35,,19522
3,1,degree,Directed,36,,867
3,2,degree,Directed,37,,16306
2,2,degree,Directed,38,,15763
5,1,birth,Directed,39,,241
5,5,degree,Directed,40,,4390
5,5,degree,Directed,41,,11674
2,1,birth,Directed,42,,605
1,1,degree,Directed,43,,35
1,1,birth,Directed,44,,19
5,5,birth,Directed,45,,10439
3,23,work,Directed,46,,12291
4,1,degree,Directed,47,,836
21,21,birth,Directed,48,,2192
21,1,degree,Directed,49,,784
21,21,degree,Directed,50,,1723
21,21,work,Directed,51,,1501
7,7,degree,Directed,52,,4649
3,1,degree,Directed,53,,5514
10,10,birth,Directed,54,,1044
10,16,degree,Directed,55,,428
16,15,degree,Directed,56,,3959
18,18,birth,Directed,57,,63
18,24,degree,Directed,58,,5146
24,1,degree,Directed,59,,92
1,7,degree,Directed,60,,41
14,14,birth,Directed,61,,3019
6,6,birth,Directed,62,,5617
6,1,degree,Directed,63,,1787
20,1,birth,Directed,64,,1041
3,1,degree,Directed,65,,19213
1,1,degree,Directed,66,,1019
9,9,birth,Directed,67,,1477
9,1,degree,Directed,68,,494
9,3,degree,Directed,69,,359
12,8,birth,Directed,70,,3078
4,1,degree,Directed,71,,3325
12,12,degree,Directed,72,,1291
12,1,degree,Directed,73,,2781
8,1,degree,Directed,74,,2650
2,2,degree,Directed,75,,2646
5,1,degree,Directed,76,,99
1,2,degree,Directed,77,,77
6,1,degree,Directed,78,,3971
22,9,birth,Directed,79,,1264
15,16,degree,Directed,80,,5239
16,1,degree,Directed,81,,3562
10,7,degree,Directed,82,,937
13,13,birth,Directed,83,,2205
13,2,degree,Directed,84,,1433
20,1,degree,Directed,85,,784
10,1,degree,Directed,86,,878
8,1,birth,Directed,87,,412
4,1,degree,Directed,88,,3695
6,1,work,Directed,89,,2775
11,11,degree,Directed,90,,481
11,1,degree,Directed,91,,520
6,1,degree,Directed,92,,3195
2,13,birth,Directed,93,,792
1,1,birth,Directed,94,,103
4,4,birth,Directed,95,,1818
24,24,birth,Directed,96,,219
24,24,degree,Directed,97,,9
24,1,degree,Directed,98,,155
8,5,birth,Directed,99,,75
9,9,degree,Directed,100,,931
23,23,birth,Directed,101,,865
23,1,degree,Directed,102,,670
18,18,degree,Directed,103,,1604
18,15,degree,Directed,104,,4327
15,15,birth,Directed,105,,163
15,15,degree,Directed,106,,5811
27,1,birth,Directed,107,,105
20,20,work,Directed,108,,269
19,7,degree,Directed,109,,415
25,1,degree,Directed,110,,161
12,1,birth,Directed,111,,1608
18,1,degree,Directed,112,,3371
11,11,degree,Directed,113,,1078
26,14,birth,Directed,114,,167
13,1,degree,Directed,115,,797
16,16,degree,Directed,116,,1323
7,1,birth,Directed,117,,599
18,12,work,Directed,118,,2381
15,7,degree,Directed,119,,755
4,7,degree,Directed,120,,570
5,13,birth,Directed,121,,154
10,1,degree,Directed,122,,96
4,1,work,Directed,123,,3331
3,1,degree,Directed,124,,3208
5,5,degree,Directed,125,,1237
7,8,degree,Directed,126,,836
3,1,degree,Directed,127,,87
4,1,degree,Directed,128,,40
8,8,birth,Directed,129,,126
21,1,degree,Directed,130,,2127
23,23,degree,Directed,131,,296
13,7,degree,Directed,132,,529
25,2,birth,Directed,133,,165
2,2,degree,Directed,134,,6125
13,13,degree,Directed,135,,94
8,8,degree,Directed,136,,89
23,23,work,Directed,137,,269
10,2,degree,Directed,138,,60
22,5,degree,Directed,139,,54
19,19,degree,Directed,140,,1182
19,19,degree,Directed,141,,633
17,5,work,Directed,142,,98
7,1,birth,Directed,143,,344
1,7,degree,Directed,144,,32
9,9,work,Directed,145,,143
3,3,birth,Directed,146,,446
7,3,degree,Directed,147,,1061
3,2,degree,Directed,148,,781
16,26,work,Directed,149,,2245
2,2,degree,Directed,150,,361
19,19,birth,Directed,151,,1301
3,2,degree,Directed,152,,218
17,15,degree,Directed,153,,86
17,12,birth,Directed,154,,152
14,14,work,Directed,155,,1035
5,2,degree,Directed,156,,47
12,5,degree,Directed,157,,182
5,2,degree,Directed,158,,439
18,2,degree,Directed,159,,290
15,15,degree,Directed,160,,252
6,6,degree,Directed,161,,248
14,2,degree,Directed,162,,121
16,2,degree,Directed,163,,140
27,10,degree,Directed,164,,37
10,27,work,Directed,165,,574
8,2,degree,Directed,166,,170
2,9,birth,Directed,167,,426
9,9,degree,Directed,168,,33
9,2,degree,Directed,169,,55
20,2,degree,Directed,170,,280
22,2,degree,Directed,171,,389
26,2,degree,Directed,172,,60
13,2,degree,Directed,173,,96
12,12,work,Directed,174,,1168
23,2,birth,Directed,175,,37
18,2,degree,Directed,176,,179
4,2,degree,Directed,177,,54
7,2,degree,Directed,178,,565
16,2,degree,Directed,179,,19
15,2,degree,Directed,180,,69
6,2,birth,Directed,181,,257
15,15,degree,Directed,182,,271
4,2,degree,Directed,183,,80
16,2,degree,Directed,184,,96
22,2,degree,Directed,185,,731
14,14,degree,Directed,186,,100
22,2,degree,Directed,187,,304
24,2,degree,Directed,188,,29
13,13,work,Directed,189,,544
3,3,birth,Directed,190,,104
3,3,degree,Directed,191,,255
7,18,birth,Directed,192,,169
12,13,degree,Directed,193,,112
6,2,degree,Directed,194,,51
18,18,degree,Directed,195,,52
8,8,degree,Directed,196,,796
19,14,work,Directed,197,,296
27,2,birth,Directed,198,,10
4,7,degree,Directed,199,,123
25,8,degree,Directed,200,,8
11,2,degree,Directed,201,,57
19,19,degree,Directed,202,,56
19,7,birth,Directed,203,,41
20,2,degree,Directed,204,,407
16,16,degree,Directed,205,,269
18,18,birth,Directed,206,,149
21,2,degree,Directed,207,,218
6,2,degree,Directed,208,,394
18,2,degree,Directed,209,,446
21,2,degree,Directed,210,,114
17,3,degree,Directed,211,,30
23,2,degree,Directed,212,,365
6,6,birth,Directed,213,,116
14,2,birth,Directed,214,,20
12,2,degree,Directed,215,,134
10,2,degree,Directed,216,,32
23,2,birth,Directed,217,,42
10,5,birth,Directed,218,,5
7,2,degree,Directed,219,,210
6,2,degree,Directed,220,,26
16,2,degree,Directed,221,,8
10,2,birth,Directed,222,,5
14,7,degree,Directed,223,,8
13,13,birth,Directed,224,,64
10,2,birth,Directed,225,,18
13,7,degree,Directed,226,,5
25,6,degree,Directed,227,,71
20,7,birth,Directed,228,,40
13,7,degree,Directed,229,,79
12,7,degree,Directed,230,,12
11,11,work,Directed,231,,207
23,7,degree,Directed,232,,46
13,13,birth,Directed,233,,92
25,7,birth,Directed,234,,1
9,7,birth,Directed,235,,5
14,14,degree,Directed,236,,190
20,5,degree,Directed,237,,40
22,2,degree,Directed,238,,42
25,2,degree,Directed,239,,58
11,22,birth,Directed,240,,10
5,13,birth,Directed,241,,37
26,2,degree,Directed,242,,114
14,7,birth,Directed,243,,33
13,13,degree,Directed,244,,9
12,13,birth,Directed,245,,43
4,18,birth,Directed,246,,16
21,21,birth,Directed,247,,104
25,4,birth,Directed,248,,5
6,2,birth,Directed,249,,12
16,16,birth,Directed,250,,30
6,3,birth,Directed,251,,60
15,3,birth,Directed,252,,28
9,2,degree,Directed,253,,67
25,13,work,Directed,254,,31
23,2,degree,Directed,255,,3
22,22,work,Directed,256,,123
21,21,birth,Directed,257,,66
15,13,birth,Directed,258,,20
21,21,birth,Directed,259,,5
18,18,birth,Directed,260,,16
18,18,degree,Directed,261,,20
11,11,degree,Directed,262,,29
19,5,degree,Directed,263,,43
27,10,degree,Directed,264,,47
23,1,birth,Directed,265,,11
10,3,birth,Directed,266,,4
14,14,degree,Directed,267,,14
4,2,birth,Directed,268,,9
9,2,birth,Directed,269,,3
11,11,degree,Directed,270,,18
26,26,degree,Directed,271,,8
9,9,birth,Directed,272,,37
20,2,degree,Directed,273,,32
4,3,birth,Directed,274,,6
19,5,birth,Directed,275,,5
19,5,birth,Directed,276,,10
26,14,degree,Directed,277,,41
26,26,work,Directed,278,,53
16,16,birth,Directed,279,,11
21,7,birth,Directed,280,,15
20,20,birth,Directed,281,,12
9,9,degree,Directed,282,,7
11,18,birth,Directed,283,,4
11,8,degree,Directed,284,,6
21,21,degree,Directed,285,,7
20,4,degree,Directed,286,,4
12,12,birth,Directed,287,,18
17,17,degree,Directed,288,,15
27,27,work,Directed,289,,13
22,22,birth,Directed,290,,2
10,2,degree,Directed,291,,7
26,2,degree,Directed,292,,3
15,15,degree,Directed,293,,26
26,3,degree,Directed,294,,5
16,3,degree,Directed,295,,25
27,2,degree,Directed,296,,3
21,4,degree,Directed,297,,10
23,2,degree,Directed,298,,1
24,10,work,Directed,299,,12
24,24,birth,Directed,300,,2
24,2,degree,Directed,301,,1
24,1,degree,Directed,302,,2
24,2,birth,Directed,303,,1
14,6,birth,Directed,304,,12
13,13,birth,Directed,305,,2
12,7,birth,Directed,306,,3
9,9,degree,Directed,307,,18
12,5,birth,Directed,308,,3
19,2,degree,Directed,309,,4
26,14,birth,Directed,310,,5
19,8,degree,Directed,311,,4
22,18,degree,Directed,312,,1
22,18,birth,Directed,313,,7
22,22,birth,Directed,314,,12
22,7,degree,Directed,315,,14
22,2,birth,Directed,316,,2
20,16,birth,Directed,317,,4
20,20,birth,Directed,318,,2
20,2,birth,Directed,319,,3
26,26,degree,Directed,320,,7
27,2,birth,Directed,321,,1
27,9,birth,Directed,322,,3
19,8,birth,Directed,323,,4
27,2,degree,Directed,324,,1
11,7,degree,Directed,325,,3
17,12,degree,Directed,326,,1
17,12,degree,Directed,327,,1
17,17,degree,Directed,328,,1
17,12,birth,Directed,329,,1
27,8,degree,Directed,330,,1
25,5,birth,Directed,331,,1
25,2,birth,Directed,332,,3
25,10,degree,Directed,333,,1
26,3,birth,Directed,334,,2
27,27,degree,Directed,335,,2
11,7,birth,Directed,336,,1
25,8,degree,Directed,337,,1
17,4,degree,Directed,338,,1
24,4,degree,Directed,339,,1
