count, freq
9543, 1
4216, 1
3178, 1
1935, 1
1875, 1
1171, 1
1046, 1
1031, 1
932, 1
687, 1
659, 1
609, 1
536, 1
372, 1
356, 1
326, 1
17, 1
271, 1
233, 1
221, 1
21, 1
219, 1
214, 1
94, 1
181, 1
164, 1
27, 1
150, 1
29, 1
143, 1
32, 1
110, 1
34, 1
101, 1
39, 1
43, 1
100, 1
45, 1
47, 1
49, 1
52, 1
98, 1
54, 1
55, 1
57, 1
65, 1
97, 1
67, 1
68, 1
74, 1
75, 1
79, 1
82, 1
191, 1
66, 2
53, 2
44, 2
37, 2
33, 2
30, 2
25, 2
28, 2
26, 3
24, 3
23, 3
22, 5
19, 5
16, 5
18, 6
20, 6
11, 6
14, 7
15, 8
12, 8
13, 9
10, 9
8, 9
9, 11
3, 13
5, 16
6, 16
7, 16
1, 18
4, 19
2, 26
