count, freq
43853, 1
18799, 1
14459, 1
10485, 1
10036, 1
6, 1
7, 1
8, 1
7079, 1
5386, 1
5018, 1
4587, 1
4574, 1
3915, 1
3288, 1
3166, 1
2563, 1
2516, 1
2321, 1
1751, 1
1652, 1
1596, 1
1532, 1
1198, 1
1191, 1
1187, 1
1155, 1
1120, 1
998, 1
994, 1
962, 1
941, 1
777, 1
732, 1
688, 1
659, 1
625, 1
607, 1
567, 1
497, 1
488, 1
469, 1
418, 1
142, 1
301, 1
276, 1
271, 1
254, 1
252, 1
51, 1
53, 1
249, 1
239, 1
56, 1
57, 1
228, 1
60, 1
61, 1
62, 1
63, 1
226, 1
221, 1
66, 1
206, 1
68, 1
201, 1
192, 1
71, 1
72, 1
74, 1
191, 1
76, 1
77, 1
186, 1
183, 1
80, 1
182, 1
84, 1
86, 1
87, 1
90, 1
94, 1
95, 1
175, 1
101, 1
104, 1
105, 1
106, 1
170, 1
159, 1
115, 1
117, 1
127, 1
156, 1
322, 1
144, 2
148, 2
137, 2
110, 2
21, 2
5, 2
81, 2
4, 2
32, 2
75, 2
70, 2
33, 2
67, 2
3, 2
64, 2
59, 2
55, 2
2, 2
50, 2
38, 2
39, 2
42, 2
45, 2
46, 3
109, 3
43, 3
20, 3
40, 3
12, 3
10, 3
37, 3
98, 3
65, 3
79, 3
78, 3
69, 4
34, 4
54, 4
29, 4
49, 4
11, 4
48, 4
25, 4
13, 4
17, 4
47, 4
44, 4
19, 4
27, 5
24, 5
26, 5
15, 5
9, 5
30, 6
18, 6
22, 7
14, 7
36, 7
16, 7
31, 7
28, 8
35, 8
23, 9
1, 18
