cities, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014
brasilia, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 3, 3, 0, 4, 2, 1, 3, 4, 9, 7, 13, 11, 16, 23, 27, 21, 18, 18, 28, 30, 47, 44, 47, 85, 73, 92, 95, 118, 116, 162, 142, 222, 227, 240, 226, 264, 226, 222, 233, 239, 239, 155, 65, 15, 7, 3, 0
guarulhos, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 1, 1, 0, 0, 3, 3, 3, 2, 3, 8, 4, 6, 4, 10, 11, 16, 24, 19, 28, 23, 29, 33, 37, 37, 55, 48, 42, 52, 58, 69, 78, 101, 74, 107, 120, 139, 148, 156, 169, 190, 188, 221, 226, 243, 230, 260, 216, 207, 202, 142, 145, 126, 69, 30, 29, 16, 5
recife, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 2, 0, 1, 2, 1, 2, 1, 1, 1, 2, 0, 1, 3, 1, 3, 2, 4, 12, 16, 11, 18, 15, 14, 17, 16, 19, 19, 25, 31, 27, 31, 36, 49, 52, 54, 70, 73, 96, 117, 135, 168, 160, 193, 263, 228, 268, 278, 265, 256, 310, 316, 331, 275, 201, 21, 1, 4, 1
florianopolis, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 5, 7, 11, 16, 7, 15, 28, 34, 33, 35, 33, 34, 40, 40, 61, 69, 65, 75, 102, 108, 127, 153, 172, 244, 295, 286, 343, 344, 335, 317, 320, 229, 267, 233, 235, 233, 194, 131, 19, 7, 1, 1
curitiba, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 3, 1, 0, 3, 3, 2, 2, 2, 1, 2, 10, 2, 4, 13, 16, 13, 23, 20, 33, 32, 38, 41, 37, 49, 57, 33, 45, 62, 72, 63, 102, 108, 109, 131, 141, 198, 165, 205, 215, 276, 257, 299, 275, 275, 257, 294, 285, 234, 243, 151, 28, 5, 5, 2
belo horizonte, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 2, 4, 3, 4, 3, 3, 6, 8, 7, 6, 6, 4, 13, 8, 10, 11, 10, 14, 18, 18, 28, 25, 34, 32, 34, 43, 40, 37, 34, 61, 60, 58, 77, 76, 80, 100, 105, 124, 178, 173, 169, 225, 216, 270, 275, 364, 371, 423, 410, 466, 414, 428, 419, 379, 328, 204, 29, 6, 5, 1
bauru, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 2, 6, 6, 6, 6, 4, 6, 8, 7, 5, 8, 15, 23, 17, 22, 28, 29, 55, 51, 61, 67, 70, 72, 78, 79, 85, 94, 129, 163, 185, 208, 243, 283, 334, 396, 417, 460, 505, 526, 548, 634, 642, 552, 612, 507, 515, 527, 491, 346, 107, 28, 23, 5
porto alegre, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 2, 2, 3, 4, 2, 3, 3, 3, 6, 1, 3, 9, 6, 13, 10, 13, 15, 26, 38, 46, 59, 37, 59, 74, 57, 52, 57, 73, 56, 68, 79, 102, 101, 153, 210, 202, 256, 284, 263, 381, 426, 443, 501, 577, 497, 572, 585, 554, 594, 535, 534, 505, 403, 288, 65, 14, 5, 6
campinas, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 3, 3, 5, 4, 9, 8, 8, 5, 13, 19, 24, 16, 26, 26, 58, 77, 65, 91, 108, 112, 128, 115, 150, 160, 133, 140, 154, 194, 198, 249, 265, 309, 392, 389, 445, 556, 551, 625, 621, 670, 743, 694, 780, 769, 656, 698, 638, 596, 503, 459, 281, 91, 55, 37, 29
rio de janeiro, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 4, 0, 2, 0, 1, 2, 2, 3, 1, 3, 4, 5, 8, 9, 8, 8, 13, 11, 10, 23, 28, 39, 37, 67, 87, 81, 114, 140, 170, 180, 198, 215, 195, 234, 227, 200, 230, 252, 236, 314, 320, 404, 425, 522, 495, 548, 619, 712, 721, 765, 784, 853, 853, 959, 930, 928, 880, 826, 774, 695, 597, 310, 38, 17, 9, 2
