id16, interval
6818012426145688, 15
0450937354034775, 34
0302981361534562, 2
2555294335095155, 5
7747923041329769, 17
2119662521692365, 6
9710472636673874, 5
3624154507372773, 26
4606889672534664, 24
8985849673523090, 1
3321266808946310, 10
8388799867127807, 14
3797888840766030, 21
3043201410419314, 3
2751462488379930, 3
2828871234344046, 2
2405551882781242, 14
2806589103606161, 21
6691112804102021, 11
3295763152839405, 22
3665345698330254, 0
4585381644363428, 0
2163810633188295, 8
4559437923474196, 17
5407786629089285, 33
6468971114914144, 9
9646476961134419, 7
2867391670971129, 1
9135200418009901, 3
3832279972927604, 17
9805416393273370, 22
1805292147417542, 0
8680496596861211, 10
7688192965924192, 20
1586141465559053, 0
9585893566544311, 29
0074635977876607, 24
4746842392238066, 9
3842626857233324, 16
4666402972078090, 14
2292454946814918, 10
6269936693101874, 15
6310924501646771, 9
2781472943213601, 18
5903456476036204, 18
2100304138710903, 36
5517912617374606, 16
2628902577379302, 0
6147271842111885, 16
1663917730062027, 6
2990716660409944, 1
6132617282976956, 12
4922849102516924, 2
5053583363783911, 8
1251321669157799, 10
5147529830646875, 6
4387065706686402, 27
0089315116196699, 4
4682554916795339, 4
3100285861146016, 14
0280135205568933, 18
9188130548410891, 2
3432266972877767, 13
8031377932900248, 7
8404169310653608, 4
2759073114468670, 3
4595037205518680, 10
9467821670419268, 8
4786154799567952, 0
1859810558116994, 4
7737931281360346, 6
8283960985370963, 5
5522005516429477, 9
0387311150154137, 6
4660096671465440, 20
0517271370281077, 3
1710286275396858, 3
1310558353123248, 6
4425351558346267, 7
4452075001099749, 2
1784440856686775, 14
1959408290546217, 3
2421173353026928, 2
1461760661483683, 8
4971426791731447, 10
1305995640333184, 7
9031045464982359, 18
3521561406196708, 9
7904226507416854, 2
7650133825493813, 14
6523332944786091, 18
3329660012868284, 9
1077362550371894, 28
9513144319502175, 3
5636463588776882, 7
2264339426864911, 11
5335420723422886, 11
3357183778393577, 2
3448573486746375, 23
1112255828947803, 13
0430023943323514, 19
3312404055951646, 3
9036475583820785, 3
5604521988646530, 9
6547242744539516, 5
6972138085174061, 12
2552169797057771, 4
7091015636092740, 16
9297030914268422, 31
6558952854074161, 6
0353427975505269, 15
2075613027021316, 22
8664385553515842, 4
8458068848632264, 10
0906514664308419, 6
3021078142448985, 6
5076400278943852, 8
7330718549438983, 7
2043932840117404, 4
2521360919711933, 22
3543012935264915, 7
8310606506676864, 11
5065825404254468, 7
2801631081043270, 20
2288812525295539, 14
3730900467462135, 8
2591610193764316, 2
9663104101654271, 6
0551336831444331, 2
8989595630634649, 21
2657244545865489, 12
0827893111042699, 3
1663365456539673, 10
4863717134696267, 2
7701960485077847, 6
2524865886401407, 12
7892624947815729, 13
6081257351546047, 1
7717325077742830, 4
4631002692184169, 5
4225620220405550, 12
2403390115972345, 5
2306447475032931, 2
0964367025411471, 9
3506350682772437, 35
6123626106261958, 2
1084654549585482, 9
3710175622596413, 18
0673762374815993, 18
7694038830640167, 2
0427103667687577, 9
3362896209791577, 7
0020409799134790, 7
1084484827934141, 21
1901170463141361, 2
