Source,Target,Kind,Type,Id,Label,Weight
1,5,degree,Directed,1,,19
2,5,degree,Directed,2,,128
4,5,degree,Directed,3,,1
3,5,degree,Directed,4,,13
11,5,degree,Directed,5,,7
5,5,degree,Directed,6,,1056
12,5,degree,Directed,7,,53
8,5,degree,Directed,8,,22
7,5,degree,Directed,9,,14
6,5,degree,Directed,10,,42
9,5,degree,Directed,11,,31
10,5,degree,Directed,12,,25
13,5,degree,Directed,13,,9
14,5,degree,Directed,14,,2
15,5,degree,Directed,15,,3
16,5,degree,Directed,16,,26
17,5,degree,Directed,17,,9
18,5,degree,Directed,18,,7
19,5,degree,Directed,19,,15
20,5,degree,Directed,20,,5
21,5,degree,Directed,21,,9
23,5,degree,Directed,22,,3
5,27,degree,Directed,23,,1
25,5,degree,Directed,24,,9
26,24,degree,Directed,25,,1
29,5,degree,Directed,26,,1
30,5,degree,Directed,27,,9
31,5,degree,Directed,28,,3
33,5,degree,Directed,29,,3
5,35,degree,Directed,30,,2
36,5,degree,Directed,31,,1
34,5,degree,Directed,32,,6
32,5,degree,Directed,33,,1
37,5,degree,Directed,34,,2
38,5,degree,Directed,35,,2
39,5,degree,Directed,36,,3
40,5,degree,Directed,37,,2
2,42,degree,Directed,38,,1
41,5,degree,Directed,39,,1
12,12,degree,Directed,40,,2
43,5,degree,Directed,41,,1
5,9,degree,Directed,42,,1
44,5,degree,Directed,43,,2
5,45,degree,Directed,44,,1
46,5,degree,Directed,45,,5
47,5,degree,Directed,46,,1
48,5,degree,Directed,47,,1
5,12,degree,Directed,48,,1
49,5,degree,Directed,49,,1
50,5,degree,Directed,50,,1
51,5,degree,Directed,51,,1
52,5,degree,Directed,52,,4
5,53,degree,Directed,53,,1
55,5,degree,Directed,54,,1
54,5,degree,Directed,55,,1
56,5,degree,Directed,56,,3
5,51,degree,Directed,57,,1
57,5,degree,Directed,58,,1
58,5,degree,Directed,59,,1
59,5,degree,Directed,60,,1
6,6,degree,Directed,61,,1
60,5,degree,Directed,62,,1
