Source,Target,Kind,Type,Id,Label,Weight
1,9,degree,Directed,1,,21
2,9,degree,Directed,2,,61
3,9,degree,Directed,3,,35
4,9,degree,Directed,4,,10
5,9,degree,Directed,5,,16
6,9,degree,Directed,6,,40
7,9,degree,Directed,7,,16
8,9,degree,Directed,8,,7
14,9,degree,Directed,9,,89
9,9,degree,Directed,10,,167
13,9,degree,Directed,11,,218
16,9,degree,Directed,12,,5
27,9,degree,Directed,13,,1
17,9,degree,Directed,14,,33
10,9,degree,Directed,15,,27
24,9,degree,Directed,16,,12
23,9,degree,Directed,17,,1
18,9,degree,Directed,18,,43
28,9,degree,Directed,19,,1
25,9,degree,Directed,20,,3
19,9,degree,Directed,21,,2
20,9,degree,Directed,22,,4
26,9,degree,Directed,23,,35
21,9,degree,Directed,24,,3
22,9,degree,Directed,25,,11
15,9,degree,Directed,26,,13
11,9,degree,Directed,27,,4
29,9,degree,Directed,28,,1
30,9,degree,Directed,29,,1
31,9,degree,Directed,30,,16
32,9,degree,Directed,31,,19
35,9,degree,Directed,32,,3
33,9,degree,Directed,33,,4
36,9,degree,Directed,34,,9
7,41,degree,Directed,35,,1
40,9,degree,Directed,36,,1
13,13,degree,Directed,37,,2
37,9,degree,Directed,38,,4
38,9,degree,Directed,39,,5
43,9,degree,Directed,40,,1
18,45,degree,Directed,41,,1
42,9,degree,Directed,42,,7
13,26,degree,Directed,43,,1
48,9,degree,Directed,44,,1
46,9,degree,Directed,45,,1
47,9,degree,Directed,46,,1
13,14,degree,Directed,47,,1
49,9,degree,Directed,48,,5
50,9,degree,Directed,49,,7
51,9,degree,Directed,50,,1
54,9,degree,Directed,51,,2
53,9,degree,Directed,52,,1
55,9,degree,Directed,53,,1
56,9,degree,Directed,54,,4
57,9,degree,Directed,55,,1
43,43,degree,Directed,56,,1
58,9,degree,Directed,57,,3
60,9,degree,Directed,58,,1
59,59,degree,Directed,59,,1
61,9,degree,Directed,60,,2
63,9,degree,Directed,61,,1
12,9,degree,Directed,62,,1
62,9,degree,Directed,63,,1
64,9,degree,Directed,64,,1
67,9,degree,Directed,65,,1
65,9,degree,Directed,66,,2
66,9,degree,Directed,67,,1
68,9,degree,Directed,68,,1
69,9,degree,Directed,69,,1
1,72,degree,Directed,70,,1
70,9,degree,Directed,71,,1
73,9,degree,Directed,72,,1
75,74,degree,Directed,73,,1
71,9,degree,Directed,74,,1
76,9,degree,Directed,75,,2
78,9,degree,Directed,76,,1
77,9,degree,Directed,77,,1
80,9,degree,Directed,78,,1
81,9,degree,Directed,79,,1
45,45,degree,Directed,80,,1
82,9,degree,Directed,81,,1
83,9,degree,Directed,82,,1
79,9,degree,Directed,83,,1
85,9,degree,Directed,84,,1
