Source,Target,Kind,Type,Id,Label,Weight
55,13,birth,Directed,1,,5
13,50,degree,Directed,2,,1
50,13,degree,Directed,3,,1
13,13,degree,Directed,4,,2678
13,74,work,Directed,5,,4
32,32,birth,Directed,6,,13
32,18,degree,Directed,7,,3
18,13,degree,Directed,8,,102
315,1,birth,Directed,9,,1
1,13,degree,Directed,10,,5
13,3,degree,Directed,11,,19
3,43,work,Directed,12,,2
106,9,birth,Directed,13,,1
9,1,degree,Directed,14,,1
1,13,degree,Directed,15,,21
13,13,birth,Directed,16,,1352
13,13,degree,Directed,17,,1837
13,1,degree,Directed,18,,7
1,13,work,Directed,19,,3
390,13,birth,Directed,20,,1
13,13,degree,Directed,21,,43
13,2,degree,Directed,22,,17
2,13,degree,Directed,23,,70
13,13,degree,Directed,24,,288
13,13,work,Directed,25,,1516
24,24,birth,Directed,26,,55
24,24,degree,Directed,27,,24
24,13,degree,Directed,28,,59
13,24,work,Directed,29,,91
2,2,birth,Directed,30,,13
2,13,degree,Directed,31,,41
13,81,work,Directed,32,,54
141,2,birth,Directed,33,,1
2,9,degree,Directed,34,,2
9,13,degree,Directed,35,,43
13,51,degree,Directed,36,,1
51,3,work,Directed,37,,1
524,2,birth,Directed,38,,1
2,2,degree,Directed,39,,14
13,2,birth,Directed,40,,2
115,5,birth,Directed,41,,1
5,2,degree,Directed,42,,3
13,43,work,Directed,43,,110
43,13,birth,Directed,44,,12
13,13,degree,Directed,45,,467
508,13,birth,Directed,46,,1
75,3,birth,Directed,47,,1
3,13,degree,Directed,48,,33
13,2,degree,Directed,49,,22
18,18,birth,Directed,50,,99
2,2,work,Directed,51,,4
104,43,birth,Directed,52,,1
43,56,degree,Directed,53,,1
56,13,degree,Directed,54,,3
229,24,birth,Directed,55,,3
24,3,degree,Directed,56,,1
3,3,birth,Directed,57,,10
3,4,degree,Directed,58,,4
4,13,degree,Directed,59,,10
13,3,degree,Directed,60,,10
3,13,degree,Directed,61,,37
124,13,birth,Directed,62,,1
13,3,degree,Directed,63,,18
3,22,degree,Directed,64,,2
22,13,degree,Directed,65,,5
3,54,birth,Directed,66,,1
54,3,degree,Directed,67,,1
3,7,birth,Directed,68,,1
7,3,degree,Directed,69,,1
4,3,birth,Directed,70,,1
3,3,birth,Directed,71,,4
19,19,birth,Directed,72,,1
19,19,degree,Directed,73,,2
19,19,degree,Directed,74,,79
19,13,degree,Directed,75,,55
3,25,work,Directed,76,,1
78,13,birth,Directed,77,,1
13,6,degree,Directed,78,,6
6,6,work,Directed,79,,3
315,7,birth,Directed,80,,1
7,7,degree,Directed,81,,1
7,13,degree,Directed,82,,17
18,7,degree,Directed,83,,4
495,13,birth,Directed,84,,1
