Id;Label;rank;Modularity Class;City;State;Country;Latitude;Longitude;In-Degree;Out-Degree;Degree;Weighted Degree;Weighted In-Degree;Weighted Out-Degree
678;university of florida;23;instituition;gainesville;florida;united states;2.965.163;-8.232.483;73;0;73;447.0;447.0;0.0
517;universite pierre et marie curie;314;instituition;paris;Ã®le-de-france;france;4.885.341;23.488;36;0;36;247.0;247.0;0.0
803;university of oxford;16;instituition;oxford;england;united kingdom;5.175.222;-125.596;36;0;36;278.0;278.0;0.0
640;university of toronto;17;instituition;toronto;ontario;canada;4.370.011;-794.163;33;0;33;209.0;209.0;0.0
354;harvard university;1;instituition;cambridge;massachusetts;united states;423.751;-7.110.561;33;0;33;299.0;299.0;0.0
677;university of nottingham;112;instituition;nottingham;england;united kingdom;529.536;-115.047;30;0;30;84.0;84.0;0.0
787;university of reading;404;instituition;reading;england;united kingdom;5.145.625;-0.97113;30;0;30;114.0;114.0;0.0
13;cornell university;5;instituition;ithaca;new york;united states;4.244.063;-7.649.661;30;0;30;230.0;230.0;0.0
543;stanford university;3;instituition;palo alto;california;united states;3.744.188;-12.214.302;30;0;30;255.0;255.0;0.0
732;university of michigan;6;instituition;ann arbor;michigan;united states;4.227.756;-8.374.088;30;0;30;167.0;167.0;0.0
796;university of georgia;67;instituition;athens;georgia;united states;3.396.095;-8.337.794;30;0;30;123.0;123.0;0.0
869;university of british columbia;21;instituition;vancouver;british columbia;canada;4.924.966;-12.311.934;28;0;28;136.0;136.0;0.0
554;universite paris sud 11;413;instituition;chatenay malabry;Ã®le-de-france;france;4.876.507;226.655;28;0;28;131.0;131.0;0.0
480;university of california;13;instituition;riverside;california;united states;3.395.335;-11.739.616;28;0;28;116.0;116.0;0.0
802;university of california system;13;instituition;santa cruz;california;united states;3.697.412;-1.220.308;28;0;28;146.0;146.0;0.0
817;michigan state university;35;instituition;east lansing;michigan;united states;4.273.698;-8.448.387;28;0;28;187.0;187.0;0.0
834;university of illinois system;20;instituition;skokie;illinois;united states;4.203.336;-8.773.339;28;0;28;100.0;100.0;0.0
611;university of california davis;48;instituition;davis;california;united states;3.854.491;-12.174.052;27;0;27;112.0;112.0;0.0
890;purdue university;19;instituition;west lafayette;indiana;united states;4.042.587;-8.690.807;27;0;27;195.0;195.0;0.0
937;university of arizona;29;instituition;tucson;arizona;united states;3.222.174;-11.092.648;27;0;27;120.0;120.0;0.0
687;university of wisconsin madison;11;instituition;madison;wisconsin;united states;4.307.305;-8.940.123;26;0;26;243.0;243.0;0.0
612;universidad de chile;152;instituition;valparaiso;valparaÃ_so;chile;-3.303.932;-7.162.725;25;0;25;41.0;41.0;0.0
883;university of miami;159;instituition;coral gables;florida;united states;2.572.149;-8.026.838;25;0;25;76.0;76.0;0.0
668;boston university;91;instituition;boston;massachusetts;united states;4.235.843;-7.105.977;24;0;24;118.0;118.0;0.0
1067;university of guelph;333;instituition;guelph;ontario;canada;4.354.594;-8.025.599;23;0;23;71.0;71.0;0.0
632;wageningen university;602;instituition;wageningen;gelderland;netherlands;51.97;566.667;23;0;23;62.0;62.0;0.0
836;university of manchester institute of science and technology;148;instituition;manchester;england;united kingdom;5.348.095;-223.743;23;0;23;57.0;57.0;0.0
493;yale university;14;instituition;new haven;connecticut;united states;4.130.815;-7.292.816;22;0;22;117.0;117.0;0.0
743;university of california san diego;33;instituition;la jolla;california;united states;3.284.727;-1.172.742;22;0;22;102.0;102.0;0.0
791;indiana university;63;instituition;bloomington;indiana;united states;3.916.533;-8.652.639;22;0;22;100.0;100.0;0.0
991;florida state university;105;instituition;tallahassee;florida;united states;3.043.826;-8.428.073;22;0;22;46.0;46.0;0.0
715;university of alberta;64;instituition;edmonton;alberta;canada;5.355.014;-11.346.871;20;0;20;107.0;107.0;0.0
865;brown university;138;instituition;providence;rhode island;united states;4.182.399;-7.141.283;20;0;20;84.0;84.0;0.0
916;university of texas system;12;instituition;austin;texas;united states;3.026.715;-9.774.306;20;0;20;65.0;65.0;0.0
1039;lancaster university;1033;instituition;lancaster;england;united kingdom;5.404.649;-279.988;19;0;19;60.0;60.0;0.0
941;technische universitat munchen;76;instituition;garching bei munchen;bavaria;germany;4.824.896;1.165.101;18;0;18;53.0;53.0;0.0
878;iowa state university;66;instituition;ames;iowa;united states;4.203.471;-9.361.994;18;0;18;77.0;77.0;0.0
905;delft university of technology;95;instituition;delft;south holland;netherlands;5.200.667;435.556;17;0;17;36.0;36.0;0.0
602;state university of new york;36;instituition;albany;new york;united states;4.265.258;-7.375.623;17;0;17;55.0;55.0;0.0
716;tulane university;458;instituition;new orleans;louisiana;united states;2.995.465;-9.007.507;17;0;17;30.0;30.0;0.0
954;oklahoma state university;232;instituition;stillwater;oklahoma;united states;3.611.561;-9.705.837;17;0;17;42.0;42.0;0.0
957;georgia institute of technology;53;instituition;atlanta;georgia;united states;33.749;-8.438.798;17;0;17;54.0;54.0;0.0
998;universidade do algarve;1281;instituition;faro;faro;portugal;3.701.937;-793.223;16;0;16;34.0;34.0;0.0
7913;the university of new mexico;133;instituition;albuquerque;new mexico;united states;3.508.449;-10.665.114;16;0;16;35.0;35.0;0.0
358;university of tokyo;60;instituition;tokyo;tÅçkyÅç;japan;356.895;13.969.171;15;0;15;36.0;36.0;0.0
688;university of rochester;79;instituition;rochester;new york;united states;4.315.478;-7.761.556;15;0;15;48.0;48.0;0.0
948;oregon state university;100;instituition;corvallis;oregon;united states;4.456.457;-12.326.204;15;0;15;37.0;37.0;0.0
1020;mississippi state university;515;instituition;starkville;mississippi;united states;3.345.049;-8.881.961;15;0;15;47.0;47.0;0.0
1033;colorado state university;71;instituition;fort collins;colorado;united states;4.058.526;-10.508.442;15;0;15;54.0;54.0;0.0
1148;kansas state university;158;instituition;manhattan;kansas;united states;3.918.361;-9.657.167;15;0;15;32.0;32.0;0.0
696;university of illinois at chicago;162;instituition;chicago;illinois;united states;4.185.003;-8.765.005;14;0;14;45.0;45.0;0.0
544;pontificia universidad catolica de chile;549;instituition;santiago;santiago;chile;-3.345.694;-7.064.827;13;0;13;24.0;24.0;0.0
1122;institut national polytechnique de grenoble;1130;instituition;grenoble;rhÃ´ne-alpes;france;4.516.667;571.667;13;0;13;54.0;54.0;0.0
1048;leiden university;197;instituition;leiden;south holland;netherlands;5.215.833;449.306;13;0;13;33.0;33.0;0.0
7935;uppsala universitet;166;instituition;uppsala;uppsala;sweden;5.985.882;1.763.889;13;0;13;31.0;31.0;0.0
1088;university of kent;465;instituition;canterbury;england;united kingdom;5.127.904;107.992;13;0;13;47.0;47.0;0.0
857;carnegie mellon university;40;instituition;pittsburgh;pennsylvania;united states;4.044.062;-7.999.589;12;0;12;66.0;66.0;0.0
257;universidad de la republica uruguay;3620;instituition;montevideo;montevideo;uruguay;-3.490.328;-5.618.816;9;0;9;12.0;12.0;0.0
879;universidad de concepcion;11658;instituition;concepcion;biobÃ_o;chile;-3.682.699;-7.304.977;8;0;8;13.0;13.0;0.0
5652;lezhe;;city;lezhe;lezhÃ«;albania;4.178.361;1.964.361;0;0;0;0.0;0.0;0.0
6245;tirana;;city;tirana;tiranÃ«;albania;413.275;1.981.889;0;0;0;0.0;0.0;0.0
2650;mansoura;;city;mansoura;tlemcen;algeria;3.486.158;-133.935;0;0;0;0.0;0.0;0.0
5204;annaba;;city;annaba;annaba;algeria;36.9;776.667;0;0;0;0.0;0.0;0.0
5232;bejaia;;city;bejaia;bejaÃ¯a;algeria;3.675.587;508.433;0;0;0;0.0;0.0;0.0
5439;sidi bel abbes;;city;sidi bel abbes;sidi bel abbÃ¨s;algeria;3.518.994;-0.63085;0;0;0;0.0;0.0;0.0
6025;kolea;;city;kolea;tipaza;algeria;3.663.888;276.845;0;0;0;0.0;0.0;0.0
6029;tlemcen;;city;tlemcen;tlemcen;algeria;3.487.833;-1.315;0;0;0;0.0;0.0;0.0
6250;el kseur;;city;el kseur;bejaÃ¯a;algeria;3.667.942;48.555;0;0;0;0.0;0.0;0.0
6336;constantine;;city;constantine;constantine;algeria;36.365;661.472;0;0;0;0.0;0.0;0.0
6764;batna;;city;batna;batna;algeria;3.555.597;617.414;0;0;0;0.0;0.0;0.0
7203;el attaf;;city;el attaf;aÃ¯n defla;algeria;3.622.393;167.187;0;0;0;0.0;0.0;0.0
7622;mansourah;;city;mansourah;bordj bou arrÃ©ridj;algeria;3.608.725;445.192;0;0;0;0.0;0.0;0.0
7635;mostaganem;;city;mostaganem;mostaganem;algeria;3.593.115;0.08918;0;0;0;0.0;0.0;0.0
7692;algiers;;city;algiers;alger;algeria;367.525;304.197;0;0;0;0.0;0.0;0.0
7792;blida;;city;blida;blida;algeria;3.647.004;28.277;0;0;0;0.0;0.0;0.0
7809;tizi ouzou;;city;tizi ouzou;tizi ouzou;algeria;3.671.182;404.591;0;0;0;0.0;0.0;0.0
2396;luanda;;city;luanda;luanda;angola;-883.682;1.323.432;0;0;0;0.0;0.0;0.0
2530;huambo;;city;huambo;huambo;angola;-1.277.611;1.573.917;0;0;0;0.0;0.0;0.0
3068;cabinda;;city;cabinda;cabinda;angola;-5.55;12.2;0;0;0;0.0;0.0;0.0
3465;lobito;;city;lobito;benguela;angola;-123.644;1.353.601;0;0;0;0.0;0.0;0.0
4014;benguela;;city;benguela;benguela;angola;-1.257.626;1.340.547;0;0;0;0.0;0.0;0.0
4569;lubango;;city;lubango;huÃ_la;angola;-1.491.717;134.925;0;0;0;0.0;0.0;0.0
6526;uige;;city;uige;uÃ_ge;angola;-760.874;1.506.131;0;0;0;0.0;0.0;0.0
7129;nzeto;;city;nzeto;zaire;angola;-723.116;128.666;0;0;0;0.0;0.0;0.0
7271;luena;;city;luena;moxico;angola;-1.178.333;1.991.667;0;0;0;0.0;0.0;0.0
7365;malanje;;city;malanje;malanje;angola;-954.015;1.634.096;0;0;0;0.0;0.0;0.0
7544;n dalatando;;city;n dalatando;cuanza norte;angola;-929.782;1.491.162;0;0;0;0.0;0.0;0.0
7829;caala;;city;caala;huambo;angola;-128.525;1.556.056;0;0;0;0.0;0.0;0.0
561;universidad nacional de la plata;;instituition;la plata;buenos aires;argentina;-3.492.145;-5.795.453;0;0;0;0.0;0.0;0.0
562;universidad nacional de rosario;;instituition;santa fe de la vera cruz;santa fe;argentina;-3.163.333;-60.7;0;0;0;0.0;0.0;0.0
563;universidad nacional del litoral;;instituition;santa fe de la vera cruz;santa fe;argentina;-3.163.333;-60.7;0;0;0;0.0;0.0;0.0
580;universidad de buenos aires;;instituition;buenos aires;buenos aires f.d.;argentina;-3.461.315;-5.837.723;0;0;0;0.0;0.0;0.0
581;universidade de buenos aires;;instituition;buenos aires;buenos aires f.d.;argentina;-3.461.315;-5.837.723;0;0;0;0.0;0.0;0.0
