rank;value;place
401-410;Université Claude Bernard Lyon 1
401-410;Middle East Technical University
401-410;Institut National des Sciences Appliquées de Lyon (INSA)
401-410;Instituto Tecnológico de Buenos Aires (ITBA)
401-410;La Trobe University
401-410;National Central University
401-410;Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA
401-410;University of Connecticut
401-410;University of Tasmania
401-410;University of Waikato
411-420;National Taiwan Normal University
411-420;Karl-Franzens-Universität Graz
411-420;University of Trento
411-420;Czech Technical University In Prague
411-420;Lincoln University 
411-420;Moscow Institute of Physics and Technology State University
411-420;Universität Düsseldorf
411-420;Université Montpellier 2 Sciences et Techniques
421-430;University of Delhi
421-430;York University
421-430;UNESP
421-430;Leibniz Universität Hannover
421-430;Taras Shevchenko National University of Kyiv
421-430;Tulane University
421-430;Universidad de San Andrés - UdeSA
421-430;Universitat Politècnica de València
421-430;Universidade Federal de São Paulo (UNIFESP)
421-430;University of St.Gallen (HSG)
431-440;National Sun Yat-sen University
431-440;Pusan National University
431-440;American University
431-440;Birkbeck, University of London
431-440;Chang Gung University
431-440;Illinois Institute of Technology
431-440;The University of Georgia
431-440;University of Delaware
431-440;University of Guelph
431-440;The University of Tennessee, Knoxville
441-450;Université Paul Sabatier Toulouse III
441-450;Xiamen University
441-450;Abo Akademi University
441-450;Chung-Ang University(CAU)
441-450;Colorado State University
441-450;Khalifa University
441-450;National Technical University of Athens
441-450;Tokyo Metropolitan University
441-450;Universität des Saarlandes
441-450;Université de Sherbrooke
451-460;Universidad Nacional de La Plata
451-460;Universidad de Santiago de Chile - USACH
451-460;Universidade Federal de Minas Gerais 
451-460;Beihang University (former BUAA)
451-460;Florida State University
451-460;Oregon State University
451-460;University of Crete
451-460;University of Kent
451-460;University of Missouri, Columbia (Mizzou)
451-460;University of Oklahoma
461-470;Bandung Institute of Technology (ITB)
461-470;University of Granada
461-470;Aristotle University of Thessaloniki
461-470;Ateneo de Manila University
461-470;Concordia University
461-470;Indian Institute of Technology Roorkee (IITR)
461-470;Koc University 
461-470;Renmin (People’s) University of China
461-470;Swansea University
461-470;Universidad de Belgrano
471-480;City University of New York
471-480;Universidade Federal do Rio Grande Do Sul
471-480;University of Pretoria
471-480;Universidad Católica Andrés Bello - UCAB
471-480;Bangor University
471-480;Bond University
471-480;Peoples' Friendship University of Russia
471-480;Sabanci University
471-480;University of Siena
471-480;University of Cincinnati Carl H. Lindner College of Business
481-490;University of Salamanca
481-490;Universidad de Costa Rica
481-490;Flinders University
481-490;Hankuk (Korea) University of Foreign Studies 
481-490;Harbin Institute of Technology
481-490;Huazhong University of Science and Technology
481-490;National Research Nuclear University MEPhI (Moscow Engineering Physics Institute)
481-490;National University of Sciences And Technology (NUST) Islamabad
481-490;St. Petersburg State Polytechnical University
481-490;Universität Bayreuth
481-490;Université Lille 1, Sciences et Technologie
481-490;University of Saskatchewan
481-490;University of South Florida
481-490;University of Vermont
481-490;V. N. Karazin Kharkiv National University
491-500;Belarus State University
491-500;Chiba University
491-500;National and Kapodistrian University of Athens
491-500;Philipps-Universität Marburg 
491-500;Technische Universität Dortmund
491-500;Tomsk State University
501-550;Universidad Nacional de Córdoba
501-550;Pontificia Universidad Católica del Perú
501-550;University of Lisbon 
501-550;Universidad de Sevilla
501-550;Universidad de Antioquia
501-550;Pontifícia Universidade Católica do Rio de Janeiro
501-550;Universitat de Valencia
501-550;Chiang Mai University
501-550;Universität Bielefeld
501-550;Université du Québec
501-550;Al-Imam Mohamed Ibn Saud Islamic University
501-550;Arabian Gulf University
501-550;Auckland University of Technology (AUT)
501-550;Beijing Institute of Technology
501-550;Carleton University
501-550;East China Normal University
501-550;Goldsmiths, University of London
501-550;International Islamic University Malaysia (IIUM)
501-550;Istanbul Technical University
501-550;Jilin University
501-550;Kanazawa University
501-550;Kansas State University 
501-550;Keele University 
501-550;Kingston University, London
501-550;Louisiana State University
501-550;National Chung Hsing University
501-550;Higher School of Economics (HSE)
501-550;Okayama University
501-550;Shanghai University
501-550;Tallinn University of Technology
501-550;Technische Universität Braunschweig
501-550;The Catholic University of Korea 
501-550;Tianjin University
501-550;National Research Tomsk Polytechnic University
501-550;Universidad de Zaragoza
501-550;Universität Duisburg-Essen
501-550;Université Montpellier 1
501-550;Université Nice Sophia-Antipolis
501-550;Université Panthéon-Assas (Paris 2)
501-550;University of Alabama
501-550;University of Kentucky
501-550;University of Kwazulu-Natal
501-550;University of Limerick
501-550;University of Ljubljana
501-550;University of Manitoba
501-550;University of Milano-Bicocca 
501-550;University of South Carolina
501-550;University of Stirling
501-550;Yokohama City University
551-600;Universitas Gadjah Mada
551-600;Cairo University
551-600;Universidad Central de Venezuela - UCV
551-600;Charles Darwin University 
551-600;Chonbuk National University
551-600;College of William & Mary
551-600;Dongguk University 
551-600;Drexel University
551-600;Dublin Institute of Technology
551-600;Indian Institute of Technology Guwahati (IITG)
551-600;Inha University
551-600;Instituto Politécnico Nacional (IPN)
551-600;Johannes Kepler University Linz
551-600;Justus-Liebig-Universität Gießen
551-600;Kazan (Volga region) Federal University
551-600;Kyungpook National University
551-600;Masaryk University
551-600;Michigan Technological University
551-600;Murdoch University
551-600;Nagasaki University
551-600;National Taipei University of Technology
551-600;"National Technical University of Ukraine ""Kyiv Polytechnic Institute"""
551-600;New Jersey Institute of Technology (NJIT)
551-600;Pontificia Universidade Católica de São Paulo (PUC -SP)
551-600;Qatar University
551-600;Shandong University
551-600;Southeast University
551-600;Swinburne University of Technology
551-600;Umm Al-Qura University 
551-600;Universidad Iberoamericana (UIA)
551-600;Universidad Panamericana (UP)
551-600;Universidade de Brasilia (UnB)
551-600;Universidade de Santiago de Compostela
551-600;Universidade Federal de São Carlos
551-600;University of Genoa
551-600;Perugia University
551-600;Université de Lorraine 
551-600;Université de Rennes 1
551-600;Université Saint-Joseph de Beyrouth
551-600;University of Houston
551-600;University of Hull
551-600;University of Mumbai
551-600;University of Nebraska - Lincoln
551-600;University of Oregon
551-600;University of Sharjah
551-600;University of Szeged
551-600;Ulster University
551-600;Ural Federal University named after Boris Yeltsin (merger: Ural State and Ural State Technical University)
551-600;Vilnius University 
551-600;Virginia Commonwealth University
601-650;University of Calcutta
601-650;Thammasat University
601-650;Universidad de Concepción
601-650;Aberystwyth University
601-650;American University in Dubai
601-650;Eötvös Lorànd University 
601-650;George Mason University
601-650;Hacettepe University 
601-650;Howard University
601-650;Istanbul University
601-650;Kazakh National Technical University named after K.I.Satpaev
601-650;King Khalid University
601-650;Kumamoto University
601-650;Lehigh University
601-650;Lingnan University, Hong Kong
601-650;Loyola University Chicago
601-650;Martin-Luther-Universität Halle-Wittenberg
601-650;National Chengchi University
601-650;National Research Saratov State University
601-650;National University of Ireland Maynooth
601-650;New School University
601-650;Osaka City University
601-650;Pontificia Universidad Católica de Valparaíso
601-650;Rhodes University 
601-650;Rutgers - The State University of New Jersey, Newark
601-650;Sharif University of Technology
601-650;Southern Federal University
601-650;Sultan Qaboos University
601-650;Syracuse University
601-650;Temple University
601-650;Tokyo University of Agriculture and Technology 
601-650;Tokyo University of Science
601-650;Universidad Adolfo Ibàñez 
601-650;Universidad ANAHUAC
601-650;Universidad de Guadalajara (UDG)
601-650;Universidad de Palermo (UP)
601-650;Universidad Peruana Cayetano Heredia
601-650;Universidad Simón Bolívar Venezuela
601-650;Universidad Torcuato Di Tella
601-650;Universidade Catolica Portuguesa, Lisboa
601-650;Universidade Federal da Bahia
601-650;University of Modena and Reggio Emilia
601-650;University of Trieste
601-650;University at Albany SUNY
601-650;University of Bradford
601-650;University of Debrecen
601-650;University of Johannesburg 
601-650;University of New Hampshire
601-650;University of Patras
601-650;University of Seoul 
601-650;University of Zagreb
651-700;Kasetsart University
651-700;Abu Dhabi University
651-700;Ajou University 
651-700;Bar-Ilan University
651-700;Brigham Young University
651-700;Brno University of Technology
651-700;Chonnam National University
651-700;Chungnam National University
651-700;Clark University
651-700;Clarkson University
651-700;De La Salle University
651-700;Gifu University
651-700;Gunma University
651-700;Hallym University 
651-700;Instituto Tecnológico Autónomo de México (ITAM)
651-700;Jordan University of Science & Technology
651-700;Kazakh National Pedagogical University named after Abay
651-700;Kazakh-British Technical University
651-700;Lebanese American University
651-700;South Kazakhstan State University (SKSU)
651-700;Memorial University of Newfoundland
651-700;Middlesex University
651-700;Missouri S&T
651-700;Niigata University
651-700;Osaka Prefecture University 
651-700;Pontificia Universidade Católica do Rio Grande do Sul (PUCRS)
651-700;Qafqaz University 
651-700;University of St. Kliment Ohridski
651-700;Southern Methodist University
651-700;Sumy State University
651-700;Universidad de Alcalá
651-700;Universidad de Montevideo
651-700;Universidad Diego Portales
651-700;Universidade Federal de Santa Catarina
651-700;Universidade Federal do Paraná (UFPR)
651-700;Université de Nantes
651-700;Université Lumière Lyon 2
651-700;Universiti Teknologi MARA - UiTM
651-700;University of Brescia
651-700;University of Bucharest
651-700;University of Canberra 
651-700;University of Denver
651-700;University of Jordan
651-700;University of Tehran
651-700;University of Ulsan 
651-700;University of Western Sydney 
651-700;Warsaw University of Technology
651-700;Worcester Polytechnic Institute
651-700;Yokohama National University
701+;Universidad Nacional de Rosario
701+;Ain Shams University 
701+;Airlangga University
701+;Al Azhar University 
701+;Alexandria University 
701+;Alexandru Ioan Cuza University
701+;Alpen-Adria-Universitaet Klagenfurt
701+;Ankara Üniversitesi
701+;Aoyama Gakuin University
701+;Athens University of Economics and Business
701+;Auburn University
701+;Babes-Bolyai University
701+;Baku State University
701+;Banaras Hindu University
701+;Baylor University
701+;BNTU
701+;Benemérita Universidad Autónoma de Puebla
701+;Binghamton University SUNY
701+;Bogor Agricultural University
701+;Charles Sturt University 
701+;Clemson University
701+;Corvinus University of Budapest
701+;Coventry University
701+;Cukurova University
701+;Diponegoro University
701+;Donetsk National University
701+;Doshisha University
701+;E.A.Buketov Karaganda State University 
701+;East China University of Science and Technology
701+;Edith Cowan University 
701+;Far Eastern Federal University
701+;Fordham University
701+;Fu Jen Catholic University
701+;Georgia State University
701+;Kagoshima University
701+;Kaunas University of Technology
701+;Kazakh Ablai khan University of International Relations and World Languages
701+;Khazar University
701+;Khon Kaen University
701+;King Faisal University
701+;King Mongkut's University of Technology Thonburi 
701+;Kuwait University
701+;Lahore University of Management Sciences (LUMS)
701+;Lobachevsky State University of Nizhni Novgorod
701+;Lodz University
701+;London Metropolitan University
701+;Makerere University
701+;Manchester Metropolitan University
701+;Marquette University
701+;Miami University
701+;"National Technical University ""Kharkiv Polytechnic Institute"""
701+;The National University of Science and Technology “MISiS” 
701+;Nicolaus Copernicus University 
701+;Northumbria University at Newcastle
701+;Nottingham Trent University
701+;Ochanomizu University
701+;Ohio University
701+;Oklahoma State University 
701+;Paris Lodron University of Salzburg
701+;Plekhanov Russian University of Economics
701+;Pontificia Universidad Catolica del Ecuador
701+;Prince of Songkla University
701+;Ritsumeikan University
701+;Ryerson University
701+;JSC “ S.Seifullin Kazakh Agro Technical University” 
701+;Saitama University
701+;Sepuluh Nopember Institute of Technology
701+;Shinshu University 
701+;Smith College
701+;Stevens Institute of Technology
701+;Robert Gordon University
701+;Tokai University
701+;Universidad Austral de Chile
701+;Universidad Autonoma de Nuevo Leon (UANL)
701+;Universidad Autónoma del Estado de Mexico (UAEMex)
701+;Universidad Autónoma Metropolitana (UAM)
701+;Universidad de la Habana
701+;Universidad de la República (UdelaR)
701+;Universidad de La Sabana
701+;Universidad de las Américas Puebla (UDLAP)
701+;Universidad de los Andes Mérida
701+;University of Murcia
701+;Universidad de Puerto Rico
701+;Universidad de San Francisco de Quito
701+;Universidad de Talca
701+;Universidad de Valparaíso
701+;Universidad del Norte
701+;Colegio Mayor de Nuestra Senora del Rosario
701+;Universidad del Valle
701+;Universidad Industrial de Santander
701+;Universidad Nacional Costa Rica
701+;Universidad Nacional de Cuyo
701+;Universidad Nacional de Mar del Plata
701+;Universidad Nacional de Tucumán
701+;Universidad Nacional del Sur
701+;Universidad Nacional Mayor de San Marcos
701+;Universidad Técnica Federico Santa María
701+;Universidad Tecnológica Nacional (UTN)
701+;Universidade do Estado do Rio de Janeiro (UERJ)
701+;Universidade Estadual de Londrina (UEL)
701+;Universidade Federal de Santa Maria
701+;Universidade Federal de Viçosa
701+;Universidade Federal do Cearà¡-UFC
701+;Universidade Federal do Pernambuco
701+;Universidade Federal Fluminense 
701+;Università  Ca' Foscari Venezia 
701+;Catania University
701+;Università degli Studi Roma Tre
701+;Université Charles-de-Gaulle Lille 3
701+;Université de Caen Basse-Normandie
701+;Université de Cergy-Pontoise
701+;Université de Poitiers
701+;Université Jean Moulin Lyon 3
701+;Université Lille 2 Droit et Santé
701+;Université Paris Ouest Nanterre La Défense
701+;Université Paul-Valéry Montpellier 3
701+;Université Pierre Mendès France - Grenoble 2
701+;Université Stendhal Grenoble 3
701+;Université Toulouse 1, Capitole
701+;University Toulouse – Jean Jaurès
701+;University of Arkansas
701+;University of Baghdad
701+;University of Bahrain
701+;University of Bari (UNIBA)
701+;University of Belgrade
701+;University of Brawijaya 
701+;University of Central Lancashire
701+;University of Colombo
701+;University of Dar es Salaam
701+;University of Dhaka
701+;
701+;University of Economics, Prague 
701+;University of Engineering & Technology (UET) Lahore
701+;University of Ghana
701+;University of Greenwich
701+;University of Haifa
701+;University of Hertfordshire
701+;University of Huddersfield
701+;University of Karachi
701+;The University of Lahore
701+;University of Latvia
701+;University of Macau
701+;University of Nairobi
701+;University of New England Australia
701+;Plymouth University
701+;University of Pune
701+;University of Salford
701+;University of San Diego
701+;University of San Francisco
701+;University of Santo Tomas
701+;University of Science and Technology Beijing
701+;University of Southern Queensland 
701+;University of the Pacific
701+;University of Tulsa
701+;University of Windsor
701+;University of Wroclaw
701+;Verona University
701+;Victoria University 
701+;Vilnius Gediminas Technical University
701+;"Federal State budget educational establishment of higher education ""Voronezh State University"""
701+;Vytautas Magnus University
701+;Universitatea de Vest din Timisoara / West University of Timisoara
701+;Yamaguchi University 
NA;University of California, San Francisco
NA;Karolinska Institutet
NA;Indian Institute of Science
NA;Jawaharlal Nehru University
NA;London Business School
NA;Weizmann Institute of Science
NA;Università Commerciale Luigi Bocconi
NA;INSEAD
NA;King Abdullah University of Science & Technology
NA;Baylor College of Medicine
NA;BI Norwegian Business School
NA;China Medical University Taichung
NA;Copenhagen Business School
NA;Cranfield University
NA;ESADE Business School
NA;ESCP Europe
NA;ESSEC Business School
NA;EBS Business School
NA;Gwangju Institute of Science and Technology (GIST)
NA;HEC Paris School of Management
NA;Hitotsubashi University
NA;London School of Hygiene and Tropical Medicine
NA;Quaid-i-azam University
NA;Rockefeller University
NA;Singapore Management University
NA;Stockholm School of Economics
NA;Université de Technologie de Compiègne (UTC)
NA;WHU - Otto Beisheim School of Management 
