url,rank,country,presence,impact,openness,excellence
http://www.harvard.edu/,1,us,6,2,1,1
http://www.mit.edu/,2,us,4,1,30,14
http://www.stanford.edu/,3,us,2,3,56,3
http://www.berkeley.edu/,4,us,28,4,178,15
http://www.cornell.edu/,5,us,18,5,72,20
http://www.umich.edu/,6,us,19,7,73,5
http://www.umn.edu/,7,us,61,6,17,23
http://www.washington.edu/,8,us,42,10,115,6
http://www.upenn.edu/,9,us,17,14,81,9
http://www.columbia.edu/,10,us,40,8,146,12
http://www.wisc.edu/,11,us,12,15,221,21
http://www.utexas.edu/,12,us,107,9,49,50
http://www.ucla.edu/,13,us,66,16,319,4
http://www.yale.edu/,14,us,30,12,375,19
http://www.cam.ac.uk/,15,uk,21,18,326,10
http://www.ox.ac.uk/,16,uk,34,20,305,8
http://www.utoronto.ca/,17,ca,23,42,53,7
http://www.psu.edu/,18,us,89,17,84,35
http://www.purdue.edu/,19,us,252,11,40,86
http://illinois.edu/,20,us,8,50,51,42
http://www.ubc.ca/,21,ca,103,38,26,24
http://www.tamu.edu/,22,us,32,31,48,88
http://www.ufl.edu/,23,us,83,22,224,39
http://www.ucl.ac.uk/,24,uk,49,60,108,11
http://www.jhu.edu/,25,us,57,48,677,2
http://www.princeton.edu/,26,us,20,19,395,75
http://www.ethz.ch/,27,ch,86,36,96,31
http://www.duke.edu/,28,us,267,30,217,17
http://www.arizona.edu/,29,us,317,13,358,68
http://www.ntu.edu.tw/,30,tw,11,70,19,102
http://www.umd.edu/,31,us,63,34,135,69
http://www.caltech.edu/,32,us,56,52,145,33
http://www.ucsd.edu/,33,us,131,33,470,13
http://www.usp.br/,34,br,33,78,7,80
http://www.msu.edu/,35,us,39,21,377,92
http://www.nyu.edu/,36,us,133,24,370,43
http://www.uchicago.edu/,37,us,68,25,569,45
http://www.osu.edu/,38,us,179,49,157,32
http://www.unc.edu/,39,us,188,27,620,27
http://www.cmu.edu/,40,us,110,23,184,159
http://www.pitt.edu/,41,us,343,67,66,28
http://www.helsinki.fi/,42,fi,26,124,4,100
http://www.rutgers.edu/,43,us,193,32,188,103
http://www.usc.edu/,44,us,325,26,481,55
http://www.uu.nl/,45,nl,85,134,39,30
http://www.virginia.edu/,46,us,16,29,889,94
http://www.pku.edu.cn/,47,cn,216,63,161,48
http://www.ucdavis.edu/,48,us,250,39,476,29
http://www.tsinghua.edu.cn/,49,cn,384,44,204,44
http://www.vt.edu/,50,us,244,28,101,196
http://www.snu.ac.kr/,51,kr,58,59,342,78
http://www.ed.ac.uk/,52,uk,336,61,163,51
http://www.gatech.edu/,53,us,136,71,116,82
http://www.wustl.edu/,54,us,401,64,216,37
http://www.asu.edu/,55,us,148,37,241,121
http://www.unam.mx/,56,mx,45,68,14,314
http://www.uva.nl/,57,nl,258,125,35,38
http://www.utah.edu/,58,us,135,62,223,90
http://www.ucsf.edu/,59,us,5,92,1629,16
http://www.u-tokyo.ac.jp/,60,jp,208,109,176,25
http://www.uni-heidelberg.de/,61,de,43,160,58,59
http://www.northwestern.edu/,62,us,207,66,561,26
http://www.indiana.edu/,63,us,124,35,287,186
http://www.ualberta.ca/,64,ca,71,126,114,65
http://www.zju.edu.cn/,65,cn,293,53,428,71
http://www.iastate.edu/,66,us,108,81,78,164
http://www.uga.edu/,67,us,174,56,151,200
http://www.uio.no/,68,no,81,140,44,123
http://www.ncsu.edu/,69,us,180,57,220,168
http://www.vanderbilt.edu/,70,us,166,76,409,61
http://www.colorado.edu/,71,us,308,47,480,89
http://www.ugent.be/,72,be,41,234,32,73
http://www.kuleuven.be/,73,be,187,188,47,49
http://www.sfu.ca/,74,ca,262,45,80,281
http://www.uci.edu/,75,us,383,46,637,66
http://www.uni-muenchen.de/,76,de,420,186,23,46
http://www.univie.ac.at/,77,at,220,83,27,261
http://www.ku.dk/,78,dk,76,218,125,53
http://www.rochester.edu/,79,us,3,149,630,110
http://www.unimelb.edu.au/,80,au,332,147,232,34
http://www.uiowa.edu/,81,us,414,79,225,105
http://www.hku.hk/,82,hk,91,165,74,129
