Source,Target,Kind,Type,Id,Label,Weight
91,20,degree,Directed,1,,4
149,1,degree,Directed,2,,1
238,73,degree,Directed,3,,1
73,5,degree,Directed,4,,3
1,1,degree,Directed,5,,4
1,1,degree,Directed,6,,43
215,1,degree,Directed,7,,1
1,5,degree,Directed,8,,67
1,1,degree,Directed,9,,482
19,1,degree,Directed,10,,3
35,1,degree,Directed,11,,16
84,1,degree,Directed,12,,6
1,1,degree,Directed,13,,216
1,16,degree,Directed,14,,19
44,1,degree,Directed,15,,10
1,35,degree,Directed,16,,9
1,138,degree,Directed,17,,1
54,1,degree,Directed,18,,1
109,60,degree,Directed,19,,5
44,287,degree,Directed,20,,2
287,1,degree,Directed,21,,3
35,35,degree,Directed,22,,719
1,57,degree,Directed,23,,6
135,1,degree,Directed,24,,1
5,1,degree,Directed,25,,5
14,30,degree,Directed,26,,21
30,1,degree,Directed,27,,12
1,28,degree,Directed,28,,3
1,35,degree,Directed,29,,50
28,1,degree,Directed,30,,3
29,29,degree,Directed,31,,304
29,1,degree,Directed,32,,16
1,44,degree,Directed,33,,15
5,5,degree,Directed,34,,5634
16,16,degree,Directed,35,,379
1,5,degree,Directed,36,,7
1,1,degree,Directed,37,,147
91,1,degree,Directed,38,,3
16,1,degree,Directed,39,,62
62,31,degree,Directed,40,,38
31,1,degree,Directed,41,,1
113,1,degree,Directed,42,,28
44,1,degree,Directed,43,,62
2,2,degree,Directed,44,,1
1,7,degree,Directed,45,,33
1,159,degree,Directed,46,,7
1,66,degree,Directed,47,,15
1,88,degree,Directed,48,,19
1,202,degree,Directed,49,,1
1,19,degree,Directed,50,,3
19,19,degree,Directed,51,,137
1,49,degree,Directed,52,,4
1,5,degree,Directed,53,,5
5,5,degree,Directed,54,,1167
1,35,degree,Directed,55,,3
35,7,degree,Directed,56,,24
1,5,degree,Directed,57,,23
1,193,degree,Directed,58,,10
193,194,degree,Directed,59,,1
1,4,degree,Directed,60,,5
1,30,degree,Directed,61,,26
30,30,degree,Directed,62,,1338
5,2,degree,Directed,63,,3
1,46,degree,Directed,64,,1
46,46,degree,Directed,65,,138
1,137,degree,Directed,66,,5
66,1,degree,Directed,67,,5
1,166,degree,Directed,68,,4
35,1,degree,Directed,69,,72
84,1,degree,Directed,70,,8
193,1,degree,Directed,71,,19
7,1,degree,Directed,72,,23
109,1,degree,Directed,73,,7
1,261,degree,Directed,74,,1
1,47,degree,Directed,75,,2
31,7,degree,Directed,76,,80
5,1,degree,Directed,77,,27
259,1,degree,Directed,78,,1
20,1,degree,Directed,79,,16
111,2,degree,Directed,80,,1
60,1,degree,Directed,81,,15
1,7,degree,Directed,82,,23
91,35,degree,Directed,83,,17
65,1,degree,Directed,84,,10
80,80,degree,Directed,85,,169
80,1,degree,Directed,86,,4
197,1,degree,Directed,87,,6
1,209,degree,Directed,88,,9
18,1,degree,Directed,89,,25
31,1,degree,Directed,90,,11
97,1,degree,Directed,91,,12
172,1,degree,Directed,92,,7
1,5,degree,Directed,93,,77
14,1,degree,Directed,94,,14
28,1,degree,Directed,95,,23
39,244,degree,Directed,96,,1
7,3,degree,Directed,97,,2
3,3,degree,Directed,98,,11
66,3,degree,Directed,99,,4
7,3,degree,Directed,100,,15
3,3,degree,Directed,101,,5
56,4,degree,Directed,102,,8
4,66,degree,Directed,103,,75
113,4,degree,Directed,104,,2
4,14,degree,Directed,105,,9
60,4,degree,Directed,106,,1
4,4,degree,Directed,107,,196
4,4,degree,Directed,108,,22
4,5,degree,Directed,109,,18
4,18,degree,Directed,110,,3
4,30,degree,Directed,111,,8
4,56,degree,Directed,112,,1
4,103,degree,Directed,113,,1
4,23,degree,Directed,114,,1
4,31,degree,Directed,115,,2
31,14,degree,Directed,116,,5
66,66,degree,Directed,117,,218
9,4,degree,Directed,118,,2
17,4,degree,Directed,119,,12
29,4,degree,Directed,120,,11
60,4,degree,Directed,121,,11
16,4,degree,Directed,122,,3
