Source,Target,Kind,Type,Id,Label,Weight
1,19,degree,Directed,1,,90
19,94,degree,Directed,2,,2
10,1,degree,Directed,3,,20
1,7,degree,Directed,4,,170
7,7,degree,Directed,5,,28782
99,23,degree,Directed,6,,8
23,225,degree,Directed,7,,5
12,12,degree,Directed,8,,310
12,12,degree,Directed,9,,1058
12,10,degree,Directed,10,,756
164,10,degree,Directed,11,,75
10,10,degree,Directed,12,,11477
85,85,degree,Directed,13,,487
85,85,degree,Directed,14,,968
85,151,degree,Directed,15,,17
34,208,degree,Directed,16,,1
208,34,degree,Directed,17,,1
34,34,degree,Directed,18,,3352
1,1,degree,Directed,19,,35
1,84,degree,Directed,20,,1
84,33,degree,Directed,21,,4
33,152,degree,Directed,22,,8
200,200,degree,Directed,23,,2
200,1,degree,Directed,24,,5
1,1,degree,Directed,25,,2423
1,118,degree,Directed,26,,1
119,1,degree,Directed,27,,1
1,1,degree,Directed,28,,3717
38,273,degree,Directed,29,,1
273,78,degree,Directed,30,,1
78,7,degree,Directed,31,,6
1,37,degree,Directed,32,,1
37,7,degree,Directed,33,,74
7,7,degree,Directed,34,,3257
7,37,degree,Directed,35,,507
22,1,degree,Directed,36,,3
1,22,degree,Directed,37,,10
22,38,degree,Directed,38,,423
38,38,degree,Directed,39,,7389
188,1,degree,Directed,40,,4
1,106,degree,Directed,41,,6
31,1,degree,Directed,42,,5
1,31,degree,Directed,43,,21
31,16,degree,Directed,44,,115
16,7,degree,Directed,45,,237
1,46,degree,Directed,46,,1
46,19,degree,Directed,47,,9
19,46,degree,Directed,48,,6
46,125,degree,Directed,49,,4
1,22,degree,Directed,50,,2
22,22,degree,Directed,51,,811
22,22,degree,Directed,52,,705
1,1,degree,Directed,53,,6
1,1,degree,Directed,54,,82
1,188,degree,Directed,55,,2
188,1,degree,Directed,56,,97
1,94,degree,Directed,57,,3
94,1,degree,Directed,58,,132
19,1,degree,Directed,59,,39
1,31,degree,Directed,60,,65
21,1,degree,Directed,61,,9
243,1,degree,Directed,62,,1
38,1,degree,Directed,63,,38
22,1,degree,Directed,64,,12
1,38,degree,Directed,65,,288
198,1,degree,Directed,66,,2
89,1,degree,Directed,67,,9
1,89,degree,Directed,68,,3
89,89,degree,Directed,69,,1100
1,1,degree,Directed,70,,422
19,7,degree,Directed,71,,608
1,60,degree,Directed,72,,15
47,1,degree,Directed,73,,24
1,152,degree,Directed,74,,4
152,93,degree,Directed,75,,2
1,7,degree,Directed,76,,497
10,247,degree,Directed,77,,9
247,10,degree,Directed,78,,35
10,10,degree,Directed,79,,13916
10,10,degree,Directed,80,,2178
57,1,degree,Directed,81,,4
1,57,degree,Directed,82,,1
57,57,degree,Directed,83,,169
7,1,degree,Directed,84,,19
121,63,degree,Directed,85,,9
63,34,degree,Directed,86,,230
1,33,degree,Directed,87,,78
33,33,degree,Directed,88,,8643
66,313,degree,Directed,89,,1
313,1,degree,Directed,90,,1
1,313,degree,Directed,91,,4
125,1,degree,Directed,92,,3
47,345,degree,Directed,93,,2
345,1,degree,Directed,94,,6
38,38,degree,Directed,95,,1543
38,1,degree,Directed,96,,225
85,127,degree,Directed,97,,20
127,33,degree,Directed,98,,7
149,1,degree,Directed,99,,1
1,38,degree,Directed,100,,35
