Source,Target,Kind,Type,Id,Label,Weight
1,18,degree,Directed,1,,45
18,93,degree,Directed,2,,2
10,1,degree,Directed,3,,6
12,10,degree,Directed,4,,537
84,84,degree,Directed,5,,156
84,84,degree,Directed,6,,645
84,149,degree,Directed,7,,17
196,196,degree,Directed,8,,2
196,1,degree,Directed,9,,1
1,1,degree,Directed,10,,1378
1,117,degree,Directed,11,,1
118,1,degree,Directed,12,,1
1,1,degree,Directed,13,,3075
1,21,degree,Directed,14,,3
21,37,degree,Directed,15,,168
184,1,degree,Directed,16,,3
1,105,degree,Directed,17,,5
1,7,degree,Directed,18,,71
1,45,degree,Directed,19,,1
45,18,degree,Directed,20,,7
18,45,degree,Directed,21,,5
45,124,degree,Directed,22,,4
1,21,degree,Directed,23,,1
21,21,degree,Directed,24,,517
21,21,degree,Directed,25,,635
18,1,degree,Directed,26,,11
1,30,degree,Directed,27,,50
1,7,degree,Directed,28,,56
7,7,degree,Directed,29,,16972
240,10,degree,Directed,30,,48
10,10,degree,Directed,31,,1974
1,1,degree,Directed,32,,85
1,32,degree,Directed,33,,31
32,32,degree,Directed,34,,6026
305,1,degree,Directed,35,,1
1,305,degree,Directed,36,,3
124,1,degree,Directed,37,,2
126,32,degree,Directed,38,,7
1,37,degree,Directed,39,,7
37,1,degree,Directed,40,,60
239,1,degree,Directed,41,,13
1,92,degree,Directed,42,,4
1,119,degree,Directed,43,,2
119,11,degree,Directed,44,,5
331,1,degree,Directed,45,,51
1,20,degree,Directed,46,,4
20,1,degree,Directed,47,,36
1,1,degree,Directed,48,,491
70,1,degree,Directed,49,,48
1,93,degree,Directed,50,,5
7,7,degree,Directed,51,,181
7,7,degree,Directed,52,,215
7,7,degree,Directed,53,,818
1,48,degree,Directed,54,,1
48,48,degree,Directed,55,,810
1,86,degree,Directed,56,,2
30,1,degree,Directed,57,,36
46,1,degree,Directed,58,,89
93,1,degree,Directed,59,,93
15,1,degree,Directed,60,,26
37,2,degree,Directed,61,,3
18,18,degree,Directed,62,,1621
18,1,degree,Directed,63,,184
37,37,degree,Directed,64,,2645
37,1,degree,Directed,65,,108
10,1,degree,Directed,66,,39
96,1,degree,Directed,67,,20
32,1,degree,Directed,68,,31
93,120,degree,Directed,69,,4
120,1,degree,Directed,70,,16
18,1,degree,Directed,71,,222
22,22,degree,Directed,72,,124
22,1,degree,Directed,73,,16
1,32,degree,Directed,74,,25
211,1,degree,Directed,75,,82
331,1,degree,Directed,76,,7
93,93,degree,Directed,77,,24
93,1,degree,Directed,78,,28
231,56,degree,Directed,79,,1
56,105,degree,Directed,80,,1
105,1,degree,Directed,81,,22
70,70,degree,Directed,82,,45
10,29,degree,Directed,83,,47
29,3,degree,Directed,84,,3
185,1,degree,Directed,85,,61
1,3,degree,Directed,86,,7
29,1,degree,Directed,87,,17
331,118,degree,Directed,88,,2
118,1,degree,Directed,89,,14
118,46,degree,Directed,90,,22
46,1,degree,Directed,91,,99
106,106,degree,Directed,92,,53
106,1,degree,Directed,93,,8
11,1,degree,Directed,94,,13
21,185,degree,Directed,95,,14
1,164,degree,Directed,96,,1
164,1,degree,Directed,97,,1
93,18,degree,Directed,98,,9
144,18,degree,Directed,99,,85
45,1,degree,Directed,100,,2
30,30,degree,Directed,101,,2556
30,1,degree,Directed,102,,16
18,20,degree,Directed,103,,13
1,270,degree,Directed,104,,4
184,1,degree,Directed,105,,69
93,93,degree,Directed,106,,14
46,46,degree,Directed,107,,1116
1,18,degree,Directed,108,,35
20,7,degree,Directed,109,,18
7,20,degree,Directed,110,,71
20,1,degree,Directed,111,,26
231,1,degree,Directed,112,,8
1,231,degree,Directed,113,,3
130,1,degree,Directed,114,,3
15,1,degree,Directed,115,,28
333,102,degree,Directed,116,,1
102,1,degree,Directed,117,,3
62,1,degree,Directed,118,,18
1,212,degree,Directed,119,,2
46,46,degree,Directed,120,,26
46,18,degree,Directed,121,,12
119,119,degree,Directed,122,,177
119,1,degree,Directed,123,,5
45,1,degree,Directed,124,,6
144,1,degree,Directed,125,,20
138,1,degree,Directed,126,,6
106,1,degree,Directed,127,,33
1,108,degree,Directed,128,,2
1,36,degree,Directed,129,,3
261,1,degree,Directed,130,,1
174,3,degree,Directed,131,,1
225,225,degree,Directed,132,,13
225,1,degree,Directed,133,,12
22,1,degree,Directed,134,,11
18,18,degree,Directed,135,,408
326,1,degree,Directed,136,,2
1,339,degree,Directed,137,,2
7,18,degree,Directed,138,,51
26,1,degree,Directed,139,,1
124,1,degree,Directed,140,,48
93,62,degree,Directed,141,,3
62,1,degree,Directed,142,,34
1,184,degree,Directed,143,,3
7,3,degree,Directed,144,,29
196,1,degree,Directed,145,,20
46,46,degree,Directed,146,,36
70,37,degree,Directed,147,,28
6,7,degree,Directed,148,,53
7,1,degree,Directed,149,,76
144,46,degree,Directed,150,,3
169,1,degree,Directed,151,,10
415,1,degree,Directed,152,,3
181,1,degree,Directed,153,,2
93,18,degree,Directed,154,,11
1,85,degree,Directed,155,,3
10,3,degree,Directed,156,,12
78,1,degree,Directed,157,,7
33,33,degree,Directed,158,,2000
33,1,degree,Directed,159,,19
18,7,degree,Directed,160,,225
124,1,degree,Directed,161,,21
174,1,degree,Directed,162,,12
18,18,degree,Directed,163,,52
148,37,degree,Directed,164,,2
65,1,degree,Directed,165,,20
65,1,degree,Directed,166,,21
239,297,degree,Directed,167,,1
297,1,degree,Directed,168,,36
211,1,degree,Directed,169,,35
68,68,degree,Directed,170,,199
68,1,degree,Directed,171,,6
1,68,degree,Directed,172,,2
242,94,degree,Directed,173,,1
94,1,degree,Directed,174,,1
6,19,degree,Directed,175,,8
