Source,Target,Kind,Type,Id,Label,Weight
1,25,degree,Directed,1,,1
25,5,degree,Directed,2,,4
5,5,degree,Directed,3,,444
1,103,degree,Directed,4,,1
5,63,degree,Directed,5,,13
63,3,degree,Directed,6,,2
5,3,degree,Directed,7,,4
5,5,degree,Directed,8,,36
5,5,degree,Directed,9,,699
24,5,degree,Directed,10,,13
5,35,degree,Directed,11,,8
5,54,degree,Directed,12,,5
5,5,degree,Directed,13,,512
21,5,degree,Directed,14,,16
56,5,degree,Directed,15,,1
5,123,degree,Directed,16,,1
123,5,degree,Directed,17,,1
23,5,degree,Directed,18,,12
5,5,degree,Directed,19,,91
5,35,degree,Directed,20,,4
5,5,degree,Directed,21,,28
5,5,degree,Directed,22,,29
153,5,degree,Directed,23,,15
5,99,degree,Directed,24,,10
12,5,degree,Directed,25,,5
5,147,degree,Directed,26,,1
6,5,degree,Directed,27,,21
130,5,degree,Directed,28,,3
5,5,degree,Directed,29,,36
5,51,degree,Directed,30,,1
51,5,degree,Directed,31,,2
46,5,degree,Directed,32,,5
34,5,degree,Directed,33,,4
148,5,degree,Directed,34,,1
94,5,degree,Directed,35,,1
13,5,degree,Directed,36,,7
5,81,degree,Directed,37,,5
81,5,degree,Directed,38,,6
23,23,degree,Directed,39,,11
63,57,degree,Directed,40,,1
5,105,degree,Directed,41,,7
5,158,degree,Directed,42,,2
158,158,degree,Directed,43,,6
5,96,degree,Directed,44,,1
5,121,degree,Directed,45,,13
5,23,degree,Directed,46,,29
5,34,degree,Directed,47,,7
5,12,degree,Directed,48,,30
5,36,degree,Directed,49,,1
36,5,degree,Directed,50,,1
18,97,degree,Directed,51,,1
97,5,degree,Directed,52,,4
24,5,degree,Directed,53,,16
21,5,degree,Directed,54,,6
34,5,degree,Directed,55,,6
20,20,degree,Directed,56,,24
20,5,degree,Directed,57,,21
6,5,degree,Directed,58,,16
13,5,degree,Directed,59,,19
40,5,degree,Directed,60,,4
20,5,degree,Directed,61,,2
5,19,degree,Directed,62,,3
19,20,degree,Directed,63,,1
20,5,degree,Directed,64,,1
116,12,degree,Directed,65,,1
97,5,degree,Directed,66,,2
5,6,degree,Directed,67,,23
6,12,degree,Directed,68,,3
82,5,degree,Directed,69,,2
153,153,degree,Directed,70,,3
23,5,degree,Directed,71,,3
5,71,degree,Directed,72,,3
63,5,degree,Directed,73,,7
9,6,degree,Directed,74,,12
39,6,degree,Directed,75,,6
6,6,degree,Directed,76,,152
23,28,degree,Directed,77,,1
28,6,degree,Directed,78,,1
6,6,degree,Directed,79,,79
6,6,degree,Directed,80,,229
26,6,degree,Directed,81,,3
17,6,degree,Directed,82,,1
6,15,degree,Directed,83,,1
21,6,degree,Directed,84,,11
9,6,degree,Directed,85,,1
6,6,degree,Directed,86,,12
6,9,degree,Directed,87,,4
6,135,degree,Directed,88,,1
6,151,degree,Directed,89,,2
6,105,degree,Directed,90,,2
6,15,degree,Directed,91,,2
44,6,degree,Directed,92,,5
13,6,degree,Directed,93,,22
69,6,degree,Directed,94,,1
6,23,degree,Directed,95,,4
84,6,degree,Directed,96,,8
20,6,degree,Directed,97,,9
26,6,degree,Directed,98,,32
21,6,degree,Directed,99,,22
9,6,degree,Directed,100,,15
14,6,degree,Directed,101,,3
22,6,degree,Directed,102,,2
6,7,degree,Directed,103,,2
6,125,degree,Directed,104,,3
6,83,degree,Directed,105,,2
6,72,degree,Directed,106,,1
6,72,degree,Directed,107,,1
6,37,degree,Directed,108,,7
37,37,degree,Directed,109,,14
24,6,degree,Directed,110,,13
48,6,degree,Directed,111,,1
67,6,degree,Directed,112,,1
14,51,degree,Directed,113,,1
51,51,degree,Directed,114,,13
6,60,degree,Directed,115,,1
6,29,degree,Directed,116,,1
13,6,degree,Directed,117,,8
6,47,degree,Directed,118,,1
6,6,degree,Directed,119,,15
6,102,degree,Directed,120,,4
9,9,degree,Directed,121,,4
9,9,degree,Directed,122,,11
10,10,degree,Directed,123,,2
26,26,degree,Directed,124,,9
26,26,degree,Directed,125,,75
12,12,degree,Directed,126,,1
12,12,degree,Directed,127,,24
12,12,degree,Directed,128,,46
23,12,degree,Directed,129,,6
99,12,degree,Directed,130,,2
12,23,degree,Directed,131,,3
12,116,degree,Directed,132,,2
13,13,degree,Directed,133,,10
89,136,degree,Directed,134,,1
13,125,degree,Directed,135,,1
20,15,degree,Directed,136,,5
26,15,degree,Directed,137,,1
15,26,degree,Directed,138,,2
24,15,degree,Directed,139,,2
16,16,degree,Directed,140,,2
26,27,degree,Directed,141,,3
27,19,degree,Directed,142,,1
20,38,degree,Directed,143,,1
38,130,degree,Directed,144,,1
20,54,degree,Directed,145,,1
20,129,degree,Directed,146,,1
20,105,degree,Directed,147,,2
20,23,degree,Directed,148,,1
21,21,degree,Directed,149,,6
21,21,degree,Directed,150,,40
21,21,degree,Directed,151,,45
21,21,degree,Directed,152,,2
21,21,degree,Directed,153,,7
21,21,degree,Directed,154,,65
21,21,degree,Directed,155,,9
21,59,degree,Directed,156,,1
21,78,degree,Directed,157,,1
26,37,degree,Directed,158,,2
22,22,degree,Directed,159,,5
23,23,degree,Directed,160,,17
23,23,degree,Directed,161,,4
24,24,degree,Directed,162,,42
24,63,degree,Directed,163,,6
24,24,degree,Directed,164,,14
25,25,degree,Directed,165,,23
25,25,degree,Directed,166,,32
25,25,degree,Directed,167,,25
26,26,degree,Directed,168,,90
26,26,degree,Directed,169,,25
26,26,degree,Directed,170,,35
26,71,degree,Directed,171,,8
26,35,degree,Directed,172,,4
49,26,degree,Directed,173,,2
67,30,degree,Directed,174,,1
32,34,degree,Directed,175,,1
33,114,degree,Directed,176,,1
33,128,degree,Directed,177,,1
34,34,degree,Directed,178,,9
92,35,degree,Directed,179,,1
39,39,degree,Directed,180,,1
39,130,degree,Directed,181,,1
42,42,degree,Directed,182,,1
58,84,degree,Directed,183,,1
46,46,degree,Directed,184,,9
46,46,degree,Directed,185,,8
46,132,degree,Directed,186,,10
132,132,degree,Directed,187,,4
46,122,degree,Directed,188,,1
122,106,degree,Directed,189,,2
47,47,degree,Directed,190,,15
48,48,degree,Directed,191,,7
48,48,degree,Directed,192,,12
49,49,degree,Directed,193,,4
49,49,degree,Directed,194,,40
49,139,degree,Directed,195,,1
53,157,degree,Directed,196,,1
120,54,degree,Directed,197,,1
56,56,degree,Directed,198,,2
58,58,degree,Directed,199,,2
63,63,degree,Directed,200,,25
63,150,degree,Directed,201,,1
141,141,degree,Directed,202,,1
141,68,degree,Directed,203,,1
138,138,degree,Directed,204,,1
138,71,degree,Directed,205,,1
75,75,degree,Directed,206,,7
77,100,degree,Directed,207,,1
97,85,degree,Directed,208,,1
85,136,degree,Directed,209,,1
88,88,degree,Directed,210,,4
97,97,degree,Directed,211,,3
116,116,degree,Directed,212,,3
116,99,degree,Directed,213,,1
107,107,degree,Directed,214,,1
133,133,degree,Directed,215,,1
135,135,degree,Directed,216,,6
143,143,degree,Directed,217,,1
156,156,degree,Directed,218,,3
26,55,degree,Directed,219,,1
1,15,degree,Directed,220,,1
1,21,degree,Directed,221,,2
6,3,degree,Directed,222,,1
5,24,degree,Directed,223,,2
24,3,degree,Directed,224,,2
12,5,degree,Directed,225,,37
23,23,degree,Directed,226,,2
22,5,degree,Directed,227,,1
20,26,degree,Directed,228,,5
26,5,degree,Directed,229,,1
5,51,degree,Directed,230,,1
51,26,degree,Directed,231,,1
63,5,degree,Directed,232,,3
5,147,degree,Directed,233,,2
6,5,degree,Directed,234,,20
5,181,degree,Directed,235,,1
5,19,degree,Directed,236,,1
34,5,degree,Directed,237,,3
20,5,degree,Directed,238,,13
5,96,degree,Directed,239,,3
96,5,degree,Directed,240,,1
40,5,degree,Directed,241,,2
12,5,degree,Directed,242,,16
26,5,degree,Directed,243,,4
153,13,degree,Directed,244,,1
13,5,degree,Directed,245,,6
5,66,degree,Directed,246,,1
12,5,degree,Directed,247,,14
161,5,degree,Directed,248,,1
182,182,degree,Directed,249,,1
182,5,degree,Directed,250,,1
5,35,degree,Directed,251,,6
5,19,degree,Directed,252,,3
26,5,degree,Directed,253,,8
105,5,degree,Directed,254,,2
28,25,degree,Directed,255,,1
25,28,degree,Directed,256,,1
28,5,degree,Directed,257,,3
5,175,degree,Directed,258,,2
5,19,degree,Directed,259,,3
19,19,degree,Directed,260,,1
19,5,degree,Directed,261,,2
40,26,degree,Directed,262,,1
5,28,degree,Directed,263,,4
5,51,degree,Directed,264,,2
5,54,degree,Directed,265,,3
5,6,degree,Directed,266,,3
5,183,degree,Directed,267,,2
5,20,degree,Directed,268,,2
5,23,degree,Directed,269,,7
5,12,degree,Directed,270,,3
35,35,degree,Directed,271,,2
5,37,degree,Directed,272,,2
23,5,degree,Directed,273,,16
26,5,degree,Directed,274,,13
99,5,degree,Directed,275,,1
24,81,degree,Directed,276,,1
5,21,degree,Directed,277,,5
116,5,degree,Directed,278,,3
26,5,degree,Directed,279,,14
5,10,degree,Directed,280,,2
6,40,degree,Directed,281,,1
39,6,degree,Directed,282,,1
