Source,Target,Kind,Type,Id,Label,Weight
36,36,birth,Directed,1,,306
36,195,degree,Directed,2,,1
195,67,degree,Directed,3,,1
67,3,degree,Directed,4,,6
3,1,work,Directed,5,,270
1,1,birth,Directed,6,,86
1,1,degree,Directed,7,,32
1,15,degree,Directed,8,,9
15,3,degree,Directed,9,,472
172,45,birth,Directed,10,,6
45,1,degree,Directed,11,,1
1,3,degree,Directed,12,,90
3,3,degree,Directed,13,,22413
3,172,work,Directed,14,,3
1,1,degree,Directed,15,,138
1,3,degree,Directed,16,,394
3,3,birth,Directed,17,,6895
3,1,degree,Directed,18,,5
121,14,birth,Directed,19,,41
14,31,degree,Directed,20,,23
31,1,degree,Directed,21,,5
3,69,degree,Directed,22,,34
69,1,work,Directed,23,,2
71,3,birth,Directed,24,,28
3,3,degree,Directed,25,,366
3,3,degree,Directed,26,,670
3,3,degree,Directed,27,,1868
287,1,birth,Directed,28,,3
1,3,degree,Directed,29,,10
3,3,degree,Directed,30,,9978
3,47,work,Directed,31,,126
121,3,birth,Directed,32,,160
3,121,degree,Directed,33,,58
121,14,degree,Directed,34,,10
14,3,degree,Directed,35,,1389
3,2,degree,Directed,36,,24
2,14,work,Directed,37,,3
30,30,birth,Directed,38,,254
30,30,degree,Directed,39,,68
30,59,degree,Directed,40,,2
59,3,degree,Directed,41,,184
2,30,work,Directed,42,,2
233,233,birth,Directed,43,,2
233,32,degree,Directed,44,,2
32,32,degree,Directed,45,,188
32,3,degree,Directed,46,,391
2,32,work,Directed,47,,3
3,290,work,Directed,48,,19
450,1,birth,Directed,49,,6
3,3,degree,Directed,50,,3140
3,3,work,Directed,51,,9102
3,155,degree,Directed,52,,24
155,77,work,Directed,53,,1
81,1,birth,Directed,54,,9
1105,1,birth,Directed,55,,2
692,1,birth,Directed,56,,2
3,4,degree,Directed,57,,13
4,3,work,Directed,58,,4
3,27,degree,Directed,59,,11
3,23,degree,Directed,60,,16
23,1,degree,Directed,61,,1
82,3,birth,Directed,62,,3
3,1,degree,Directed,63,,28
3,82,work,Directed,64,,45
3,3,degree,Directed,65,,2114
294,8,birth,Directed,66,,1
8,47,degree,Directed,67,,5
47,1,degree,Directed,68,,2
3,294,work,Directed,69,,25
738,45,birth,Directed,70,,1
45,1,degree,Directed,71,,11
3,35,degree,Directed,72,,131
874,45,birth,Directed,73,,2
3,582,work,Directed,74,,24
36,1,degree,Directed,75,,13
1227,3,birth,Directed,76,,2
3,1,degree,Directed,77,,52
1,35,work,Directed,78,,1
3,14,degree,Directed,79,,357
3,5,degree,Directed,80,,20
5,14,work,Directed,81,,1
3,56,birth,Directed,82,,6
56,3,degree,Directed,83,,65
5,59,work,Directed,84,,1
98,3,birth,Directed,85,,244
3,47,degree,Directed,86,,92
47,140,degree,Directed,87,,1
140,3,degree,Directed,88,,1
1464,33,birth,Directed,89,,2
33,6,degree,Directed,90,,2
6,29,degree,Directed,91,,2
29,3,degree,Directed,92,,509
458,115,birth,Directed,93,,1
115,15,degree,Directed,94,,1
15,115,degree,Directed,95,,2
115,115,degree,Directed,96,,17
115,3,degree,Directed,97,,37
3,29,work,Directed,98,,335
98,6,birth,Directed,99,,7
6,3,degree,Directed,100,,127
3,33,work,Directed,101,,86
597,6,birth,Directed,102,,1
6,6,degree,Directed,103,,59
3,63,work,Directed,104,,220
9,6,birth,Directed,105,,1
6,3,degree,Directed,106,,68
3,7,work,Directed,107,,73
6,6,birth,Directed,108,,31
6,14,degree,Directed,109,,9
3,6,degree,Directed,110,,7
6,53,work,Directed,111,,1
816,6,birth,Directed,112,,2
12,6,birth,Directed,113,,1
6,31,degree,Directed,114,,5
31,3,degree,Directed,115,,1151
3,31,work,Directed,116,,524
9,98,birth,Directed,117,,2
98,6,degree,Directed,118,,2
181,3,birth,Directed,119,,1
2146,3,birth,Directed,120,,1
821,221,birth,Directed,121,,1
221,29,degree,Directed,122,,1
29,3,degree,Directed,123,,175
3,80,degree,Directed,124,,39
80,3,work,Directed,125,,17
3,116,work,Directed,126,,125
359,49,birth,Directed,127,,1
49,3,degree,Directed,128,,22
3,49,work,Directed,129,,14
235,3,birth,Directed,130,,54
3,113,work,Directed,131,,245
3,113,degree,Directed,132,,46
113,3,work,Directed,133,,7
3,93,degree,Directed,134,,3
93,3,degree,Directed,135,,34
1104,54,birth,Directed,136,,1
54,31,degree,Directed,137,,4
2261,3,birth,Directed,138,,1
3,14,birth,Directed,139,,431
14,3,degree,Directed,140,,29
3,90,degree,Directed,141,,5
277,12,birth,Directed,142,,2
12,3,degree,Directed,143,,13
3,12,work,Directed,144,,90
3,59,work,Directed,145,,165
3,98,degree,Directed,146,,29
60,60,birth,Directed,147,,322
60,3,degree,Directed,148,,8
12,3,birth,Directed,149,,165
3,47,degree,Directed,150,,219
47,3,work,Directed,151,,83
551,3,birth,Directed,152,,31
3,114,work,Directed,153,,38
125,125,birth,Directed,154,,38
125,3,degree,Directed,155,,16
3,125,degree,Directed,156,,12
125,3,degree,Directed,157,,154
3,125,work,Directed,158,,51
458,12,birth,Directed,159,,1
3,31,degree,Directed,160,,6
31,31,degree,Directed,161,,53
1218,71,birth,Directed,162,,4
71,3,degree,Directed,163,,4
908,7,birth,Directed,164,,2
7,3,degree,Directed,165,,4
948,47,birth,Directed,166,,2
47,3,degree,Directed,167,,20
698,100,birth,Directed,168,,1
100,3,degree,Directed,169,,1
126,3,birth,Directed,170,,51
3,15,degree,Directed,171,,7
15,14,degree,Directed,172,,10
14,3,degree,Directed,173,,1174
3,60,work,Directed,174,,258
19,47,birth,Directed,175,,2
108,10,birth,Directed,176,,11
10,3,degree,Directed,177,,6
3,71,degree,Directed,178,,1
71,3,degree,Directed,179,,132
3,71,work,Directed,180,,289
1783,59,birth,Directed,181,,1
59,3,degree,Directed,182,,3
2013,3,birth,Directed,183,,1
3,71,birth,Directed,184,,16
3,9,degree,Directed,185,,74
9,3,degree,Directed,186,,339
3,3,birth,Directed,187,,91
3,35,degree,Directed,188,,82
35,3,degree,Directed,189,,200
114,125,birth,Directed,190,,1
125,3,degree,Directed,191,,57
3,30,work,Directed,192,,224
3,14,work,Directed,193,,1058
3,99,birth,Directed,194,,11
99,99,degree,Directed,195,,11
99,3,degree,Directed,196,,32
60,3,degree,Directed,197,,30
1761,14,birth,Directed,198,,2
14,3,degree,Directed,199,,18
216,34,birth,Directed,200,,1
34,3,degree,Directed,201,,6
1147,120,birth,Directed,202,,1
120,14,degree,Directed,203,,5
14,3,degree,Directed,204,,109
3,293,work,Directed,205,,33
3,139,degree,Directed,206,,11
139,3,work,Directed,207,,8
505,35,birth,Directed,208,,1
47,3,birth,Directed,209,,429
3,70,degree,Directed,210,,98
70,3,work,Directed,211,,45
47,47,birth,Directed,212,,47
47,3,degree,Directed,213,,360
3,121,work,Directed,214,,392
911,8,birth,Directed,215,,1
8,8,degree,Directed,216,,116
8,3,degree,Directed,217,,207
3,8,work,Directed,218,,302
15,15,birth,Directed,219,,328
15,3,degree,Directed,220,,46
917,3,birth,Directed,221,,6
3,15,birth,Directed,222,,29
15,3,degree,Directed,223,,311
3,124,degree,Directed,224,,1
124,3,degree,Directed,225,,6
99,99,birth,Directed,226,,86
99,3,degree,Directed,227,,13
3,35,degree,Directed,228,,60
35,3,degree,Directed,229,,310
3,99,work,Directed,230,,137
3,29,degree,Directed,231,,30
3,53,work,Directed,232,,263
103,103,birth,Directed,233,,81
103,3,degree,Directed,234,,6
3,15,degree,Directed,235,,23
3,103,work,Directed,236,,223
120,3,birth,Directed,237,,9
3,108,work,Directed,238,,110
183,60,birth,Directed,239,,1
3,170,degree,Directed,240,,4
347,3,birth,Directed,241,,7
3,24,degree,Directed,242,,25
24,8,work,Directed,243,,2
35,35,work,Directed,244,,48
113,113,birth,Directed,245,,4
113,3,degree,Directed,246,,17
19,19,birth,Directed,247,,76
19,3,degree,Directed,248,,11
3,19,degree,Directed,249,,18
19,3,degree,Directed,250,,292
47,14,birth,Directed,251,,81
464,3,birth,Directed,252,,26
3,31,degree,Directed,253,,120
3,15,work,Directed,254,,537
80,35,work,Directed,255,,3
29,29,birth,Directed,256,,305
29,3,degree,Directed,257,,30
285,3,birth,Directed,258,,3
28,99,birth,Directed,259,,1
99,99,degree,Directed,260,,33
99,3,degree,Directed,261,,57
3,202,degree,Directed,262,,15
202,3,work,Directed,263,,3
31,3,birth,Directed,264,,182
3,14,degree,Directed,265,,221
605,19,birth,Directed,266,,7
405,29,birth,Directed,267,,2
2359,116,birth,Directed,268,,1
116,3,degree,Directed,269,,31
3,151,degree,Directed,270,,2
151,3,degree,Directed,271,,3
3,162,degree,Directed,272,,4
162,3,degree,Directed,273,,3
14,3,work,Directed,274,,31
15,3,degree,Directed,275,,24
3,28,work,Directed,276,,273
423,49,birth,Directed,277,,4
49,3,degree,Directed,278,,2
3,11,work,Directed,279,,179
3,240,degree,Directed,280,,7
3,125,birth,Directed,281,,163
702,3,birth,Directed,282,,8
2394,3,birth,Directed,283,,1
9,3,birth,Directed,284,,166
677,3,birth,Directed,285,,3
3,164,degree,Directed,286,,3
164,3,degree,Directed,287,,1
3,204,degree,Directed,288,,1
204,3,degree,Directed,289,,2
3,128,degree,Directed,290,,46
128,3,work,Directed,291,,21
114,3,birth,Directed,292,,52
3,47,degree,Directed,293,,63
3,226,birth,Directed,294,,23
226,226,degree,Directed,295,,21
226,3,degree,Directed,296,,90
212,3,birth,Directed,297,,69
2405,31,birth,Directed,298,,1
31,3,degree,Directed,299,,77
3,1607,work,Directed,300,,2
435,3,birth,Directed,301,,1
1023,116,birth,Directed,302,,1
116,3,degree,Directed,303,,124
65,3,birth,Directed,304,,36
3,192,degree,Directed,305,,20
192,30,work,Directed,306,,1
98,98,birth,Directed,307,,38
98,14,degree,Directed,308,,3
239,3,birth,Directed,309,,13
15,15,degree,Directed,310,,122
15,15,degree,Directed,311,,221
3,31,birth,Directed,312,,240
31,14,degree,Directed,313,,1
3,9,degree,Directed,314,,6
9,3,degree,Directed,315,,1052
113,31,birth,Directed,316,,9
1575,100,birth,Directed,317,,5
100,3,degree,Directed,318,,8
1174,15,birth,Directed,319,,6
10,3,degree,Directed,320,,19
18,18,birth,Directed,321,,96
18,3,degree,Directed,322,,21
2117,108,birth,Directed,323,,1
108,3,degree,Directed,324,,16
3,37,degree,Directed,325,,36
9,32,birth,Directed,326,,14
32,127,degree,Directed,327,,1
127,3,degree,Directed,328,,2
15,15,birth,Directed,329,,18
416,14,birth,Directed,330,,21
3,9,degree,Directed,331,,6
1101,3,birth,Directed,332,,1
181,3,birth,Directed,333,,1
697,3,birth,Directed,334,,1
3,31,degree,Directed,335,,390
3,48,degree,Directed,336,,29
48,3,degree,Directed,337,,42
9,3,birth,Directed,338,,44
29,29,birth,Directed,339,,12
3,89,degree,Directed,340,,36
89,3,work,Directed,341,,20
3,223,degree,Directed,342,,18
223,3,degree,Directed,343,,45
69,14,work,Directed,344,,7
416,125,birth,Directed,345,,1
243,3,birth,Directed,346,,22
125,125,degree,Directed,347,,25
285,3,birth,Directed,348,,25
448,3,birth,Directed,349,,12
278,3,birth,Directed,350,,2
663,3,birth,Directed,351,,1
2376,77,birth,Directed,352,,1
77,3,degree,Directed,353,,13
3,77,work,Directed,354,,200
47,216,birth,Directed,355,,1
216,3,degree,Directed,356,,3
60,3,degree,Directed,357,,32
3,165,degree,Directed,358,,2
165,3,degree,Directed,359,,1
882,3,birth,Directed,360,,8
3,86,degree,Directed,361,,5
86,3,degree,Directed,362,,6
3,194,degree,Directed,363,,16
194,3,work,Directed,364,,5
3,191,degree,Directed,365,,9
191,3,work,Directed,366,,6
605,3,birth,Directed,367,,7
249,108,birth,Directed,368,,1
108,3,degree,Directed,369,,4
3,106,degree,Directed,370,,43
106,3,work,Directed,371,,18
47,47,birth,Directed,372,,114
147,3,birth,Directed,373,,3
37,3,work,Directed,374,,14
381,71,birth,Directed,375,,1
71,19,degree,Directed,376,,2
19,211,degree,Directed,377,,1
211,3,degree,Directed,378,,1
3,211,degree,Directed,379,,3
211,3,work,Directed,380,,7
93,98,birth,Directed,381,,2
98,3,degree,Directed,382,,101
3,39,degree,Directed,383,,62
39,3,work,Directed,384,,31
35,3,degree,Directed,385,,10
3,84,degree,Directed,386,,12
84,3,work,Directed,387,,6
3,78,degree,Directed,388,,13
78,3,work,Directed,389,,6
2297,3,birth,Directed,390,,1
3,227,degree,Directed,391,,1
227,3,degree,Directed,392,,8
3,235,work,Directed,393,,29
3,121,birth,Directed,394,,148
121,3,degree,Directed,395,,429
2357,150,birth,Directed,396,,1
150,175,degree,Directed,397,,1
175,3,degree,Directed,398,,1
158,14,birth,Directed,399,,65
3,46,degree,Directed,400,,30
46,3,work,Directed,401,,16
3,186,degree,Directed,402,,1
186,3,degree,Directed,403,,2
880,47,birth,Directed,404,,1
47,3,degree,Directed,405,,11
3,48,degree,Directed,406,,169
48,3,work,Directed,407,,68
564,33,birth,Directed,408,,4
33,33,degree,Directed,409,,98
33,3,degree,Directed,410,,4
1265,3,birth,Directed,411,,2
3,174,degree,Directed,412,,10
174,3,work,Directed,413,,6
423,3,birth,Directed,414,,22
3,23,degree,Directed,415,,66
23,3,work,Directed,416,,34
68,31,birth,Directed,417,,4
31,3,degree,Directed,418,,16
3,31,degree,Directed,419,,10
31,84,degree,Directed,420,,1
3,9,degree,Directed,421,,63
9,3,degree,Directed,422,,28
631,21,birth,Directed,423,,1
21,36,degree,Directed,424,,17
36,3,degree,Directed,425,,12
505,3,birth,Directed,426,,1
3,12,birth,Directed,427,,74
12,3,degree,Directed,428,,126
1793,3,birth,Directed,429,,2
3,101,degree,Directed,430,,22
101,3,work,Directed,431,,10
120,3,birth,Directed,432,,38
125,14,degree,Directed,433,,2
14,3,degree,Directed,434,,24
3,22,birth,Directed,435,,18
22,3,degree,Directed,436,,4
3,130,degree,Directed,437,,8
130,3,work,Directed,438,,4
47,10,birth,Directed,439,,25
10,36,degree,Directed,440,,2
36,3,degree,Directed,441,,210
6,29,birth,Directed,442,,6
29,59,degree,Directed,443,,1
59,59,degree,Directed,444,,81
59,3,degree,Directed,445,,1
3,35,work,Directed,446,,363
126,31,birth,Directed,447,,4
31,3,degree,Directed,448,,482
3,137,degree,Directed,449,,1
137,3,degree,Directed,450,,2
3,92,degree,Directed,451,,46
92,3,work,Directed,452,,18
3,85,birth,Directed,453,,29
85,3,degree,Directed,454,,46
3,245,degree,Directed,455,,6
245,3,work,Directed,456,,2
929,3,birth,Directed,457,,6
3,227,birth,Directed,458,,6
227,3,degree,Directed,459,,1
39,35,work,Directed,460,,1
746,3,birth,Directed,461,,1
11,11,birth,Directed,462,,52
11,3,degree,Directed,463,,69
158,31,birth,Directed,464,,15
3,148,degree,Directed,465,,4
148,3,work,Directed,466,,3
435,31,birth,Directed,467,,4
82,3,birth,Directed,468,,41
9,56,birth,Directed,469,,51
56,56,degree,Directed,470,,32
56,3,degree,Directed,471,,2
3,195,degree,Directed,472,,3
195,3,degree,Directed,473,,2
14,14,birth,Directed,474,,96
9,9,birth,Directed,475,,635
3,160,degree,Directed,476,,7
160,3,work,Directed,477,,4
3,219,degree,Directed,478,,8
219,3,work,Directed,479,,2
478,48,birth,Directed,480,,1
48,3,degree,Directed,481,,14
3,189,degree,Directed,482,,33
189,3,work,Directed,483,,18
1332,3,birth,Directed,484,,10
14,126,degree,Directed,485,,2
126,3,degree,Directed,486,,6
3,137,degree,Directed,487,,11
137,3,work,Directed,488,,5
2147,28,birth,Directed,489,,2
28,32,degree,Directed,490,,9
32,3,degree,Directed,491,,9
3,136,degree,Directed,492,,6
136,3,work,Directed,493,,5
3,123,degree,Directed,494,,11
123,3,work,Directed,495,,4
495,3,birth,Directed,496,,20
1208,3,birth,Directed,497,,6
3,48,degree,Directed,498,,1
48,3,degree,Directed,499,,29
93,3,birth,Directed,500,,78
3,113,birth,Directed,501,,53
113,3,degree,Directed,502,,18
542,108,birth,Directed,503,,1
108,108,degree,Directed,504,,17
108,35,degree,Directed,505,,1
28,3,birth,Directed,506,,39
3,9,degree,Directed,507,,10
9,3,degree,Directed,508,,18
3,47,degree,Directed,509,,1
47,3,degree,Directed,510,,260
1802,3,birth,Directed,511,,1
60,99,birth,Directed,512,,2
3,60,degree,Directed,513,,25
60,60,work,Directed,514,,7
3,51,degree,Directed,515,,40
51,8,work,Directed,516,,1
28,28,birth,Directed,517,,263
3,118,degree,Directed,518,,17
967,14,birth,Directed,519,,1
14,14,degree,Directed,520,,32
3,3,birth,Directed,521,,92
3,3,degree,Directed,522,,157
57,111,birth,Directed,523,,1
111,3,degree,Directed,524,,1
32,32,birth,Directed,525,,317
32,32,degree,Directed,526,,11
32,3,degree,Directed,527,,134
3,32,work,Directed,528,,273
23,3,degree,Directed,529,,17
47,108,birth,Directed,530,,9
108,3,degree,Directed,531,,8
60,60,degree,Directed,532,,21
60,3,degree,Directed,533,,184
32,3,degree,Directed,534,,35
3,157,degree,Directed,535,,11
157,3,work,Directed,536,,1
9,33,birth,Directed,537,,8
33,3,degree,Directed,538,,1
93,14,birth,Directed,539,,79
47,19,birth,Directed,540,,8
19,3,degree,Directed,541,,5
129,129,birth,Directed,542,,18
129,3,degree,Directed,543,,1
9,30,birth,Directed,544,,7
30,14,degree,Directed,545,,5
903,68,birth,Directed,546,,7
68,121,degree,Directed,547,,6
