Source,Target,Kind,Type,Id,Label,Weight
246,28,birth,Directed,1,,1
28,1,degree,Directed,2,,1
1,18,degree,Directed,3,,2
18,18,degree,Directed,4,,1096
3,3,birth,Directed,5,,8
3,3,degree,Directed,6,,4
3,20,degree,Directed,7,,1
20,18,degree,Directed,8,,14
18,20,work,Directed,9,,16
108,18,birth,Directed,10,,2
18,24,degree,Directed,11,,6
24,3,degree,Directed,12,,1
3,18,degree,Directed,13,,20
18,24,work,Directed,14,,39
113,18,birth,Directed,15,,17
18,3,degree,Directed,16,,5
18,18,work,Directed,17,,418
18,18,birth,Directed,18,,310
18,18,degree,Directed,19,,169
18,18,degree,Directed,20,,660
18,3,degree,Directed,21,,6
3,18,work,Directed,22,,3
7,7,birth,Directed,23,,14
7,18,degree,Directed,24,,19
3,104,work,Directed,25,,1
11,18,birth,Directed,26,,21
18,3,degree,Directed,27,,7
3,18,degree,Directed,28,,12
183,4,birth,Directed,29,,1
4,30,degree,Directed,30,,1
30,30,degree,Directed,31,,2
30,12,degree,Directed,32,,1
12,18,degree,Directed,33,,14
55,21,birth,Directed,34,,1
21,21,degree,Directed,35,,5
21,18,degree,Directed,36,,22
18,99,work,Directed,37,,10
104,25,birth,Directed,38,,1
25,6,degree,Directed,39,,1
6,25,degree,Directed,40,,1
25,18,degree,Directed,41,,26
18,25,work,Directed,42,,40
7,18,degree,Directed,43,,9
192,19,birth,Directed,44,,1
19,8,degree,Directed,45,,1
8,19,degree,Directed,46,,1
19,18,degree,Directed,47,,44
18,19,work,Directed,48,,30
3,8,birth,Directed,49,,2
8,18,degree,Directed,50,,1
48,28,birth,Directed,51,,1
28,18,degree,Directed,52,,12
64,10,birth,Directed,53,,1
10,29,degree,Directed,54,,1
29,20,degree,Directed,55,,1
11,11,birth,Directed,56,,4
11,11,degree,Directed,57,,83
11,11,degree,Directed,58,,29
11,11,degree,Directed,59,,73
11,18,degree,Directed,60,,133
18,11,work,Directed,61,,84
281,11,birth,Directed,62,,1
18,7,work,Directed,63,,27
11,13,degree,Directed,64,,1
13,18,degree,Directed,65,,1
28,28,birth,Directed,66,,90
28,18,degree,Directed,67,,138
18,11,degree,Directed,68,,19
11,28,work,Directed,69,,4
319,28,birth,Directed,70,,1
11,7,work,Directed,71,,1
159,11,birth,Directed,72,,2
11,18,degree,Directed,73,,44
11,11,work,Directed,74,,5
34,11,birth,Directed,75,,1
11,19,degree,Directed,76,,2
18,28,work,Directed,77,,255
2,36,birth,Directed,78,,1
36,36,degree,Directed,79,,2
36,28,degree,Directed,80,,1
28,18,degree,Directed,81,,59
188,14,birth,Directed,82,,1
14,30,degree,Directed,83,,1
30,18,degree,Directed,84,,1
18,365,work,Directed,85,,1
28,18,birth,Directed,86,,102
18,18,degree,Directed,87,,5
18,16,degree,Directed,88,,2
16,28,work,Directed,89,,1
143,18,birth,Directed,90,,4
18,17,degree,Directed,91,,1
18,18,degree,Directed,92,,18
18,28,degree,Directed,93,,19
3,18,birth,Directed,94,,15
27,18,birth,Directed,95,,1
290,18,birth,Directed,96,,1
201,18,birth,Directed,97,,1
18,26,degree,Directed,98,,4
26,18,degree,Directed,99,,7
18,32,degree,Directed,100,,1
305,18,birth,Directed,101,,3
