Id,Label,Modularity Class,City,State,Country,Latitude,Longitude
1,"rio de janeiro,rio de janeiro,brazil",,rio de janeiro,rio de janeiro,brazil,-22.903,-43.208
2,"recife,pernambuco,brazil",,recife,pernambuco,brazil,-8.054,-34.881
3,"porto alegre,rio grande do sul,brazil",,porto alegre,rio grande do sul,brazil,-30.033,-51.23
4,"new york city,new york,united states",,new york city,new york,united states,40.71427,-74.00597
5,"joao pessoa,paraiba,brazil",,joao pessoa,paraiba,brazil,-7.115,-34.863
6,"fortaleza,ceara,brazil",,fortaleza,ceara,brazil,-3.717,-38.543
7,"cuiaba,mato grosso,brazil",,cuiaba,mato grosso,brazil,-15.596,-56.097
8,"vicosa,minas gerais,brazil",,vicosa,minas gerais,brazil,-20.754,-42.882
9,"natal,rio grande do norte,brazil",,natal,rio grande do norte,brazil,-5.795,-35.209
10,"sao luis,maranhao,brazil",,sao luis,maranhao,brazil,-2.53,-44.303
11,"manaus,amazonas,brazil",,manaus,amazonas,brazil,-3.102,-60.025
12,"campina grande,paraiba,brazil",,campina grande,paraiba,brazil,-7.231,-35.881
13,"florianopolis,santa catarina,brazil",,florianopolis,santa catarina,brazil,-27.597,-48.549
14,"juiz de fora,minas gerais,brazil",,juiz de fora,minas gerais,brazil,-21.764,-43.35
15,"waterloo,ontario,canada",,waterloo,ontario,canada,43.4668,-80.51639
16,"sao paulo,sao paulo,brazil",,sao paulo,sao paulo,brazil,-23.548,-46.636
17,"bauru,sao paulo,brazil",,bauru,sao paulo,brazil,-22.315,-49.061
18,"brasilia,federal district,brazil",,brasilia,federal district,brazil,-15.78,-47.93
19,"salvador,bahia,brazil",,salvador,bahia,brazil,-12.971,-38.511
20,"belo horizonte,minas gerais,brazil",,belo horizonte,minas gerais,brazil,-19.817,-43.956
21,"belem,para,brazil",,belem,para,brazil,-1.456,-48.504
22,"leeds,england,united kingdom",,leeds,england,united kingdom,53.79648,-1.54785
23,"santa maria,rio grande do sul,brazil",,santa maria,rio grande do sul,brazil,-29.684,-53.807
24,"buenos aires,buenos aires f.d.,argentina",,buenos aires,buenos aires f.d.,argentina,-34.61315,-58.37723
25,"maceio,alagoas,brazil",,maceio,alagoas,brazil,-9.666,-35.735
26,"campos dos goytacazes,rio de janeiro,brazil",,campos dos goytacazes,rio de janeiro,brazil,-21.754,-41.324
27,"rennes,brittany,france",,rennes,brittany,france,48.11198,-1.67429
28,"nanterre,île-de-france,france",,nanterre,île-de-france,france,48.89198,2.20675
29,"vitoria da conquista,bahia,brazil",,vitoria da conquista,bahia,brazil,-14.866,-40.839
30,"campinas,sao paulo,brazil",,campinas,sao paulo,brazil,-22.906,-47.061
31,"crato,ceara,brazil",,crato,ceara,brazil,-7.234,-39.409
32,"cascavel,parana,brazil",,cascavel,parana,brazil,-24.956,-53.455
33,"goiania,goias,brazil",,goiania,goias,brazil,-16.679,-49.254
34,"teresina,piaui,brazil",,teresina,piaui,brazil,-5.089,-42.802
35,"florence,tuscany,italy",,florence,tuscany,italy,43.77925,11.24626
36,"mossoro,rio grande do norte,brazil",,mossoro,rio grande do norte,brazil,-5.188,-37.344
37,"uberlandia,minas gerais,brazil",,uberlandia,minas gerais,brazil,-18.919,-48.277
38,"niteroi,rio de janeiro,brazil",,niteroi,rio de janeiro,brazil,-22.883,-43.104
39,"guarulhos,sao paulo,brazil",,guarulhos,sao paulo,brazil,-23.463,-46.533
40,"paris,île-de-france,france",,paris,île-de-france,france,48.85341,2.3488
41,"guarapuava,parana,brazil",,guarapuava,parana,brazil,-25.395,-51.458
42,"toulouse,midi-pyrénées,france",,toulouse,midi-pyrénées,france,43.60426,1.44367
43,"boa vista,roraima,brazil",,boa vista,roraima,brazil,2.82,-60.673
44,"sao cristovao,sergipe,brazil",,sao cristovao,sergipe,brazil,-11.015,-37.206
45,"college park,maryland,united states",,college park,maryland,united states,38.98067,-76.93692
46,"curitiba,parana,brazil",,curitiba,parana,brazil,-25.428,-49.273
47,"college station,texas,united states",,college station,texas,united states,30.62798,-96.33441
48,"piracicaba,sao paulo,brazil",,piracicaba,sao paulo,brazil,-22.725,-47.649
49,"jaboticabal,sao paulo,brazil",,jaboticabal,sao paulo,brazil,-21.255,-48.322
50,"sao leopoldo,rio grande do sul,brazil",,sao leopoldo,rio grande do sul,brazil,-29.76,-51.147
51,"lisbon,lisbon,portugal",,lisbon,lisbon,portugal,38.71667,-9.13333
52,"sao jose dos campos,sao paulo,brazil",,sao jose dos campos,sao paulo,brazil,-23.179,-45.887
53,"sevilla,andalusia,spain",,sevilla,andalusia,spain,37.38283,-5.97317
54,"edinburgh,scotland,united kingdom",,edinburgh,scotland,united kingdom,55.95206,-3.19648
55,"epinal,lorraine,france",,epinal,lorraine,france,48.18333,6.45
56,"sao carlos,sao paulo,brazil",,sao carlos,sao paulo,brazil,-22.018,-47.891
57,"maringa,parana,brazil",,maringa,parana,brazil,-23.425,-51.939
58,"ilheus,bahia,brazil",,ilheus,bahia,brazil,-14.789,-39.049
59,"porto,porto,portugal",,porto,porto,portugal,41.14961,-8.61099
60,"itajuba,minas gerais,brazil",,itajuba,minas gerais,brazil,-22.426,-45.453
