Id,Label,Modularity Class,City,State,Country,Latitude,Longitude
1,"lavras,minas gerais,brazil",,lavras,minas gerais,brazil,-21.245,-45
2,"sao paulo,sao paulo,brazil",,sao paulo,sao paulo,brazil,-23.548,-46.636
3,"rio de janeiro,rio de janeiro,brazil",,rio de janeiro,rio de janeiro,brazil,-22.903,-43.208
4,"curitiba,parana,brazil",,curitiba,parana,brazil,-25.428,-49.273
5,"brasilia,federal district,brazil",,brasilia,federal district,brazil,-15.78,-47.93
6,"pelotas,rio grande do sul,brazil",,pelotas,rio grande do sul,brazil,-31.772,-52.343
7,"salvador,bahia,brazil",,salvador,bahia,brazil,-12.971,-38.511
8,"belo horizonte,minas gerais,brazil",,belo horizonte,minas gerais,brazil,-19.817,-43.956
9,"belem,para,brazil",,belem,para,brazil,-1.456,-48.504
10,"campinas,sao paulo,brazil",,campinas,sao paulo,brazil,-22.906,-47.061
11,"recife,pernambuco,brazil",,recife,pernambuco,brazil,-8.054,-34.881
12,"porto alegre,rio grande do sul,brazil",,porto alegre,rio grande do sul,brazil,-30.033,-51.23
13,"new york city,new york,united states",,new york city,new york,united states,40.71427,-74.00597
14,"santa maria,rio grande do sul,brazil",,santa maria,rio grande do sul,brazil,-29.684,-53.807
15,"ribeirao preto,sao paulo,brazil",,ribeirao preto,sao paulo,brazil,-21.178,-47.81
16,"paris,île-de-france,france",,paris,île-de-france,france,48.85341,2.3488
17,"juiz de fora,minas gerais,brazil",,juiz de fora,minas gerais,brazil,-21.764,-43.35
18,"joao pessoa,paraiba,brazil",,joao pessoa,paraiba,brazil,-7.115,-34.863
19,"fortaleza,ceara,brazil",,fortaleza,ceara,brazil,-3.717,-38.543
20,"cuiaba,mato grosso,brazil",,cuiaba,mato grosso,brazil,-15.596,-56.097
21,"vicosa,minas gerais,brazil",,vicosa,minas gerais,brazil,-20.754,-42.882
22,"porto,porto,portugal",,porto,porto,portugal,41.14961,-8.61099
23,"feira de santana,bahia,brazil",,feira de santana,bahia,brazil,-12.267,-38.967
24,"natal,rio grande do norte,brazil",,natal,rio grande do norte,brazil,-5.795,-35.209
25,"sao luis,maranhao,brazil",,sao luis,maranhao,brazil,-2.53,-44.303
26,"manaus,amazonas,brazil",,manaus,amazonas,brazil,-3.102,-60.025
27,"rio branco,acre,brazil",,rio branco,acre,brazil,-9.975,-67.81
28,"campina grande,paraiba,brazil",,campina grande,paraiba,brazil,-7.231,-35.881
29,"sao goncalo,rio de janeiro,brazil",,sao goncalo,rio de janeiro,brazil,-22.827,-43.054
30,"ijui,rio grande do sul,brazil",,ijui,rio grande do sul,brazil,-28.388,-53.915
31,"sobral,ceara,brazil",,sobral,ceara,brazil,-3.674,-40.239
