"id";"name_pt";"name_en";"code";"name_ascii_pt"
20;"bahamas";"bahamas";"BHS";"bahamas"
159;"maurícia";"mauritius";"MAU";"mauricio"
62;"egito";"egypt";"EGI";"egito"
15;"arménia";"armenia";"ARM";"armenia"
111;"ilhas cook";"cook islands";"COK";"ilhas cook"
6;"samoa americana";"american samoa";"ASM";"samoa americana"
19;"azerbaijão";"azerbaijan";"AZE";"azerbaijao"
22;"barbados";"barbados";"BRB";"barbados"
26;"belize";"belize";"BLZ";"belize"
39;"cabo verde";"cape verde";"CBV";"cabo verde"
23;"barém";"bahrain";"BAR";"barem"
33;"brasil";"brazil";"BRA";"brasil"
37;"burundi";"burundi";"BUR";"burundi"
25;"bélgica";"belgium";"BEL";"belgica"
40;"camarões";"cameroon";"CAM";"camaroes"
30;"bolívia";"bolivia";"BOL";"bolivia"
38;"butão";"bhutan";"BUT";"butao"
32;"botsuana";"botswana";"BOT";"botsuana"
35;"bulgária";"bulgaria";"BUL";"bulgaria"
41;"camboja";"cambodia";"CBJ";"camboja"
42;"canadá";"canada";"CAN";"canada"
43;"catar";"qatar";"CAT";"catar"
44;"cazaquistão";"kazakhstan";"CAZ";"cazaquistao"
46;"chade";"chad";"CHA";"chade"
47;"chile";"chile";"CHL";"chile"
48;"china";"china";"CHN";"china"
49;"chipre";"cyprus";"CHP";"chipre"
50;"colômbia";"colombia";"COL";"colombia"
52;"congo";"congo";"CON";"congo"
51;"comores";"comoros";"COM";"comores"
57;"costa rica";"costa rica";"CRC";"costa rica"
58;"croácia";"croatia";"CRO";"croacia"
59;"cuba";"cuba";"CUB";"cuba"
60;"dinamarca";"denmark";"DIN";"dinamarca"
64;"equador";"ecuador";"EQU";"equador"
65;"eritreia";"eritrea";"ERT";"eritreia"
66;"eslováquia";"slovakia";"SVK";"eslovaquia"
73;"fiji";"fiji";"FJI";"fiji"
68;"espanha";"spain";"ESP";"espanha"
70;"estónia";"estonia";"EST";"estonia"
71;"etiópia";"ethiopia";"ETP";"etiopia"
74;"filipinas";"philippines";"FIL";"filipinas"
75;"finlândia";"finland";"FIN";"finlandia"
76;"frança";"france";"FRA";"franca"
77;"gabão";"gabon";"GAB";"gabao"
79;"gana";"ghana";"GAN";"gana"
78;"gâmbia";"gambia";"GAM";"gambia"
80;"geórgia";"georgia";"GEO";"georgia"
83;"grécia";"greece";"GRE";"grecia"
81;"gibraltar";"gibraltar";"GIB";"gibraltar"
