id;name;name_ascii;abbr;location_id;created_at;updated_at
1;universidade de são paulo;universidade de sao paulo;usp;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
2;instituto dante pazzanese de cardiologia;instituto dante pazzanese de cardiologia;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
3;universidade paulista;universidade paulista;unip;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
4;centro universitário das faculdades metropolitanas unidas;centro universitario das faculdades metropolitanas unidas;fmu;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
5;fundação getúlio vargas - sp;fundacao getulio vargas sp;fgv/sp;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
6;hospital das clínicas da faculdade de medicina da universidade de são paulo;hospital das clinicas da faculdade de medicina da universidade de sao paulo;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
7;faculdade de ciências médicas da santa casa de são paulo;faculdade de ciencias medicas da santa casa de sao paulo;fcmscsp;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
8;hospital das clínicas da faculdade de medicina da usp;hospital das clinicas da faculdade de medicina da usp;usp;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
9;universidade cidade de são paulo;universidade cidade de sao paulo;unicid;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
10;universidade presbiteriana mackenzie;universidade presbiteriana mackenzie;upm;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
11;pontifícia universidade católica de são paulo;pontificia universidade catolica de sao paulo;puc-sp;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
12;comissão nacional de energia nuclear;comissao nacional de energia nuclear;cnen;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
13;fac. de filosofia, letras e ciências humanas - usp;fac de filosofia letras e ciencias humanas usp;fflch;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
14;universidade de santo amaro;universidade de santo amaro;unisa;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
15;faculdades integradas rio branco;faculdades integradas rio branco;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
16;instituto butantan;instituto butantan;ibu;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
17;instituto federal de são paulo;instituto federal de sao paulo;ifsp;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
18;universidade são judas tadeu;universidade sao judas tadeu;usjt;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
19;faculdades oswaldo cruz;faculdades oswaldo cruz;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
20;faculdade cásper líbero;faculdade casper libero;fcl;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
21;agência paulista de tecnologia dos agronegócios;agencia paulista de tecnologia dos agronegocios;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
22;fundação antônio prudente;fundacao antonio prudente;fap;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
23;associação paulista de cirurgiões dentistas;associacao paulista de cirurgioes dentistas;apcd;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
24;centro universitário adventista de são paulo;centro universitario adventista de sao paulo;unasp;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
25;universidade nove de julho;universidade nove de julho;uninove;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
26;polícia militar do estado de são paulo;policia militar do estado de sao paulo;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
27;escola de enfermagem da usp;escola de enfermagem da usp;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
28;faculdade messianica;faculdade messianica;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
29;exército brasileiro;exercito brasileiro;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
30;universidade cruzeiro do sul;universidade cruzeiro do sul;unicsul;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
31;fundação armando álvares penteado;fundacao armando alvares penteado;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
32;centro universitário são camilo;centro universitario sao camilo;cusc;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
33;instituto de botanica;instituto de botanica;ibt;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
34;universidade camilo castelo branco;universidade camilo castelo branco;unicastelo;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
35;centro brasileiro de análise e planejamento;centro brasileiro de analise e planejamento;cebrap;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
36;universidade anhembi morumbi;universidade anhembi morumbi;uam;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
37;instituto biológico;instituto biologico;ibsp;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
38;faculdade de tecnologia de são paulo;faculdade de tecnologia de sao paulo;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
39;instituto de assistência médica ao servidor público estadual;instituto de assistencia medica ao servidor publico estadual;iamspe;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
40;centro universitário ítalo-brasileiro;centro universitario italo brasileiro;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
41;faculdades metropolitanas unidas;faculdades metropolitanas unidas;fmu;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
42;universidade bandeirante de são paulo;universidade bandeirante de sao paulo;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
43;centro universitário assunção;centro universitario assuncao;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
44;colégio dante alighieri;colegio dante alighieri;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
45;instituto de pesquisas energéticas e nucleares;instituto de pesquisas energeticas e nucleares;ipen;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
46;centro estadual de educação tecnológica paula souza;centro estadual de educacao tecnologica paula souza;ceeteps;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
47;fundação getúlio vargas;fundacao getulio vargas;fgv;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
48;instituto adolfo lutz;instituto adolfo lutz;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
49;instituto de pesquisas tecnológicas do estado de são paulo;instituto de pesquisas tecnologicas do estado de sao paulo;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
50;faculdade autônoma de direito;faculdade autonoma de direito;fadisp;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
51;escola de comunicações e artes da universidade de são paulo;escola de comunicacoes e artes da universidade de sao paulo;eca/usp;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
52;faculdade paulus de tecnologia e comunicação;faculdade paulus de tecnologia e comunicacao;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
53;prefeitura municipal de são paulo;prefeitura municipal de sao paulo;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
54;museu de zoologia da universidade de são paulo;museu de zoologia da universidade de sao paulo;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
55;fundação escola de sociologia e política de são paulo;fundacao escola de sociologia e politica de sao paulo;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
56;instituto israelita de ensino e pesquisa albert einstein;instituto israelita de ensino e pesquisa albert einstein;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
57;hospital do servidor público estadual de são paulo;hospital do servidor publico estadual de sao paulo;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
58;centro universitário sant´anna;centro universitario sant anna;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
59;fundação jorge duprat figueiredo de segurança e medicina do trabalho;fundacao jorge duprat figueiredo de seguranca e medicina do trabalho;fundacentro;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
60;centro universitário senac;centro universitario senac;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
61;universidade ibirapuera;universidade ibirapuera;unib;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
62;hospital israelita albert einstein;hospital israelita albert einstein;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
63;centro universitário salesiano são paulo;centro universitario salesiano sao paulo;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
64;escola politécnica da universidade de são paulo;escola politecnica da universidade de sao paulo;usp;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
65;escola superior de propaganda e marketing;escola superior de propaganda e marketing;espm;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
66;hospital das clínicas da fmusp;hospital das clinicas da fmusp;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
67;irmandade da santa casa de misericórdia de são paulo;irmandade da santa casa de misericordia de sao paulo;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
68;faculdade de economia, administração e contabilidade - usp;faculdade de economia administracao e contabilidade usp;fea/usp;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
69;universidade são marcos;universidade sao marcos;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
70;instituto de ensino e pesquisa;instituto de ensino e pesquisa;insper;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
71;faculdade impacta de tecnologia;faculdade impacta de tecnologia;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
72;faculdades integradas campos salles;faculdades integradas campos salles;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
73;centro universitário barão de mauá - jardim paulista;centro universitario barao de maua jardim paulista;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
74;instituto de biociências da usp;instituto de biociencias da usp;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
75;hospital heliópolis - unidade de gestão assistencial 1;hospital heliopolis unidade de gestao assistencial 1;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
76;instituto de astronomia, geofísica e ciências atmosféricas;instituto de astronomia geofisica e ciencias atmosfericas;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
77;hospital sírio-libanês;hospital sirio libanes;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
78;faculdade fia de administração e negócios;faculdade fia de administracao e negocios;ffia;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
79;escola dominicana de teologia;escola dominicana de teologia;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
80;instituto superior de educação vera cruz;instituto superior de educacao vera cruz;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
81;escola superior de artes célia helena;escola superior de artes celia helena;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
82;instituto federal de educação, ciência e tecnologia de são paulo;instituto federal de educacao ciencia e tecnologia de sao paulo;ifsp;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
83;hospital do servidor público municipal;hospital do servidor publico municipal;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
84;insper instituto de ensino e pesquisa;insper instituto de ensino e pesquisa;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
85;faculdade de medicina da usp;faculdade de medicina da usp;fmusp;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
86;instituto de ciências biomédicas;instituto de ciencias biomedicas;icb;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
87;faculdade de saúde pública da universidade de são paulo;faculdade de saude publica da universidade de sao paulo;fsp/usp;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
88;faculdade de odontologia da universidade de são paulo;faculdade de odontologia da universidade de sao paulo;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
89;faculdade teológica batista de são paulo;faculdade teologica batista de sao paulo;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
90;centro universitário belas artes de são paulo;centro universitario belas artes de sao paulo;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
91;faculdade método de são paulo;faculdade metodo de sao paulo;"";10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
92;governo do estado de são paulo;governo do estado de sao paulo;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
93;faculdade de saúde pública;faculdade de saude publica;;10;2015-02-23 20:35:19.727272;2015-02-23 20:35:20.639139
