"name_pt";"name_ascii_pt";"code";"name_en"
"arménia";"armenia";"ARM";"armenia"
"ilhas cook";"ilhas cook";"COK";"cook islands"
"samoa americana";"samoa americana";"ASM";"american samoa"
"azerbaijão";"azerbaijao";"AZE";"azerbaijan"
"barbados";"barbados";"BRB";"barbados"
"belize";"belize";"BLZ";"belize"
"cabo verde";"cabo verde";"CBV";"cape verde"
"barém";"barem";"BAR";"bahrain"
"brasil";"brasil";"BRA";"brazil"
"burundi";"burundi";"BUR";"burundi"
"bélgica";"belgica";"BEL";"belgium"
"camarões";"camaroes";"CAM";"cameroon"
"bolívia";"bolivia";"BOL";"bolivia"
"butão";"butao";"BUT";"bhutan"
"botsuana";"botsuana";"BOT";"botswana"
"bulgária";"bulgaria";"BUL";"bulgaria"
"camboja";"camboja";"CBJ";"cambodia"
"canadá";"canada";"CAN";"canada"
"catar";"catar";"CAT";"qatar"
"cazaquistão";"cazaquistao";"CAZ";"kazakhstan"
"chade";"chade";"CHA";"chad"
"chile";"chile";"CHL";"chile"
"china";"china";"CHN";"china"
"chipre";"chipre";"CHP";"cyprus"
"colômbia";"colombia";"COL";"colombia"
"congo";"congo";"CON";"congo"
"comores";"comores";"COM";"comoros"
"costa rica";"costa rica";"CRC";"costa rica"
"croácia";"croacia";"CRO";"croatia"
"cuba";"cuba";"CUB";"cuba"
"dinamarca";"dinamarca";"DIN";"denmark"
"egipto";"egipto";"EGI";"egypt"
"equador";"equador";"EQU";"ecuador"
"eritreia";"eritreia";"ERT";"eritrea"
"eslováquia";"eslovaquia";"SVK";"slovakia"
"fiji";"fiji";"FJI";"fiji"
"espanha";"espanha";"ESP";"spain"
"estónia";"estonia";"EST";"estonia"
"etiópia";"etiopia";"ETP";"ethiopia"
"filipinas";"filipinas";"FIL";"philippines"
"finlândia";"finlandia";"FIN";"finland"
"frança";"franca";"FRA";"france"
"gabão";"gabao";"GAB";"gabon"
"gana";"gana";"GAN";"ghana"
"gâmbia";"gambia";"GAM";"gambia"
"geórgia";"georgia";"GEO";"georgia"
"grécia";"grecia";"GRE";"greece"
"gibraltar";"gibraltar";"GIB";"gibraltar"
"guatemala";"guatemala";"GUA";"guatemala"
"guiana";"guiana";"GUI";"guyana"
"guam";"guam";"GUM";"guam"
"guiana francesa";"guiana francesa";"GFR";"french guiana"
"guiné";"guine";"GNE";"guinea"
"haiti";"haiti";"HTI";"haiti"
"honduras";"honduras";"HON";"honduras"
"hungria";"hungria";"HUN";"hungary"
"iémen";"iemen";"IEM";"yemen"
"ilhas caiman";"ilhas caiman";"CYM";"cayman islands"
"ilhas feroe";"ilhas feroe";"IFA";"faroe islands"
"ilhas marshall";"ilhas marshall";"IMH";"marshall islands"
"ilhas salomão";"ilhas salomao";"SLB";"solomon islands"
"dominica";"dominica";"DON";"dominica"
"ilhas virgens americanas";"ilhas virgens americanas";"IVA";"united states virgin islands"
"ilhas virgens britânicas";"ilhas virgens britanicas";"VGB";"british virgin islands"
"ilha christmas";"ilha christmas";"CXR";"christmas island"
"índia";"india";"IND";"india"
"indonésia";"indonesia";"IDN";"indonesia"
"iraque";"iraque";"IRQ";"iraq"
"irlanda";"irlanda";"IRL";"ireland"
"israel";"israel";"ISR";"israel"
"itália";"italia";"ITA";"italy"
"japão";"japao";"JAP";"japan"
"jordânia";"jordania";"JOR";"jordan"
"kiribati";"kiribati";"KIR";"kiribati"
"kuwait";"kuwait";"KWT";"kuwait"
"albânia";"albania";"ALB";"albania"
"libéria";"liberia";"LBR";"liberia"
"líbano";"libano";"LBN";"lebanon"
"listenstaine";"listenstaine";"LIE";"liechtenstein"
"lituânia";"lituania";"LIT";"lithuania"
"luxemburgo";"luxemburgo";"LUX";"luxembourg"
"macau";"macau";"MAC";"macao"
"macedônia";"macedonia";"MCD";"macedonia"
"malavi";"malavi";"MLV";"malawi"
"maldivas";"maldivas";"MDV";"maldives"
"mali";"mali";"MLI";"mali"
"malta";"malta";"MLT";"malta"
"marrocos";"marrocos";"MAR";"morocco"
"martinica";"martinica";"MRT";"martinique"
"maurícia";"mauricia";"MAU";"mauritius"
"méxico";"mexico";"MEX";"mexico"
"rússia";"russia";"RSS";"russia"
"mianmar";"mianmar";"MMR";"myanmar burma"
"sérvia";"servia";"RS";"serbia"
"moldávia";"moldavia";"MOL";"moldova"
"mónaco";"monaco";"MON";"monaco"
"mongólia";"mongolia";"MGL";"mongolia"
"montserrat";"montserrat";"MSR";"montserrat"
"namíbia";"namibia";"NAM";"namibia"
"nauru";"nauru";"NRU";"nauru"
"níger";"niger";"NIG";"niger"
"nepal";"nepal";"NPL";"nepal"
"niue";"niue";"NIU";"niue"
"noruega";"noruega";"NOR";"norway"
"argélia";"argelia";"ARL";"algeria"
"arábia saudita";"arabia saudita";"ARA";"saudi arabia"
"bahamas";"bahamas";"BHS";"bahamas, the"
"austrália";"australia";"AUS";"australia"
"angola";"angola";"ANG";"angola"
"alemanha";"alemanha";"RFA";"germany"
"austria";"austria";"AUT";"austria"
"andorra";"andorra";"AND";"andorra"
"bangladesh";"bangladeche";"BGD";"bangladesh"
"polinésia francesa";"polinesia francesa";"PLF";"french polynesia"
"polónia";"polonia";"POL";"poland"
"porto rico";"porto rico";"PTR";"puerto rico"
"quénia";"quenia";"QUE";"kenya"
"quirguizistão";"quirguizistao";"QUI";"kyrgyzstan"
"portugal";"portugal";"POR";"portugal"
"república tcheca";"republica tcheca";"TCH";"czech republic"
"roménia";"romenia";"ROM";"romania"
"ruanda";"ruanda";"RUA";"rwanda"
"sahara occidental";"sahara occidental";"ESH";"western sahara"
"coréia do norte";"coreia do norte";"CRN";"korea north"
"zaire";"zaire";"ZAR";"zaire"
"granada";"granada";"GRB";"grenada"
"ilha santa helena";"ilha santa helena";"SHN";"saint helena"
"samoa ocidental";"samoa ocidental";"SAM";"samoa"
"irã";"ira";"IRA";"iran"
"são cristóvão e neves";"sao cristovao e neves";"KNA";"saint kitts and nevis"
"são marino";"sao marino";"SMR";"san marino"
"são pedro e miquelão";"sao pedro e miquelao";"SPM";"saint pierre and miquelon"
"seicheles";"seicheles";"SYC";"seychelles"
"senegal";"senegal";"SEN";"senegal"
"el salvador";"el salvador";"ELS";"el salvador"
"serra leoa";"serra leoa";"SRL";"sierra leone"
"síria";"siria";"SIR";"syria"
"somália";"somalia";"SOM";"somalia"
