"nome";"nome_ascii";"uf";"latitude";"longitude"
"Capela do Alto";"capela do alto";"SP";-23.4710;-47.7350
"Nova Olinda do Maranhão";"nova olinda do maranhao";"MA";-2.8470;-45.6950
"Itaueira";"itaueira";"PI";-7.6030;-43.0260
"Patos";"patos";"PB";-7.0240;-37.2800
"Goianira";"goianira";"GO";-16.4960;-49.4260
"Conceição do Rio Verde";"conceicao do rio verde";"MG";-21.8810;-45.0850
"Santa Maria";"santa maria";"RN";-5.8400;-35.6950
"Salgado Filho";"salgado filho";"PR";-26.1700;-53.3610
"Alto Horizonte";"alto horizonte";"GO";-14.1960;-49.3390
"Santo Amaro das Brotas";"santo amaro das brotas";"SE";-10.7890;-37.0540
"São José do Povo";"sao jose do povo";"MT";-16.4650;-54.2550
"Formoso do Araguaia";"formoso do araguaia";"TO";-11.7970;-49.5290
"Cansanção";"cansancao";"BA";-10.6710;-39.4980
"Paranaíba";"paranaiba";"MS";-19.6770;-51.1910
"Anápolis";"anapolis";"GO";-16.3270;-48.9530
"Bonfinópolis";"bonfinopolis";"GO";-16.6180;-48.9630
"Una";"una";"BA";-15.2930;-39.0750
"Carnaúba dos Dantas";"carnauba dos dantas";"RN";-6.5560;-36.5950
"Buíque";"buique";"PE";-8.6230;-37.1560
"Dom Silvério";"dom silverio";"MG";-20.1600;-42.9680
"Petrolândia";"petrolandia";"SC";-27.5350;-49.6980
"Vitória Brasil";"vitoria brasil";"SP";-20.1970;-50.4840
"Balneário Camboriú";"balneario camboriu";"SC";-26.9910;-48.6350
"Apuarema";"apuarema";"BA";-13.8560;-39.7440
"Erebango";"erebango";"RS";-27.8550;-52.3020
"Glória";"gloria";"BA";-9.3390;-38.2570
"Mariápolis";"mariapolis";"SP";-21.7990;-51.1810
"Raposos";"raposos";"MG";-19.9670;-43.8040
"Várzea Grande";"varzea grande";"PI";-6.5450;-42.2460
"São Miguel do Passa Quatro";"sao miguel do passa quatro";"GO";-17.0590;-48.6630
"Pentecoste";"pentecoste";"CE";-3.7930;-39.2700
"Derrubadas";"derrubadas";"RS";-27.2650;-53.8610
"Capão Alto";"capao alto";"SC";-27.9370;-50.5120
"Imbé";"imbe";"RS";-29.9750;-50.1280
"Desterro de Entre Rios";"desterro de entre rios";"MG";-20.6600;-44.3330
"São Roque do Canaã";"sao roque do canaa";"ES";-19.7390;-40.6570
"Itainópolis";"itainopolis";"PI";-7.4470;-41.4780
"Lagoa Salgada";"lagoa salgada";"RN";-6.1340;-35.4940
"Oliveira dos Brejinhos";"oliveira dos brejinhos";"BA";-12.3170;-42.8960
"Paulicéia";"pauliceia";"SP";-21.3180;-51.8310
"Canapi";"canapi";"AL";-9.1270;-37.6050
"Rio Preto da Eva";"rio preto da eva";"AM";-2.6990;-59.7000
"Presidente Tancredo Neves";"presidente tancredo neves";"BA";-13.4490;-39.4200
"Barreirinha";"barreirinha";"AM";-2.7930;-57.0700
"Águas de Lindóia";"aguas de lindoia";"SP";-22.4760;-46.6330
"Morro Redondo";"morro redondo";"RS";-31.5880;-52.6330
"Novo Barreiro";"novo barreiro";"RS";-27.9090;-53.1080
"Arapongas";"arapongas";"PR";-23.4190;-51.4240
"Diamantina";"diamantina";"MG";-18.2490;-43.6000
"Lavras";"lavras";"MG";-21.2450;-45.0000
"Rio dos Bois";"rio dos bois";"TO";-9.2930;-48.4660
"Cachoeirinha";"cachoeirinha";"RS";-29.9510;-51.0940
"Virmond";"virmond";"PR";-25.3810;-52.1990
"Birigui";"birigui";"SP";-21.2890;-50.3400
"Cedral";"cedral";"SP";-20.9030;-49.2680
"Milagres";"milagres";"CE";-7.3130;-38.9460
"Junqueiro";"junqueiro";"AL";-9.9250;-36.4760
"Fortaleza de Minas";"fortaleza de minas";"MG";-20.8490;-46.7180
