name;name_ascii;latitude;longitude
universidade paulista;universidade paulista;-23.548;-46.636
universidade estácio de sá;universidade estácio de sá;-22.903;-43.208
universidade federal do rio de janeiro;universidade federal do rio de janeiro;-22.903;-43.208
universidade bandeirante de são paulo;universidade bandeirante de são paulo;-23.548;-46.636
universidade nove de julho;universidade nove de julho;-23.548;-46.636
universidade de são paulo;universidade de são paulo;-23.548;-46.636
centro universitário anhanguera de são paulo;centro universitário anhanguera de são paulo;-23.548;-46.636
universidade federal da bahia;universidade federal da bahia;-12.971;-38.511
universidade federal de minas gerais;universidade federal de minas gerais;-19.817;-43.956
universidade de brasília;universidade de brasília;-15.78;-47.93
universidade federal do paraná;universidade federal do paraná;-25.428;-49.273
universidade anhembi morumbi;universidade anhembi morumbi;-23.548;-46.636
universidade federal de santa catarina;universidade federal de santa catarina;-27.597;-48.549
universidade federal do rio grande do norte;universidade federal do rio grande do norte;-5.795;-35.209
universidade federal do rio grande do sul;universidade federal do rio grande do sul;-30.033;-51.23
universidade federal de santa maria;universidade federal de santa maria;-29.684;-53.807
universidade federal fluminense;universidade federal fluminense;-22.883;-43.104
centro universitário das faculdades metropolitanas unidas;centro universitário das faculdades metropolitanas unidas;-23.548;-46.636
universidade cruzeiro do sul;universidade cruzeiro do sul;-23.548;-46.636
universidade federal da paraíba;universidade federal da paraíba;-7.115;-34.863
universidade federal de uberlândia;universidade federal de uberlândia;-18.919;-48.277
universidade estadual de londrina;universidade estadual de londrina;-23.31;-51.163
universidade federal de goiás;universidade federal de goiás;-16.679;-49.254
centro universitário estácio radial de são paulo - estácio uniradial;centro universitário estácio radial de são paulo - estácio uniradial;-23.548;-46.636
universidade federal de pernambuco;universidade federal de pernambuco;-8.054;-34.881
universidade federal de sergipe;universidade federal de sergipe;-11.015;-37.206
universidade federal do espírito santo;universidade federal do espírito santo;-20.319;-40.338
universidade federal do ceará;universidade federal do ceará;-3.717;-38.543
universidade de caxias do sul;universidade de caxias do sul;-29.168;-51.179
universidade luterana do brasil;universidade luterana do brasil;-29.918;-51.184
universidade federal de pelotas;universidade federal de pelotas;-31.772;-52.343
universidade federal de juiz de fora;universidade federal de juiz de fora;-21.764;-43.35
universidade federal do amazonas;universidade federal do amazonas;-3.102;-60.025
pontifícia universidade católica de minas gerais;pontifícia universidade católica de minas gerais;-19.817;-43.956
universidade do vale do rio dos sinos;universidade do vale do rio dos sinos;-29.76;-51.147
universidade federal do pará;universidade federal do pará;-1.456;-48.504
centro universitário una;centro universitário una;-19.817;-43.956
centro universitário jorge amado;centro universitário jorge amado;-12.971;-38.511
universidade do estado do rio de janeiro;universidade do estado do rio de janeiro;-22.903;-43.208
universidade de passo fundo;universidade de passo fundo;-28.263;-52.407
