"id";"name";"name_ascii";"abbr";"city";"state";"country";"latitude";"longitude"
58;"instituto federal de educação, ciência e tecnologia do sul de minas gerais";"instituto federal de educacao ciencia e tecnologia do sul de minas gerais";"";"inconfidentes";"minas gerais";"brasil";-22.317;"-46.328"
51;"faculdade paulus de tecnologia e comunicação";"faculdade paulus de tecnologia e comunicacao";"";"sao paulo";"sao paulo";"brasil";-23.548;"-46.636"
52;"faculdade del rey";"faculdade del rey";"";"belo horizonte";"minas gerais";"brasil";-19.817;"-43.956"
53;"faculdade unissa de sarandi";"faculdade unissa de sarandi";"";"sarandi";"parana";"brasil";-23.444;"-51.874"
54;"faculdade verde norte";"faculdade verde norte";"";"mato verde";"minas gerais";"brasil";-15.397;"-42.866"
56;"faculdades integradas de aracruz";"faculdades integradas de aracruz";"";"aracruz";"espirito Santo";"brasil";-19.82;"-40.273"
59;"faculdade presidente antônio carlos de governador valadares";"faculdade presidente antonio carlos de governador valadares";"";"governador valadares";"minas gerais";"brasil";-18.851;"-41.949"
60;"faculdades da fundação de ensino de mococa";"faculdades da fundacao de ensino de mococa";"";"mococa";"sao paulo";"brasil";-21.468;"-47.005"
2;"faculdade católica rainha da paz de araputanga";"faculdade catolica rainha da paz de araputanga";"";"araputanga";"mato grosso";"brasil";-15.471;"-58.353"
4;"centro universitário facvest";"centro universitario facvest";"";"lages";"santa catarina";"brasil";-27.816;"-50.326"
5;"faculdade regional palmitos";"faculdade regional palmitos";"";"palmitos";"santa catarina";"brasil";-27.068;"-53.161"
24;"faculdade autônoma de direito";"faculdade autonoma de direito";"fadisp";"sao paulo";"sao paulo";"brasil";-23.548;"-46.636"
7;"faculdade guaianás";"faculdade guaianas";"";"sao paulo";"sao paulo";"brasil";-23.548;"-46.636"
8;"faculdade hélio rocha";"faculdade helio rocha";"";"salvador";"bahia";"brasil";-12.971;"-38.511"
37;"faculdade de tecnologia gestão & marketing";"faculdade de tecnologia gestao & marketing";"";"recife";"pernambuco";"brasil";-8.054;"-34.881"
42;"faculdade farias brito";"faculdade farias brito";"";"fortaleza";"ceara";"brasil";-3.717;"-38.543"
46;"faculdade santa cruz";"faculdade santa cruz";"";"santa cruz do capibaribe";"pernambuco";"brasil";-7.957;"-36.205"
57;"instituto de ensino superior de itapira";"instituto de ensino superior de itapira";"";"itapira";"sao paulo";"brasil";-22.436;"-46.822"
13;"faculdade de filosofia ciências e letras professora nair fortes abu-merhy";"faculdade de filosofia ciencias e letras professora nair fortes abu merhy";"";"alem paraiba";"minas gerais";"brasil";-21.888;"-42.704"
9;"faculdade herrero";"faculdade herrero";"";"curitiba";"parana";"brasil";-25.428;"-49.273"
10;"faculdade integrada do brasil";"faculdade integrada do brasil";"";"teresina";"piaui";"brasil";-5.089;"-42.802"
14;"faculdade de tecnologia da serra gaúcha - bento conçalves";"faculdade de tecnologia da serra gaucha bento concalves";"";"bento goncalves";"rio grande do sul";"brasil";-29.171;"-51.519"
49;"faculdade do instituto nacional de pós-graduação de são josé dos campos";"faculdade do instituto nacional de pos graduacao de sao jose dos campos";"";"sao jose dos campos";"sao paulo";"brasil";-23.179;"-45.887"
23;"faculdade atenas maranhense de imperatriz";"faculdade atenas maranhense de imperatriz";"";"imperatriz";"maranhao";"brasil";-5.526;"-47.476"
15;"faculdade de são paulo";"faculdade de sao paulo";"";"sao paulo";"sao paulo";"brasil";-23.548;"-46.636"
17;"universidade cândido mendes";"universidade candido mendes";"ucam";"rio de janeiro";"rio de janeiro";"brasil";-22.903;"-43.208"
36;"faculdade carlos drummond de andrade";"faculdade carlos drummond de andrade";"";"sao paulo";"sao paulo";"brasil";-23.548;"-46.636"
16;"faculdade do vale do ipojuca";"faculdade do vale do ipojuca";"";"caruaru";"pernambuco";"brasil";-8.283;"-35.976"
18;"universidade tuiuti do paraná";"universidade tuiuti do parana";"utp";"curitiba";"parana";"brasil";-25.428;"-49.273"
19;"universidade federal de mato grosso";"universidade federal de mato grosso";"ufmt";"cuiaba";"mato grosso";"brasil";-15.596;"-56.097"
20;"faculdade são lucas";"faculdade sao lucas";"";"porto velho";"rondonia";"brasil";-8.762;"-63.904"
30;"faculdade diadema";"faculdade diadema";"";"diadema";"sao paulo";"brasil";-23.686;"-46.623"
31;"faculdade do sertão baiano";"faculdade do sertao baiano";"";"monte santo";"bahia";"brasil";-10.438;"-39.333"
33;"faculdade integrada de santa maria";"faculdade integrada de santa maria";"";"santa maria";"rio grande do sul";"brasil";-29.684;"-53.807"
35;"faculdades integradas einstein de limeira";"faculdades integradas einstein de limeira";"";"limeira";"sao paulo";"brasil";-22.565;"-47.402"
22;"faculdade arquidiocesana de mariana";"faculdade arquidiocesana de mariana";"";"mariana";"minas gerais";"brasil";-20.378;"-43.416"
27;"faculdade lourenço filho";"faculdade lourenco filho";"";"fortaleza";"ceara";"brasil";-3.717;"-38.543"
25;"faculdade itop";"faculdade itop";"";"palmas";"tocantins";"brasil";-10.167;"-48.333"
29;"faculdade nacional";"faculdade nacional";"";"vitoria";"espirito Santo";"brasil";-20.319;"-40.338"
38;"faculdade raimundo marinho";"faculdade raimundo marinho";"";"maceio";"alagoas";"brasil";-9.666;"-35.735"
39;"faculdade esamc campinas";"faculdade esamc campinas";"";"campinas";"sao paulo";"brasil";-22.906;"-47.061"
40;"faculdade gama e souza";"faculdade gama e souza";"";"rio de janeiro";"rio de janeiro";"brasil";-22.903;"-43.208"
41;"faculdade ibmec";"faculdade ibmec";"";"belo horizonte";"minas gerais";"brasil";-19.817;"-43.956"
28;"faculdade metropolitana são carlos";"faculdade metropolitana sao carlos";"";"quissama";"rio de janeiro";"brasil";-22.107;"-41.472"
43;"faculdade fasipe";"faculdade fasipe";"";"sinop";"mato grosso";"brasil";-11.864;"-55.504"
44;"faculdade flama";"faculdade flama";"";"duque de caxias";"rio de janeiro";"brasil";-22.786;"-43.312"
6;"universidade feevale";"universidade feevale";"feevale";"novo hamburgo";"rio grande do sul";"brasil";-29.678;"-51.131"
45;"faculdade fleming";"faculdade fleming";"";"campinas";"sao paulo";"brasil";-22.906;"-47.061"
12;"faculdade de educação, administração e tecnologia de ibaiti";"faculdade de educacao administracao e tecnologia de ibaiti";"";"ibaiti";"parana";"brasil";-23.849;"-50.188"
50;"faculdade moraes júnior - mackenzie rio";"faculdade moraes junior mackenzie rio";"";"rio de janeiro";"rio de janeiro";"brasil";-22.903;"-43.208"
100;"faculdade visconde de cairú";"faculdade visconde de cairu";"";"salvador";"bahia";"brasil";-12.971;"-38.511"
101;"instituto de ensino superior fucapi";"instituto de ensino superior fucapi";"";"manaus";"amazonas";"brasil";-3.102;"-60.025"
103;"faculdade minas gerais";"faculdade minas gerais";"";"belo horizonte";"minas gerais";"brasil";-19.817;"-43.956"
105;"faculdade adelmar rosado";"faculdade adelmar rosado";"";"teresina";"piaui";"brasil";-5.089;"-42.802"
106;"faculdade adventista paranaense";"faculdade adventista paranaense";"";"ivatuba";"parana";"brasil";-23.619;"-52.221"
107;"faculdade alfacastelo";"faculdade alfacastelo";"";"barueri";"sao paulo";"brasil";-23.511;"-46.876"
