"city";"uf";"country";"latitude";"longitude";"count"
"São Paulo";"sao paulo";"brasil";-23.548;-46.636;23909
"Rio de Janeiro";"rio de janeiro";"brasil";-22.903;-43.208;19162
"Porto Alegre";"rio grande do sul";"brasil";-30.033;-51.23;6486
"Belo Horizonte";"minas gerais";"brasil";-19.817;-43.956;6140
"Recife";"pernambuco";"brasil";-8.054;-34.881;4646
"Fortaleza";"ceara";"brasil";-3.717;-38.543;3687
"Curitiba";"parana";"brasil";-25.428;-49.273;3324
"Salvador";"bahia";"brasil";-12.971;-38.511;3040
"Campinas";"sao paulo";"brasil";-22.906;-47.061;2658
"Brasília";"federal district";"brasil";-15.78;-47.93;2016
"Ribeirão Preto";"sao paulo";"brasil";-21.178;-47.81;1992
"Niterói";"rio de janeiro";"brasil";-22.883;-43.104;1659
"Goiânia";"goias";"brasil";-16.679;-49.254;1651
"Pelotas";"rio grande do sul";"brasil";-31.772;-52.343;1478
"Natal";"rio grande do norte";"brasil";-5.795;-35.209;1458
"João Pessoa";"paraiba";"brasil";-7.115;-34.863;1360
"Florianópolis";"santa catarina";"brasil";-27.597;-48.549;1296
"Campina Grande";"paraiba";"brasil";-7.231;-35.881;1286
"Santos";"sao paulo";"brasil";-23.961;-46.334;1263
"Juiz de Fora";"minas gerais";"brasil";-21.764;-43.35;1236
"Piracicaba";"sao paulo";"brasil";-22.725;-47.649;1198
"Londrina";"parana";"brasil";-23.31;-51.163;1110
"Araraquara";"sao paulo";"brasil";-21.794;-48.176;988
"Manaus";"amazonas";"brasil";-3.102;-60.025;985
"São José do Rio Preto";"sao paulo";"brasil";-20.82;-49.379;967
"Vitória";"espirito Santo";"brasil";-20.319;-40.338;930
"Bauru";"sao paulo";"brasil";-22.315;-49.061;925
"Uberlândia";"minas gerais";"brasil";-18.919;-48.277;894
"Maringá";"parana";"brasil";-23.425;-51.939;892
"São Luís";"maranhao";"brasil";-2.53;-44.303;879
"Maceió";"alagoas";"brasil";-9.666;-35.735;808
"Teresina";"piaui";"brasil";-5.089;-42.802;755
"Botucatu";"sao paulo";"brasil";-22.886;-48.445;753
"Aracaju";"sergipe";"brasil";-10.911;-37.072;676
"Lavras";"minas gerais";"brasil";-21.245;-45;653
"Marília";"sao paulo";"brasil";-22.214;-49.946;626
"Caxias do Sul";"rio grande do sul";"brasil";-29.168;-51.179;566
"Ponta Grossa";"parana";"brasil";-25.095;-50.162;562
"Presidente Prudente";"sao paulo";"brasil";-22.126;-51.389;561
"São José dos Campos";"sao paulo";"brasil";-23.179;-45.887;555
"Uberaba";"minas gerais";"brasil";-19.748;-47.932;538
"Jundiaí";"sao paulo";"brasil";-23.186;-46.884;525
"Buenos Aires";"Buenos Aires F.D.";"Argentina";-34.61315;-58.37723;521
"Sorocaba";"sao paulo";"brasil";-23.502;-47.458;504
"Lima";"Provincia de Lima";"Peru";-12.04318;-77.02824;491
"Araçatuba";"sao paulo";"brasil";-21.209;-50.433;477
"Passo Fundo";"rio grande do sul";"brasil";-28.263;-52.407;444
"São Bernardo do Campo";"sao paulo";"brasil";-23.694;-46.565;440
"Franca";"sao paulo";"brasil";-20.539;-47.401;432
"Cuiabá";"mato grosso";"brasil";-15.596;-56.097;421
"São Caetano do Sul";"sao paulo";"brasil";-23.623;-46.551;394
"Jaboticabal";"sao paulo";"brasil";-21.255;-48.322;375
"Jaú";"sao paulo";"brasil";-22.296;-48.558;366
"Petrópolis";"rio de janeiro";"brasil";-22.505;-43.179;365
"Blumenau";"santa catarina";"brasil";-26.919;-49.066;353
"Montes Claros";"minas gerais";"brasil";-16.735;-43.862;343
"Assis";"sao paulo";"brasil";-22.662;-50.412;321
"Campos dos Goytacazes";"rio de janeiro";"brasil";-21.754;-41.324;310
"Volta Redonda";"rio de janeiro";"brasil";-22.523;-44.104;305
"Mogi das Cruzes";"sao paulo";"brasil";-23.523;-46.188;305
"Mossoró";"rio grande do norte";"brasil";-5.188;-37.344;294
"Lages";"santa catarina";"brasil";-27.816;-50.326;293
"São Gonçalo";"rio de janeiro";"brasil";-22.827;-43.054;291
"Bagé";"rio grande do sul";"brasil";-31.331;-54.107;288
"Feira de Santana";"bahia";"brasil";-12.267;-38.967;284
"Ijuí";"rio grande do sul";"brasil";-28.388;-53.915;277
"Limeira";"sao paulo";"brasil";-22.565;-47.402;276
"Catanduva";"sao paulo";"brasil";-21.138;-48.973;276
"Taubaté";"sao paulo";"brasil";-23.026;-45.555;268
"Cruz Alta";"rio grande do sul";"brasil";-28.639;-53.606;267
"Joinville";"santa catarina";"brasil";-26.304;-48.846;266
"Araguari";"minas gerais";"brasil";-18.649;-48.187;264
"Anápolis";"goias";"brasil";-16.327;-48.953;262
"Osasco";"sao paulo";"brasil";-23.533;-46.792;259
"Barretos";"sao paulo";"brasil";-20.557;-48.568;256
"Erechim";"rio grande do sul";"brasil";-27.634;-52.274;249
"Nova Iguaçu";"rio de janeiro";"brasil";-22.759;-43.451;249
"Santiago";"Santiago";"Chile";-33.45694;-70.64827;247
"Itabuna";"bahia";"brasil";-14.786;-39.28;245
"Santa Cruz do Sul";"rio grande do sul";"brasil";-29.718;-52.426;236
"Guaratinguetá";"sao paulo";"brasil";-22.816;-45.193;234
"Ipatinga";"minas gerais";"brasil";-19.468;-42.537;232
"Lins";"sao paulo";"brasil";-21.679;-49.743;229
"Patos de Minas";"minas gerais";"brasil";-18.579;-46.518;229
"Governador Valadares";"minas gerais";"brasil";-18.851;-41.949;228
"Americana";"sao paulo";"brasil";-22.739;-47.331;226
"São Leopoldo";"rio grande do sul";"brasil";-29.76;-51.147;225
"Guarulhos";"sao paulo";"brasil";-23.463;-46.533;222
"Itajubá";"minas gerais";"brasil";-22.426;-45.453;221
"Criciúma";"santa catarina";"brasil";-28.678;-49.37;221
"Cachoeira do Sul";"rio grande do sul";"brasil";-30.039;-52.894;221
"Tupã";"sao paulo";"brasil";-21.935;-50.514;219
"Barbacena";"minas gerais";"brasil";-21.226;-43.774;218
"Patos";"paraiba";"brasil";-7.024;-37.28;212
"Santo Ângelo";"rio grande do sul";"brasil";-28.299;-54.263;211
"Bogotá";"Bogota D.C.";"Colombia";4.60971;-74.08175;210
"Vitória da Conquista";"bahia";"brasil";-14.866;-40.839;209
"Ituiutaba";"minas gerais";"brasil";-18.969;-49.465;208
"Pirassununga";"sao paulo";"brasil";-21.996;-47.426;206
"Montevideo";"Montevideo";"Uruguay";-34.90328;-56.18816;204
"Duque de Caxias";"rio de janeiro";"brasil";-22.786;-43.312;203
"Paris";"Île-de-France";"France";48.85341;2.3488;198
"Colatina";"espirito Santo";"brasil";-19.539;-40.631;198
"Araras";"sao paulo";"brasil";-22.357;-47.384;191
"Poços de Caldas";"minas gerais";"brasil";-21.788;-46.561;190
"Caruaru";"pernambuco";"brasil";-8.283;-35.976;185
"Divinópolis";"minas gerais";"brasil";-20.139;-44.884;185
"Bento Gonçalves";"rio grande do sul";"brasil";-29.171;-51.519;181
"Cachoeiro de Itapemirim";"espirito Santo";"brasil";-20.849;-41.113;179
"São João del Rei";"minas gerais";"brasil";-21.136;-44.262;178
"Apucarana";"parana";"brasil";-23.551;-51.461;173
"Penápolis";"sao paulo";"brasil";-21.42;-50.078;173
"Ubá";"minas gerais";"brasil";-21.12;-42.943;172
"Olinda";"pernambuco";"brasil";-8.009;-34.855;170
"Novo Hamburgo";"rio grande do sul";"brasil";-29.678;-51.131;169
"Tubarão";"santa catarina";"brasil";-28.467;-49.007;167
"Dourados";"mato grosso do sul";"brasil";-22.221;-54.806;164
"Uruguaiana";"rio grande do sul";"brasil";-29.755;-57.088;163
"Itajaí";"santa catarina";"brasil";-26.908;-48.662;162
"Garanhuns";"pernambuco";"brasil";-8.89;-36.493;162
"Alfenas";"minas gerais";"brasil";-21.429;-45.947;161
"Alegrete";"rio grande do sul";"brasil";-29.783;-55.792;160
"Sete Lagoas";"minas gerais";"brasil";-19.466;-44.247;160
"Canoas";"rio grande do sul";"brasil";-29.918;-51.184;159
"Itapetininga";"sao paulo";"brasil";-23.592;-48.053;159
"Arequipa";"Arequipa";"Peru";-16.39889;-71.535;157
"Ilhéus";"bahia";"brasil";-14.789;-39.049;156
"Ponte Nova";"minas gerais";"brasil";-20.416;-42.909;156
"Lorena";"sao paulo";"brasil";-22.731;-45.125;152
"Birigui";"sao paulo";"brasil";-21.289;-50.34;151
"Nova Friburgo";"rio de janeiro";"brasil";-22.282;-42.531;151
"Bebedouro";"sao paulo";"brasil";-20.949;-48.479;151
"Porto";"Porto";"Portugal";41.14961;-8.61099;151
"Caratinga";"minas gerais";"brasil";-19.79;-42.139;150
"Macapá";"amapa";"brasil";0.039;-51.066;150
"Ourinhos";"sao paulo";"brasil";-22.979;-49.871;149
"Teófilo Otoni";"minas gerais";"brasil";-17.858;-41.505;144
"Paranavaí";"parana";"brasil";-23.073;-52.465;144
"Guarapuava";"parana";"brasil";-25.395;-51.458;144
"Umuarama";"parana";"brasil";-23.766;-53.325;143
"Andradina";"sao paulo";"brasil";-20.896;-51.379;142
"Bragança Paulista";"sao paulo";"brasil";-22.952;-46.542;142
"Fernandópolis";"sao paulo";"brasil";-20.284;-50.246;142
"Varginha";"minas gerais";"brasil";-21.551;-45.43;141
"Vila Velha";"espirito Santo";"brasil";-20.33;-40.292;141
"Crato";"ceara";"brasil";-7.234;-39.409;140
