"name";"name_ascii";"abbr";"latitude";"longitude"
"faculdade adventista de hortolândia";"faculdade adventista de hortolandia";"";-22.858;-47.22
"faculdade católica rainha da paz de araputanga";"faculdade catolica rainha da paz de araputanga";"";-15.471;-58.353
"faculdade de ciências administrativas e de tecnologia";"faculdade de ciencias administrativas e de tecnologia";"";-8.762;-63.904
"centro universitário facvest";"centro universitario facvest";"";-27.816;-50.326
"faculdade regional palmitos";"faculdade regional palmitos";"";-27.068;-53.161
"universidade feevale";"universidade feevale";"";-29.678;-51.131
"faculdade guaianás";"faculdade guaianas";"";-23.548;-46.636
"faculdade hélio rocha";"faculdade helio rocha";"";-12.971;-38.511
"faculdade herrero";"faculdade herrero";"";-25.428;-49.273
"faculdade integrada do brasil";"faculdade integrada do brasil";"";-5.089;-42.802
"faculdade de ciências humanas e sociais de igarassu";"faculdade de ciencias humanas e sociais de igarassu";"";-7.834;-34.906
"faculdade de educação, administração e tecnologia de ibaiti";"faculdade de educacao, administracao e tecnologia de ibaiti";"";-23.849;-50.188
"faculdade de filosofia ciências e letras professora nair fortes abu-merhy";"faculdade de filosofia ciencias e letras professora nair fortes abu-merhy";"";-21.888;-42.704
"faculdade de tecnologia da serra gaúcha - bento conçalves";"faculdade de tecnologia da serra gaucha - bento concalves";"";-29.171;-51.519
"faculdade de são paulo";"faculdade de sao paulo";"";-23.548;-46.636
"faculdade do vale do ipojuca";"faculdade do vale do ipojuca";"";-8.283;-35.976
"universidade cândido mendes";"universidade candido mendes";"";-22.903;-43.208
"universidade tuiuti do paraná";"universidade tuiuti do parana";"";-25.428;-49.273
"universidade federal de mato grosso";"universidade federal de mato grosso";"ufmt";-15.596;-56.097
"faculdade são lucas";"faculdade sao lucas";"";-8.762;-63.904
"faculdade apogeu";"faculdade apogeu";"";-15.78;-47.93
"faculdade arquidiocesana de mariana";"faculdade arquidiocesana de mariana";"";-20.378;-43.416
"faculdade atenas maranhense de imperatriz";"faculdade atenas maranhense de imperatriz";"";-5.526;-47.476
"faculdade autônoma de direito";"faculdade autonoma de direito";"";-23.548;-46.636
"faculdade itop";"faculdade itop";"";-10.167;-48.333
"faculdade jk - unidade i - gama";"faculdade jk - unidade i - gama";"";-15.78;-47.93
"faculdade lourenço filho";"faculdade lourenco filho";"";-3.717;-38.543
"faculdade metropolitana são carlos";"faculdade metropolitana sao carlos";"";-22.107;-41.472
"faculdade nacional";"faculdade nacional";"";-20.319;-40.338
"faculdade diadema";"faculdade diadema";"";-23.686;-46.623
"faculdade do sertão baiano";"faculdade do sertao baiano";"";-10.438;-39.333
"faculdade do vale elvira dayrell - faved";"faculdade do vale elvira dayrell - faved";"";-18.823;-42.704
"faculdade integrada de santa maria";"faculdade integrada de santa maria";"";-29.684;-53.807
"faculdade de tecnologia de tatuí - prof. wilson roberto ribeiro de camargo";"faculdade de tecnologia de tatui - prof. wilson roberto ribeiro de camargo";"";-23.356;-47.857
"faculdades integradas einstein de limeira";"faculdades integradas einstein de limeira";"";-22.565;-47.402
"faculdade carlos drummond de andrade";"faculdade carlos drummond de andrade";"";-23.548;-46.636
"faculdade de tecnologia gestão & marketing";"faculdade de tecnologia gestao & marketing";"";-8.054;-34.881
"faculdade raimundo marinho";"faculdade raimundo marinho";"";-9.666;-35.735
"faculdade esamc campinas";"faculdade esamc campinas";"";-22.906;-47.061
"faculdade gama e souza";"faculdade gama e souza";"";-22.903;-43.208
"faculdade ibmec";"faculdade ibmec";"";-19.817;-43.956
"faculdade farias brito";"faculdade farias brito";"";-3.717;-38.543
"faculdade fasipe";"faculdade fasipe";"";-11.864;-55.504
"faculdade flama";"faculdade flama";"";-22.786;-43.312
"faculdade fleming";"faculdade fleming";"";-22.906;-47.061
"faculdade santa cruz";"faculdade santa cruz";"";-7.957;-36.205
"faculdade de ampére";"faculdade de ampere";"";-25.915;-53.473
"faculdade de ciências da fundação instituto tecnológico de osasco";"faculdade de ciencias da fundacao instituto tecnologico de osasco";"";-23.533;-46.792
"faculdade do instituto nacional de pós-graduação de são josé dos campos";"faculdade do instituto nacional de pos-graduacao de sao jose dos campos";"";-23.179;-45.887
"faculdade moraes júnior - mackenzie rio";"faculdade moraes junior - mackenzie rio";"";-22.903;-43.208
"faculdade paulus de tecnologia e comunicação";"faculdade paulus de tecnologia e comunicacao";"";-23.548;-46.636
"faculdade del rey";"faculdade del rey";"";-19.817;-43.956
"faculdade unissa de sarandi";"faculdade unissa de sarandi";"";-23.444;-51.874
"faculdade verde norte";"faculdade verde norte";"";-15.397;-42.866
