name;name_ascii;abbr;city;state;country;latitude;longitude
universidade regional do nordeste;universidade regional do nordeste;uepb;campina grande;paraiba;brasil;-7.231;-35.881
instituto de geociências;instituto de geociencias;;sao paulo;sao paulo;brasil;-23.548;-46.636
academia da força aérea;academia da forca aerea;afa;pirassununga;sao paulo;brasil;-21.996;-47.426
faculdade salesiana de filosofia ciências e letras de lorena;faculdade salesiana de filosofia ciencias e letras de lorena;;lorena;sao paulo;brasil;-22.731;-45.125
faculdade de odontologia de lins;faculdade de odontologia de lins;;lins;sao paulo;brasil;-21.679;-49.743
união pioneira de integração social;uniao pioneira de integracao social;upis;brasilia;sao paulo;brasil;-15.78;-47.93
federação brasileira das sociedades de ginecologia e obstetrícia - sp;federacao brasileira das sociedades de ginecologia e obstetricia - sp;;sao paulo;sao paulo;brasil;-23.548;-46.636
instituto brasileiro de administração municipal;instituto brasileiro de administracao municipal;ibam;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
federação brasileira das sociedades de ginecologia e obstetrícia;federacao brasileira das sociedades de ginecologia e obstetricia;febrasgo;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
centro de tecnologia mineral;centro de tecnologia mineral;ctem;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
instituto brasileiro de mercado de capitais;instituto brasileiro de mercado de capitais;ibmec;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
conselho brasileiro de oftalmologia;conselho brasileiro de oftalmologia;cbo;sao paulo;sao paulo;brasil;-23.548;-46.636
companhia de pesquisa de recursos minerais;companhia de pesquisa de recursos minerais;cprm;recife;pernambuco;brasil;-8.054;-34.881
instituto de biofísica carlos chagas filho;instituto de biofisica carlos chagas filho;ibccf;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
colégio pitágoras;colegio pitagoras;;belo horizonte;minas gerais;brasil;-19.817;-43.956
instituto brasileiro do meio ambiente e dos recursos naturais renováveis;instituto brasileiro do meio ambiente e dos recursos naturais renovaveis;ibama;brasilia;distrito federal;brasil;-15.78;-47.93
associação brasileira de psiquiatria;associacao brasileira de psiquiatria;abp;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
faculdade de filosofia ciências e letras barão de mauá;faculdade de filosofia ciencias e letras barao de maua;;ribeirao preto;sao paulo;brasil;-21.178;-47.81
faculdade de medicina de botucatu - unesp;faculdade de medicina de botucatu unesp;;botucatu;sao paulo;brasil;-22.886;-48.445
embrapa recursos genéticos e biotecnologia;embrapa recursos geneticos e biotecnologia;;brasilia;distrito federal;brasil;-15.78;-47.93
instituto alberto luiz coimbra de pós graduação e pesquisa de engenharia;instituto alberto luiz coimbra de pos graduacao e pesquisa de engenharia;;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
coordenação de aperfeiçoamento de pessoal de nível superior;coordenacao de aperfeicoamento de pessoal de nivel superior;capes;brasilia;distrito federal;brasil;-15.78;-47.93
escola nacional de administração pública;escola nacional de administracao publica;enap;brasilia;distrito federal;brasil;-15.78;-47.93
rede nordeste de biotecnologia;rede nordeste de biotecnologia;renorbio;recife;pernambuco;brasil;-8.054;-34.881
centro de pesquisas rené rachou;centro de pesquisas rene rachou;cpqrr/fiocruz;belo horizonte;minas gerais;brasil;-19.817;-43.956
banco central do brasil;banco central do brasil;bcb;brasilia;distrito federal;brasil;-15.78;-47.93
centro de tecnologia da informação renato archer;centro de tecnologia da informacao renato archer;;campinas;sao paulo;brasil;-22.906;-47.061
fundação instituto de física teórica;fundacao instituto de fisica teorica;;sao paulo;sao paulo;brasil;-23.548;-46.636
centro de pesquisas aggeu magalhães;centro de pesquisas aggeu magalhaes;cpqam/fiocruz;recife;pernambuco;brasil;-8.054;-34.881
faculdade católica de administração e economia;faculdade catolica de administracao e economia;;curitiba;parana;brasil;-25.428;-49.273
sociedade de promoção social do fissurado lábio palatal;sociedade de promocao social do fissurado labio palatal;;bauru;sao paulo;brasil;-22.315;-49.061
faculdade de ciências médicas e biológicas de botucatu;faculdade de ciencias medicas e biologicas de botucatu;;botucatu;sao paulo;brasil;-22.886;-48.445
associação de medicina intensiva brasileira;associacao de medicina intensiva brasileira;amib;sao paulo;sao paulo;brasil;-23.548;-46.636
escola superior de agricultura de lavras;escola superior de agricultura de lavras;;lavras;minas gerais;brasil;-21.245;-45.0
conselho federal de medicina;conselho federal de medicina;cfm;brasilia;sao paulo;brasil;-15.78;-47.93
faculdade de odontologia de araraquara;faculdade de odontologia de araraquara;;araraquara;sao paulo;brasil;-21.794;-48.176
federação brasileira das sociedades de ginecologia e obstetrícia - rj;federacao brasileira das sociedades de ginecologia e obstetricia rj;;sao paulo;sao paulo;brasil;-23.548;-46.636
universidade anhanguera uniderp;universidade anhanguera uniderp;;recife;pernambuco;brasil;-8.054;-34.881
conservatório brasileiro de música   centro universitário;conservatorio brasileiro de musica centro universitario;;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
fundação jorge duprat figueiredo de segurança e medicina do trabalho;fundacao jorge duprat figueiredo de seguranca e medicina do trabalho;fundacentro;sao paulo;sao paulo;brasil;-23.548;-46.636
centro brasileiro de análise e planejamento;centro brasileiro de analise e planejamento;cebrap;sao paulo;sao paulo;brasil;-23.548;-46.636
conselho federal de fonoaudiologia;conselho federal de fonoaudiologia;;brasilia;distrito federal;brasil;-15.78;-47.93
instituto federal da bahia;instituto federal da bahia;ifba;salvador;bahia;brasil;-12.971;-38.511
instituto federal do ceará - reitoria;instituto federal do ceara reitoria;ifce;fortaleza;ceara;brasil;-3.717;-38.543
instituto federal sul-rio-grandense;instituto federal sul rio grandense;ifsul;charqueadas;rio grande do sul;brasil;-29.955;-51.625
instituto federal do maranhão;instituto federal do maranhao;ifma;sao luis;maranhao;brasil;-2.53;-44.303
instituto federal fluminense;instituto federal fluminense;iff;campos dos goytacazes;rio de janeiro;brasil;-21.754;-41.324
instituto federal goiano;instituto federal goiano;ifg;goiania;goais;brasil;-16.679;-49.254
instituto federal de pernambuco;instituto federal de pernambuco;ifpe;recife;pernambuco;brasil;-8.054;-34.881
instituto federal minas gerais;instituto federal minas gerais;ifmg;belo horizonte;minas gerais;brasil;-19.817;-43.956
instituto federal do triângulo mineiro;instituto federal do triangulo mineiro;iftm;uberaba;minas gerais;brasil;-19.748;-47.932
instituto federal catarinense;instituto federal catarinense;ifc;blumenau;santa catarina;brasil;-26.919;-49.066
instituto federal de mato grosso;instituto federal de mato grosso;ifmt;cuiaba;mato grosso;brasil;-15.596;-56.097
instituto federal de sergipe;instituto federal de sergipe;ifs;aracaju;sergipe;brasil;-10.911;-37.072
instituto federal do piauí;instituto federal do piaui;ifpi;teresina;piaui;brasil;-5.089;-42.802
instituto federal de alagoas - matriz;instituto federal de alagoas matriz;ifal;maceio;alagoas;brasil;-9.666;-35.735
escola técnica federal de química do rio de janeiro;escola tecnica federal de quimica do rio de janeiro;ifrj;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
escola técnica federal de química;escola tecnica federal de quimica;ifrj;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
escola técnica federal de pernambuco;escola tecnica federal de pernambuco;ifpe;recife;pernambuco;brasil;-8.054;-34.881
escola técnica federal do ceará;escola tecnica federal do ceara;ifce;fortaleza;ceara;brasil;-3.717;-38.543
escola técnica federal de santa catarina;escola tecnica federal de santa catarina;ifsc;florianopolis;santa catarina;brasil;-27.597;-48.549
escola técnica federal do espírito santo;escola tecnica federal do espirito santo;ifes;vitoria;espirito santo;brasil;-20.319;-40.338
escola técnica federal de pelotas;escola tecnica federal de pelotas;ifsul;pelotas;rio grande do sul;brasil;-31.772;-52.343
centro federal de educação tecnológica de pelotas;centro federal de educacao tecnologica de pelotas;ifsul;pelotas;rio grande do sul;brasil;-31.772;-52.343
escola técnica federal do rio grande do norte;escola tecnica federal do rio grande do norte;ifrn;natal;rio grande do norte;brasil;-5.795;-35.209
centro federal de educação tecnológica do paraná;centro federal de educacao tecnologica do parana;utfpr;curitiba;parana;brasil;-25.428;-49.273
fundação universidade regional de blumenau;fundacao universidade regional de blumenau;furb;blumenau;santa catarina;brasil;-26.919;-49.066
instituto universitário de pesquisas do rio de janeiro;instituto universitario de pesquisas do rio de janeiro;iuperj;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
universidade do grande rio;universidade do grande rio;unigranrio;duque de caxias;rio de janeiro;brasil;-22.786;-43.312
petróleo brasileiro - rio de janeiro - matriz;petroleo brasileiro rio de janeiro matriz;petrobras;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
centro universitário são camilo - campus pompeia;centro universitario sao camilo campus pompeia;;pompeia;sao paulo;brasil;-22.109;-50.172
ministério da saúde;ministerio da saude;ms;brasilia;distrito federal;brasil;-15.78;-47.93
centro universitário la salle - canoas;centro universitario la salle canoas;;canoas;rio grande do sul;brasil;-29.918;-51.184
escola nacional de saúde pública;escola nacional de saude publica;ensp/fiocruz;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
faculdade de odontologia de bauru;faculdade de odontologia de bauru;fob;bauru;sao paulo;brasil;-22.315;-49.061
instituto alberto luiz coimbra de pós-graduação e pesquisa de engenharia;instituto alberto luiz coimbra de pos graduacao e pesquisa de engenharia;;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
centro universitário herminio ometto de araras;centro universitario herminio ometto de araras;uniararas;araras;sao paulo;brasil;-22.357;-47.384
centro nacional de pesquisa em energia e materiais;centro nacional de pesquisa em energia e materiais;cnpem;campinas;sao paulo;brasil;-22.906;-47.061
escola de aperfeiçoamento de oficiais;escola de aperfeicoamento de oficiais;esao;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
centro universitário claretiano de batatais;centro universitario claretiano de batatais;;batatais;sao paulo;brasil;-20.891;-47.585
faculdade de humanidades pedro ii;faculdade de humanidades pedro ii;fahupe/ufrj;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
sociedade brasileira de pediatria;sociedade brasileira de pediatria;sbp;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
faculdade de ciências médicas de santos;faculdade de ciencias medicas de santos;;santos;sao paulo;brasil;-23.961;-46.334
empresa de pesquisa agropecuária e extensão rural de santa catarina;empresa de pesquisa agropecuaria e extensao rural de santa catarina;epagri;florianopolis;santa catarina;brasil;-27.597;-48.549
universidade vale do rio verde de três corações;universidade vale do rio verde de tres coracoes;;tres coracoes;minas gerais;brasil;-21.697;-45.253
sociedade brasileira de cardiologia;sociedade brasileira de cardiologia;sbc;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
instituto materno infantil de pernambuco;instituto materno infantil de pernambuco;imip;recife;pernambuco;brasil;-8.054;-34.881
instituto metodista bennett;instituto metodista bennett;;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
instituto de ciências matemáticas e de computação;instituto de ciencias matematicas e de computacao;icmc;sao carlos;sao paulo;brasil;-22.018;-47.891
instituto de física de são carlos;instituto de fisica de sao carlos;;sao carlos;sao paulo;brasil;-22.018;-47.891
museu paraense emílio goeldi;museu paraense emilio goeldi;;belem;para;brasil;-1.456;-48.504
fundação técnico educacional souza marques;fundacao tecnico educacional souza marques;;rio de janeiro;rio de janeiro;brasil;-22.903;-43.208
faculdade de filosofia ciências e letras imaculada conceição;faculdade de filosofia ciencias e letras imaculada conceicao;;santa maria;rio grande do sul;brasil;-29.684;-53.807
faculdade de filosofia nossa senhora da imaculada conceição;faculdade de filosofia nossa senhora da imaculada conceicao;;santa maria;rio grande do sul;brasil;-29.684;-53.807
instituto federal farroupilha;instituto federal farroupilha;ifrs;santa maria;rio grande do sul;brasil;-29.684;-53.807
instituto federal do sudeste de minas gerais;instituto federal do sudeste de minas gerais;ifsudestemg;juiz de fora;minas gerais;brasil;-21.764;-43.35
fundação faculdade de agronomia luiz meneghel;fundacao faculdade de agronomia luiz meneghel;;bandeirantes;parana;brasil;-23.11;-50.368
faculdade de filosofia ciências e letras de rio claro;faculdade de filosofia ciencias e letras de rio claro;sao paulo;rio claro;sao paulo;brasil;-22.411;-47.561
universidade para o desenvolvimento do estado e da região do pantanal;universidade para o desenvolvimento do estado e da regiao do pantanal;uniderp;campo grande;mato grosso do sul;brasil;-20.443;-54.646
centro são camilo de desenvolvimento em administração da saúde;centro sao camilo de desenvolvimento em administracao da saude;;sao paulo;sao paulo;brasil;-23.548;-46.636
faculdade de filosofia, letras e ciências humanas;faculdade de filosofia letras e ciencias humanas;;sao paulo;sao paulo;brasil;-23.548;-46.636
