name;name_ascii;abbr;latitude;longitude
comissão nacional de energia nuclear;comissao nacional de energia nuclear;cnen;;;;;
fundação armando álvares penteado;fundacao armando alvares penteado;;;;;;
conselho federal de odontologia;conselho federal de odontologia;;;;;;
instituto agronômico de campinas;instituto agronomico de campinas;;;;;;
escola nacional de saúde pública;escola nacional de saude publica;;;;;;
universidade estadual paulista;universidade estadual paulista;;;;;;
instituto dante pazzanese de cardiologia;instituto dante pazzanese de cardiologia;;;;;;
escola de engenharia de são carlos;escola de engenharia de sao carlos;;;;;;
fundação getúlio vargas - matriz;fundacao getulio vargas matriz;fgv;;;;;
academia militar das agulhas negras;academia militar das agulhas negras;;;;;;
associação brasileira de odontologia;associacao brasileira de odontologia;;;;;;
faculdade de odontologia de bauru;faculdade de odontologia de bauru;;;;;;
universidade de guarulhos;universidade de guarulhos;;;;;;
instituto alberto luiz coimbra de pós-graduação e pesquisa de engenharia;instituto alberto luiz coimbra de pos-graduacao e pesquisa de engenharia;;;;;;
instituto sedes sapientiae;instituto sedes sapientiae;;;;;;
colégio bandeirantes;colegio bandeirantes;;;;;;
centro de energia nuclear na agricultura;centro de energia nuclear na agricultura;;;;;;
centro universitário herminio ometto de araras;centro universitario herminio ometto de araras;;;;;;
fundação técnico educacional souza marques;fundacao tecnico educacional souza marques;;;;;;
irmandade da santa casa de misericórdia de são paulo;irmandade da santa casa de misericordia de sao paulo;;;;;;
instituto de assistência médica ao servidor público estadual;instituto de assistencia medica ao servidor publico estadual;;;;;;
centro nacional de pesquisa em energia e materiais;centro nacional de pesquisa em energia e materiais;;;;;;
instituto adolfo lutz;instituto adolfo lutz;;;;;;
escola de aperfeiçoamento de oficiais;escola de aperfeicoamento de oficiais;;;;;;
associação paulista de cirurgiões dentistas;associacao paulista de cirurgioes dentistas;;;;;;
centro universitário claretiano de batatais;centro universitario claretiano de batatais;;;;;;
faculdade de humanidades pedro ii;faculdade de humanidades pedro ii;;;;;;
instituto de física de são carlos;instituto de fisica de sao carlos;;;;;;
instituto de pesquisas tecnológicas do estado de são paulo;instituto de pesquisas tecnologicas do estado de sao paulo;;;;;;
instituto maua de tecnologia;instituto maua de tecnologia;;;;;;
faculdade de odontologia de piracicaba;faculdade de odontologia de piracicaba;;;;;;
colégio dante alighieri;colegio dante alighieri;;;;;;
museu paraense emílio goeldi;museu paraense emilio goeldi;;;;;;
instituto de cardiologia do rio grande do sul;instituto de cardiologia do rio grande do sul;;;;;;
sociedade brasileira de pediatria;sociedade brasileira de pediatria;;;;;;
colégio são josé;colegio sao jose;;;;;;
hospital heliópolis - unidade de gestão assistencial 1;hospital heliopolis unidade de gestao assistencial 1;;;;;;
empresa de pesquisa agropecuária de minas gerais;empresa de pesquisa agropecuaria de minas gerais;embrapa/mg;;;;;
fundação instituto brasileiro de geografia e estatística;fundacao instituto brasileiro de geografia e estatistica;ibge;;;;;
faculdade de ciências médicas de santos;faculdade de ciencias medicas de santos;;;;;;
empresa de pesquisa agropecuária e extensão rural de santa catarina;empresa de pesquisa agropecuaria e extensao rural de santa catarina;;;;;;
escola de comando e estado maior do exército;escola de comando e estado maior do exercito;;;;;;
escola superior de guerra;escola superior de guerra;;;;;;
conselho nacional de desenvolvimento científico e tecnológico;conselho nacional de desenvolvimento cientifico e tecnologico;;;;;;
faculdade de ciências agronômicas;faculdade de ciencias agronomicas;;;;;;
centro de ensino unificado de brasília;centro de ensino unificado de brasilia;;;;;;
universidade vale do rio verde de três corações;universidade vale do rio verde de tres coracoes;;;;;;
universidade de évora;universidade de evora;;;;;;
sociedade brasileira de cardiologia;sociedade brasileira de cardiologia;;;;;;
centro técnico aeroespacial;centro tecnico aeroespacial;;;;;;
instituto de química;instituto de quimica;;;;;;
instituto oswaldo cruz;instituto oswaldo cruz;;;;;;
instituto materno infantil de pernambuco;instituto materno infantil de pernambuco;;;;;;
centro de estudos superiores de londrina;centro de estudos superiores de londrina;;;;;;
hospital sírio-libanês;hospital sirio libanes;;;;;;
colégio santa cruz;colegio santa cruz;;;;;;
instituto israelita de ensino e pesquisa albert einstein;instituto israelita de ensino e pesquisa albert einstein;;;;;;
instituto metodista bennett;instituto metodista bennett;;;;;;
agência paulista de tecnologia dos agronegócios;agencia paulista de tecnologia dos agronegocios;;;;;;
serviço nacional de aprendizagem comercial;servico nacional de aprendizagem comercial;;;;;;
universidade de salamanca;universidade de salamanca;;;;;;
faculdade de ciências agrárias e veterinárias;faculdade de ciencias agrarias e veterinarias;;;;;;
conselho federal de fonoaudiologia;conselho federal de fonoaudiologia;;;;;;
fundação educacional de bauru;fundacao educacional de bauru;;;;;;
colégio rio branco;colegio rio branco;;;;;;
faculdade de medicina de botucatu;faculdade de medicina de botucatu;;;;;;
fundação dom cabral;fundacao dom cabral;;;;;;
santa casa de misericórdia do rio de janeiro;santa casa de misericordia do rio de janeiro;;;;;;
centro de pesquisa e desenvolvimento leopoldo américo miguêz de mello;centro de pesquisa e desenvolvimento leopoldo americo miguez de mello;;;;;;
centro de pesquisas aggeu magalhães;centro de pesquisas aggeu magalhaes;;;;;;
instituto do coração;instituto do coracao;;;;;;
faculdade de engenharia da universidade do porto;faculdade de engenharia da universidade do porto;;;;;;
hospital dos servidores do estado do rio de janeiro;hospital dos servidores do estado do rio de janeiro;;;;;;
colégio brasileiro de cirurgiões;colegio brasileiro de cirurgioes;;;;;;
escola baiana de medicina e saúde pública;escola baiana de medicina e saude publica;;;;;;
escola de comando e estado - maior do exército;escola de comando e estado maior do exercito;;;;;;
faculdade católica de administração e economia;faculdade catolica de administracao e economia;;;;;;
faculdade de saúde pública;faculdade de saude publica;;;;;;
sociedade de promoção social do fissurado lábio palatal;sociedade de promocao social do fissurado labio palatal;;;;;;
faculdade de ciências médicas e biológicas de botucatu;faculdade de ciencias medicas e biologicas de botucatu;;;;;;
associação de medicina intensiva brasileira;associacao de medicina intensiva brasileira;;;;;;
centro de ensino superior de maringá;centro de ensino superior de maringa;;;;;;
