name;name_ascii;abbr;latitude;longitude
centro de pesquisa aggeu magalhães/fiocruz;centro de pesquisa aggeu magalhaes/fiocruz;cpqam;-8.054;-34.881
centro de pesquisa gonçalo moniz/fiocruz;centro de pesquisa goncalo moniz/fiocruz;cpqgm;-12.971;-38.511
centro universitário das faculdades associadas de ensino fae;centro universitario das faculdades associadas de ensino fae;unifae-sp;-23.548;-46.636
coordenadoria controle de doenças da secretaria estado da saúde de sp;coordenadoria controle de doencas da secretaria estado da saude de sp;ccd/ses;-23.548;-46.636
coordenadoria de recursos humanos da secretaria estado da saúde de sp;coordenadoria de recursos humanos da secretaria estado da saude de sp;crh/ses-sp;-23.548;-46.636
fundação de ensino eurípides soares da rocha;fundacao de ensino euripides soares da rocha;feesr;-22.214;-49.946
fundação jorge duprat figueiredo de segurança e med do trabalho;fundacao jorge duprat figueiredo de seguranca e med do trabalho;fundacentr;-23.548;-46.636
instituto de ensino e pesquisa da santa casa de belo horizonte;instituto de ensino e pesquisa da santa casa de belo horizonte;iepsc;-19.817;-43.956
instituto federal de educação, ciência e tecnologia da paraíba;instituto federal de educacao, ciencia e tecnologia da paraiba;ifpb;-7.115;-34.863
instituto federal de educação, ciência e tecnologia do amazonas;instituto federal de educacao, ciencia e tecnologia do amazonas;ifam;-3.102;-60.025
instituto federal de educação, ciência e tecnologia do triângulo mineiro;instituto federal de educacao, ciencia e tecnologia do triangulo mineiro;iftm;-19.748;-47.932
instituto federal de educação, ciência e tecnologia sudeste de minas gerais;instituto federal de educacao, ciencia e tecnologia sudeste de minas gerais;ifsemg;-21.275;-43.179
instituto latino americano pesquisa e ensino odontologico ilapeo ltda;instituto latino americano pesquisa e ensino odontologico ilapeo ltda;ilapeo;-25.428;-49.273
instituto nacional metrologia, normalização e qualidade industrial;instituto nacional metrologia, normalizacao e qualidade industrial;inmetro;-22.786;-43.312
universidade da integração internacional da lusofonia afro-brasileira;universidade da integracao internacional da lusofonia afro-brasileira;unilab;-4.226;-38.731
universidade de são paulo/centro de energia nuclear agricultura;universidade de sao paulo/centro de energia nuclear agricultura;usp/cena;-22.725;-47.649
universidade de são paulo/escola superior de agricultura luiz de queiroz;universidade de sao paulo/escola superior de agricultura luiz de queiroz;usp/esalq;-22.725;-47.649

associacao alberto santos dumont para apoio a pesquisa;associacao alberto santos dumont para apoio a pesquisa;aasdap;-5.858;-35.354
associação instituto de tecnologia de pernambuco;associacao instituto de tecnologia de pernambuco;itep;-8.054;-34.881
associação instituto nacional de matemática pura e aplicada;associacao instituto nacional de matematica pura e aplicada;impa;-22.903;-43.208
associação instituto tecnológico vale;associacao instituto tecnologico vale;itv;-1.456;-48.504
associação nacional dos dirigentes das instituições federais de ensino superior;associacao nacional dos dirigentes das instituicoes federais de ensino superior;andifes;-15.78;-47.93
centro brasileiro de estudos latino-americanos;centro brasileiro de estudos latino-americanos;cebela;-22.903;-43.208
centro brasileiro de pesquisas físicas;centro brasileiro de pesquisas fisicas;cbpf;-22.903;-43.208
centro de desenvolvimento da tecnologia nuclear;centro de desenvolvimento da tecnologia nuclear;cdtn;-19.817;-43.956
centro de estudos e sistemas avançados do recife;centro de estudos e sistemas avancados do recife;cesar;-8.054;-34.881
centro de estudos superiores de maceió;centro de estudos superiores de maceio;cesmac;-9.666;-35.735
centro de formação, treinamento e aperfeiçoamento;centro de formacao, treinamento e aperfeicoamento;cefor;-15.78;-47.93
centro de pesquisas odontologicas sao leopoldo mandic;centro de pesquisas odontologicas sao leopoldo mandic;slmandic;-22.906;-47.061
centro de pesquisas rené rachou/fiocruz;centro de pesquisas rene rachou/fiocruz;cpqrr;-19.817;-43.956
centro estadual de educação tecnológica paula souza;centro estadual de educacao tecnologica paula souza;ceeteps;-23.548;-46.636
centro universitario da fei;centro universitario da fei;fei;-23.694;-46.565
centro universitário de maringá;centro universitario de maringa;unicesumar;-23.425;-51.939
centro universitário metodista ipa;centro universitario metodista ipa;ipa;-30.033;-51.23
centro universitário tupy;centro universitario tupy;ist;-26.304;-48.846
ceuma-associacao de ensino superior;ceuma-associacao de ensino superior;uniceuma;-2.53;-44.303
colégio pedro ii;colegio pedro ii;cpii;-22.903;-43.208
empresa brasileira de pesquisa agropecuária;empresa brasileira de pesquisa agropecuaria;embrapa;0.039;-51.066
escola de comando e estado-maior do exército;escola de comando e estado-maior do exercito;eceme;-22.903;-43.208
escola de economia de são paulo da fundação getúlio vargas;escola de economia de sao paulo da fundacao getulio vargas;eesp/fgv;-23.548;-46.636
escola de engenharia de lorena;escola de engenharia de lorena;usp/eel;-22.731;-45.125
escola de guerra naval;escola de guerra naval;egn;-22.903;-43.208
escola super. de ciênc da st casa de misericordia de vitoria;escola super. de cienc da st casa de misericordia de vitoria;emescam;-20.319;-40.338
faculdade de aracruz;faculdade de aracruz;faacz;-19.82;-40.273
faculdade de ciências médicas da sta. casa de são paulo;faculdade de ciencias medicas da sta. casa de sao paulo;fcmscsp;-23.548;-46.636
faculdade de direito de vitoria;faculdade de direito de vitoria;fdv;-20.319;-40.338
faculdade de economia e finanças do ibmec;faculdade de economia e financas do ibmec;ibmec;-22.903;-43.208
faculdade de estudos administrativos de minas gerais;faculdade de estudos administrativos de minas gerais;fead;-19.817;-43.956
faculdade de saúde, ciências humanas e tecnológicas do piauí;faculdade de saude, ciencias humanas e tecnologicas do piaui;novafapi;-5.089;-42.802
faculdades integradas do sudoeste mineiro;faculdades integradas do sudoeste mineiro;fesp;-20.719;-46.61
fiam-faam;fiam-faam;unifiam-fa;-23.548;-46.636
fundação antonio prudente - hospital a. c. camargo;fundacao antonio prudente - hospital a. c. camargo;fap;-23.548;-46.636
fundação cesgranrio;fundacao cesgranrio;cesgranrio;-22.903;-43.208
fundação de ensino e pesquisa em ciências da saúde;fundacao de ensino e pesquisa em ciencias da saude;fepecs;-15.78;-47.93
fundação educacional de barretos;fundacao educacional de barretos;feb;-20.557;-48.568
fundação educacional monsenhor messias;fundacao educacional monsenhor messias;unifemm;-19.466;-44.247
fundação estadual de pesquisa agropecuária;fundacao estadual de pesquisa agropecuaria;fepagro;-30.084;-51.616
fundação getúlio vargas/rj;fundacao getulio vargas/rj;fgv/rj;-22.903;-43.208
fundação getúlio vargas/sp;fundacao getulio vargas/sp;fgv/sp;-23.548;-46.636
