"associacao alberto santos dumont para apoio a pesquisa";"aasdap"
"associação instituto de tecnologia de pernambuco";"itep"
"associação instituto nacional de matemática pura e aplicada";"impa"
"associação instituto tecnológico vale";"itv"
"associação nacional dos dirigentes das instituições federais de ensino superior";"andifes"
"centro brasileiro de estudos latino-americanos";"cebela"
"centro brasileiro de pesquisas físicas";"cbpf"
"centro de desenvolvimento da tecnologia nuclear";"cdtn"
"centro de ensino superior de juiz de fora";"ces/jf"
"centro de estudos e sistemas avançados do recife";"cesar"
"centro de estudos superiores de maceió";"cesmac"
"centro de formação, treinamento e aperfeiçoamento";"cefor"
"centro de pesquisa aggeu magalhães/fiocruz";"cpqam"
"centro de pesquisa gonçalo moniz/fiocruz";"cpqgm"
"centro de pesquisas odontologicas sao leopoldo mandic";"slmandic"
"centro de pesquisas rené rachou/fiocruz";"cpqrr"
"centro estadual de educação tecnológica paula souza";"ceeteps"
"centro federal de educação tecnológica celso suckow da fonseca";"cefet/rj"
"centro federal de educação tecnológica de minas gerais";"cefet/mg"
"centro universitario da fei";"fei"
"centro universitário das faculdades associadas de ensino fae";"unifae-sp"
"centro universitario plinio leite";"unipli"
"centro universitario una";"una"
"centro universitário adventista de são paulo";"unasp"
"centro universitário augusto motta";"unisuam"
"centro universitário campos de andrade";"uniandrade"
"centro universitário curitiba";"unicuritiba"
"centro universitário das faculdades metropolitanas unidas";"fmu"
"centro universitário de anápolis";"unievangél"
"centro universitário de araraquara";"uniara"
"centro universitário de belo horizonte";"uni-bh"
"centro universitário de brasília";"uniceub"
"centro universitário de franca";"uni-facef"
"centro universitário de joão pessoa";"unipê"
"centro universitário de maringá";"unicesumar"
"centro universitário de volta redonda";"unifoa"
"centro universitário do estado do pará";"cesupa"
"centro universitário do instituto mauá de tecnologia";"ceun-imt"
"centro universitário estadual da zona oeste";"uezo"
"centro universitário euro-americano";"unieuro"
"centro universitário fecap";"unifecap"
"centro universitário fieo";"unifieo"
"centro universitário franciscano do paraná";"unifae-pr"
"centro universitário franciscano";"unifra"
"centro universitário herminio ometto";"uniararas"
"centro universitário internacional";"uninter"
"centro universitário la salle";"unilasalle"
"centro universitário lusíada";"unilus"
"centro universitário metodista ipa";"ipa"
"centro universitário moura lacerda";"cuml"
"centro universitário newton paiva";"newton pai"
"centro universitário ritter dos reis";"uniritter"
"centro universitário salesiano de são paulo";"unisal"
"centro universitário são camilo";"cusc"
"centro universitário tupy";"ist"
"ceuma-associacao de ensino superior";"uniceuma"
"colégio pedro ii";"cpii"
"coordenadoria controle de doenças da secretaria estado da saúde de sp";"ccd/ses"
"coordenadoria de recursos humanos da secretaria estado da saúde de sp";"crh/ses-sp"
"empresa brasileira de pesquisa agropecuária";"embrapa"
"escola bahiana de medicina e saúde pública";"ebmsp"
"escola de administração de empresas de são paulo";"eaesp/fgv"
"escola de comando e estado-maior do exército";"eceme"
"escola de direito de são paulo";"fgv direito sp"
"escola de economia de são paulo da fundação getúlio vargas";"eesp/fgv"
"escola de engenharia de lorena";"usp/eel"
"escola de guerra naval";"egn"
"escola nacional de ciências estatísticas";"ence"
"escola super. de ciênc da st casa de misericordia de vitoria";"emescam"
"escola superior de propaganda e marketing";"espm"
"escola superior de teologia";"est"
"escola superior dom helder câmara";"esdhc"
"faculdade alves faria";"alfa"
"faculdade autônoma de direito";"fadisp"
"faculdade boa viagem";"fbv"
"faculdade campo limpo paulista";"faccamp"
"faculdade cásper líbero";"fcl"
"faculdade de aracruz";"faacz"
"faculdade de ciências médicas da sta. casa de são paulo";"fcmscsp"
"faculdade de ciências médicas de minas gerais";"fcmmg"
"faculdade de direito de vitoria";"fdv"
"faculdade de direito do sul de minas";"fdsm"
"faculdade de direito milton campos";"fdmc"
"faculdade de economia e finanças do ibmec";"ibmec"
"faculdade de estudos administrativos de minas gerais";"fead"
"faculdade de medicina de jundiaí";"fmj"
"faculdade de medicina de marília";"famema"
"faculdade de medicina de são josé do rio preto";"famerp"
"faculdade de medicina do abc";"fmabc"
"faculdade de saúde, ciências humanas e tecnológicas do piauí";"novafapi"
"faculdade de são bento";"fsb"
"faculdade de tecnologia e ciências";"ftc"
"faculdade de tecnologia senai cimatec";"cimatec"
"faculdade escola paulista de direito";"facepd"
"faculdade evangelica do parana";"fepar"
"faculdade fia de administração e negócios";"ffia"
"faculdade infórium de tecnologia";"fit-mg"
"faculdade ingá";"uningá"
"faculdade integral diferencial";"facid"
"faculdade jesuíta de filosofia e teologia";"faje"
"faculdade maria milza";"famam"
"faculdade meridional";"imed"
"faculdade novos horizontes";"fnh"
"faculdade pedro leopoldo";"fpl"
"faculdade pernambucana de saúde";"fps"
"faculdade satc";"fasatc"
"faculdade teológica batista do paraná";"ftbp"
"faculdade unida de vitória";"fuv"
"faculdade vale do cricaré";"fvc"
"faculdades integradas de taquara";"faccat-rs"
"faculdades integradas do brasil";"unibrasil"
"faculdades integradas do sudoeste mineiro";"fesp"
"faculdades pequeno príncipe";"fpp"
"fiam-faam";"unifiam-fa"
"fundação jorge duprat figueiredo de segurança e med do trabalho";"fundacentr"
"fundação educacional monsenhor messias";"unifemm"
"fundação joaquim nabuco";"fjn"
"fundação oswaldo cruz";"fiocruz"
"fundação universidade federal do tocantins";"uft"
"fundação vale do taquari de educacao e desenvolvimento social - fuvates";"univates"
"fundação visconde de cairu";"fvc"
"fundação santa casa de misericórdia do pará";"fscmpa"
"fundação antonio prudente - hospital a. c. camargo";"fap"
"fundação cesgranrio";"cesgranrio"
"fundação de ensino eurípides soares da rocha";"feesr"
"fundação de ensino e pesquisa em ciências da saúde";"fepecs"
"fundação educacional de barretos";"feb"
"fundação estadual de pesquisa agropecuária";"fepagro"
"fundação getúlio vargas/rj";"fgv/rj"
"fundação getúlio vargas/sp";"fgv/sp"
"fundação instituto capixaba de pesq.em cont.econ.e finanças";"fucape"
"fundação joão pinheiro";"fjp"
"fundação pio xii - hospital de câncer de barretos";"hcb"
"fundação universidade de passo fundo";"fupf"
"fundação universidade de pernambuco";"fesp/upe"
"fundação universidade federal de ciências da saúde de porto alegre";"ufcspa"
"fundação universidade federal de mato grosso do sul";"ufms"
"fundação universidade federal de roraima";"ufrr"
"fundação universidade federal de sergipe";"fufse"
"fundação universidade federal do abc";"ufabc"
"fundação universidade federal do pampa";"unipampa"
"fundação universidade federal do piauí";"fufpi"
"fundação universitária de cardiologia";"fuc"
"fundo de defesa da citricultura";"fundecitrus"
"hospital de clínicas de porto alegre";"hcpa"
