name;name_ascii;abbr
associacao alberto santos dumont para apoio a pesquisa;associacao alberto santos dumont para apoio a pesquisa;aasdap
associação instituto de tecnologia de pernambuco;associacao instituto de tecnologia de pernambuco;itep
associação instituto nacional de matemática pura e aplicada;associacao instituto nacional de matematica pura e aplicada;impa
associação instituto tecnológico vale;associacao instituto tecnologico vale;itv
associação nacional dos dirigentes das instituições federais de ensino superior;associacao nacional dos dirigentes das instituicoes federais de ensino superior;andifes
centro brasileiro de estudos latino-americanos;centro brasileiro de estudos latino-americanos;cebela
centro brasileiro de pesquisas físicas;centro brasileiro de pesquisas fisicas;cbpf
centro de desenvolvimento da tecnologia nuclear;centro de desenvolvimento da tecnologia nuclear;cdtn
centro de ensino superior de juiz de fora;centro de ensino superior de juiz de fora;ces/jf
centro de estudos e sistemas avançados do recife;centro de estudos e sistemas avancados do recife;cesar
centro de estudos superiores de maceió;centro de estudos superiores de maceio;cesmac
centro de formação, treinamento e aperfeiçoamento;centro de formacao, treinamento e aperfeicoamento;cefor
centro de pesquisa aggeu magalhães/fiocruz;centro de pesquisa aggeu magalhaes/fiocruz;cpqam
centro de pesquisa gonçalo moniz/fiocruz;centro de pesquisa goncalo moniz/fiocruz;cpqgm
centro de pesquisas odontologicas sao leopoldo mandic;centro de pesquisas odontologicas sao leopoldo mandic;slmandic
centro de pesquisas rené rachou/fiocruz;centro de pesquisas rene rachou/fiocruz;cpqrr
centro estadual de educação tecnológica paula souza;centro estadual de educacao tecnologica paula souza;ceeteps
centro federal de educação tecnológica celso suckow da fonseca;centro federal de educacao tecnologica celso suckow da fonseca;cefet/rj
centro federal de educação tecnológica de minas gerais;centro federal de educacao tecnologica de minas gerais;cefet/mg
centro universitario da fei;centro universitario da fei;fei
centro universitário das faculdades associadas de ensino fae;centro universitario das faculdades associadas de ensino fae;unifae-sp
centro universitario plinio leite;centro universitario plinio leite;unipli
centro universitario una;centro universitario una;una
centro universitário adventista de são paulo;centro universitario adventista de sao paulo;unasp
centro universitário augusto motta;centro universitario augusto motta;unisuam
centro universitário campos de andrade;centro universitario campos de andrade;uniandrade
centro universitário curitiba;centro universitario curitiba;unicuritiba
centro universitário das faculdades metropolitanas unidas;centro universitario das faculdades metropolitanas unidas;fmu
centro universitário de anápolis;centro universitario de anapolis;unievangél
centro universitário de araraquara;centro universitario de araraquara;uniara
centro universitário de belo horizonte;centro universitario de belo horizonte;uni-bh
centro universitário de brasília;centro universitario de brasilia;uniceub
centro universitário de franca;centro universitario de franca;uni-facef
centro universitário de joão pessoa;centro universitario de joao pessoa;unipê
centro universitário de maringá;centro universitario de maringa;unicesumar
centro universitário de volta redonda;centro universitario de volta redonda;unifoa
centro universitário do estado do pará;centro universitario do estado do para;cesupa
centro universitário do instituto mauá de tecnologia;centro universitario do instituto maua de tecnologia;ceun-imt
centro universitário estadual da zona oeste;centro universitario estadual da zona oeste;uezo
centro universitário euro-americano;centro universitario euro-americano;unieuro
centro universitário fecap;centro universitario fecap;unifecap
centro universitário fieo;centro universitario fieo;unifieo
centro universitário franciscano do paraná;centro universitario franciscano do parana;unifae-pr
centro universitário franciscano;centro universitario franciscano;unifra
centro universitário herminio ometto;centro universitario herminio ometto;uniararas
centro universitário internacional;centro universitario internacional;uninter
centro universitário la salle;centro universitario la salle;unilasalle
centro universitário lusíada;centro universitario lusiada;unilus
centro universitário metodista ipa;centro universitario metodista ipa;ipa
centro universitário moura lacerda;centro universitario moura lacerda;cuml
centro universitário newton paiva;centro universitario newton paiva;newton pai
centro universitário ritter dos reis;centro universitario ritter dos reis;uniritter
centro universitário salesiano de são paulo;centro universitario salesiano de sao paulo;unisal
centro universitário são camilo;centro universitario sao camilo;cusc
centro universitário tupy;centro universitario tupy;ist
ceuma-associacao de ensino superior;ceuma-associacao de ensino superior;uniceuma
colégio pedro ii;colegio pedro ii;cpii
coordenadoria controle de doenças da secretaria estado da saúde de sp;coordenadoria controle de doencas da secretaria estado da saude de sp;ccd/ses
coordenadoria de recursos humanos da secretaria estado da saúde de sp;coordenadoria de recursos humanos da secretaria estado da saude de sp;crh/ses-sp
empresa brasileira de pesquisa agropecuária;empresa brasileira de pesquisa agropecuaria;embrapa
escola bahiana de medicina e saúde pública;escola bahiana de medicina e saude publica;ebmsp
escola de administração de empresas de são paulo;escola de administracao de empresas de sao paulo;eaesp/fgv
escola de comando e estado-maior do exército;escola de comando e estado-maior do exercito;eceme
escola de direito de são paulo;escola de direito de sao paulo;fgv direito sp
escola de economia de são paulo da fundação getúlio vargas;escola de economia de sao paulo da fundacao getulio vargas;eesp/fgv
escola de engenharia de lorena;escola de engenharia de lorena;usp/eel
escola de guerra naval;escola de guerra naval;egn
escola nacional de ciências estatísticas;escola nacional de ciencias estatisticas;ence
escola super. de ciênc da st casa de misericordia de vitoria;escola super. de cienc da st casa de misericordia de vitoria;emescam
escola superior de propaganda e marketing;escola superior de propaganda e marketing;espm
escola superior de teologia;escola superior de teologia;est
escola superior dom helder câmara;escola superior dom helder camara;esdhc
faculdade alves faria;faculdade alves faria;alfa
faculdade autônoma de direito;faculdade autonoma de direito;fadisp
faculdade boa viagem;faculdade boa viagem;fbv
faculdade campo limpo paulista;faculdade campo limpo paulista;faccamp
faculdade cásper líbero;faculdade casper libero;fcl
faculdade de aracruz;faculdade de aracruz;faacz
faculdade de ciências médicas da sta. casa de são paulo;faculdade de ciencias medicas da sta. casa de sao paulo;fcmscsp
faculdade de ciências médicas de minas gerais;faculdade de ciencias medicas de minas gerais;fcmmg
faculdade de direito de vitoria;faculdade de direito de vitoria;fdv
faculdade de direito do sul de minas;faculdade de direito do sul de minas;fdsm
faculdade de direito milton campos;faculdade de direito milton campos;fdmc
faculdade de economia e finanças do ibmec;faculdade de economia e financas do ibmec;ibmec
faculdade de estudos administrativos de minas gerais;faculdade de estudos administrativos de minas gerais;fead
faculdade de medicina de jundiaí;faculdade de medicina de jundiai;fmj
faculdade de medicina de marília;faculdade de medicina de marilia;famema
